4FGL-DR3,source_type,glat,glon,significance,r95,Ep,Fp,d,p_pulsar,diffuse
4FGL J0933.8-6232,unid-pulsar,-7.907,282.244,47.738,0.021,2.250,19.375,1.280,0.980,0.300
4FGL J0935.3+0901,other-pulsar,40.384,224.718,16.797,0.073,0.496,0.935,0.577,0.749,-0.404
4FGL J0937.0-2044,bcu-pulsar,22.893,253.337,4.800,0.119,1.570,0.042,1.949,0.574,-0.349
4FGL J0937.6-3358,unid-pulsar,13.575,263.261,4.467,0.068,0.260,0.607,1.475,0.442,0.029
4FGL J0940.3-7610,other-pulsar,-17.449,292.248,23.566,0.044,1.130,2.225,0.812,1.000,0.157
4FGL J0941.1-5429,psr,-1.284,277.534,25.868,0.036,1.147,22.193,0.911,0.993,1.045
4FGL J0942.3-3530,unid-pulsar,13.105,265.051,4.619,0.213,0.730,0.106,0.917,0.603,0.059
4FGL J0945.2-3658,unid-pulsar,12.396,266.511,4.778,0.377,0.310,0.305,0.714,0.454,0.100
4FGL J0951.8-5944,unid-pulsar,-4.378,282.033,6.669,0.084,1.302,0.493,2.000,0.703,0.614
4FGL J0952.1-0607,msp,35.386,243.667,13.498,0.060,1.656,0.444,1.605,0.977,-0.317
4FGL J0952.5-3902,unid-pulsar,11.756,268.996,5.324,0.158,0.997,0.203,1.983,0.762,0.083
4FGL J0953.6-1509,unid-pulsar,29.603,251.903,31.646,0.035,1.741,4.030,1.310,0.997,-0.269
4FGL J0955.3-3949,other-pulsar,11.514,269.933,29.351,0.038,0.563,7.283,0.548,0.920,0.079
4FGL J0955.4-6151,msp,-5.742,283.707,20.451,0.045,0.820,2.489,0.605,0.990,0.372
4FGL J1003.2-5737,unid-pulsar,-1.782,281.905,7.391,0.129,0.650,4.629,0.595,0.973,1.364
4FGL J1005.5-5708,unid-pulsar,-1.215,281.861,6.235,0.278,0.824,9.151,1.718,0.969,1.362
4FGL J1006.5-5626,unid-pulsar,-0.565,281.572,5.032,0.130,0.429,8.169,0.998,0.796,1.315
4FGL J1011.4-5729,unid-pulsar,-1.040,282.720,7.383,0.161,0.551,8.141,0.763,0.954,1.389
4FGL J1012.1-4235,msp,11.230,274.210,19.412,0.039,1.124,0.949,0.485,0.902,0.029
4FGL J1015.1-6353,unid-pulsar,-6.046,286.727,8.304,0.080,2.257,0.160,0.840,0.694,0.382
4FGL J1015.5-6030,unid-pulsar,-3.218,284.866,15.175,0.080,0.100,70.261,0.283,0.777,0.735
4FGL J1016.3-5857,psr,-1.882,284.085,43.269,0.019,1.211,283.831,0.675,0.983,1.142
4FGL J1018.2+0145,unid-pulsar,45.402,240.995,6.504,0.122,1.407,0.091,1.622,0.923,-0.359
4FGL J1018.9-5856,other-pulsar,-1.685,284.355,86.903,0.012,0.402,7926.784,0.461,0.807,1.180
4FGL J1019.8-5749,psr,-0.687,283.842,17.750,0.047,0.971,30.159,0.524,0.996,1.364
4FGL J1020.4-5314,unid-pulsar,3.198,281.410,9.614,0.114,1.209,0.659,1.031,1.000,0.579
4FGL J1021.4+8021,bcu-pulsar,34.602,130.051,18.977,0.048,0.908,0.262,0.539,0.934,-0.613
4FGL J1023.0-5745,psr,-0.398,284.168,29.595,0.014,0.851,1733.068,0.709,0.985,1.339
4FGL J1024.5-0719,msp,40.492,251.666,20.609,0.050,1.420,0.912,0.871,1.000,-0.415
4FGL J1026.2-5731,unid-pulsar,0.022,284.405,15.260,0.052,1.433,22.068,1.273,0.985,1.295
4FGL J1028.5-5819,psr,-0.492,285.071,138.941,0.010,0.979,6863.014,0.565,0.978,1.217
4FGL J1028.7-6431,bcu-pulsar,-5.784,288.331,5.616,0.229,0.351,0.920,0.898,0.577,0.618
4FGL J1035.4-6720,msp,-7.844,290.372,52.660,0.020,1.440,32.032,1.027,0.987,0.362
4FGL J1036.5-8318,msp,-21.510,298.948,19.804,0.046,1.849,0.943,0.999,0.978,0.027
4FGL J1036.6-4349,unid-pulsar,12.615,278.708,13.469,0.052,1.286,0.307,0.446,0.788,0.014
4FGL J1037.8-5810,unid-pulsar,0.244,286.061,12.385,0.092,0.170,60.043,0.399,0.950,1.223
4FGL J1044.4-5737,psr,1.156,286.570,87.247,0.014,0.725,1203.768,0.606,0.968,0.998
4FGL J1044.5-1439,unid-pulsar,38.091,262.649,5.976,0.128,1.644,0.062,1.999,0.448,-0.325
4FGL J1046.7-6010,unid-pulsar,-0.967,288.006,16.373,0.095,0.671,41.631,0.804,0.996,1.199
4FGL J1047.5-6532,unid-pulsar,-5.686,290.569,5.051,0.191,0.703,0.566,1.622,0.852,0.412
4FGL J1048.2-5832,psr,0.574,287.430,131.252,0.011,0.977,3680.804,0.582,0.981,1.022
4FGL J1048.5-5923,unid-pulsar,-0.167,287.855,18.519,0.058,0.876,47.145,1.098,0.983,1.090
4FGL J1048.6+2340,msp,62.134,213.137,20.233,0.054,0.739,0.715,0.397,0.629,-0.523
4FGL J1054.0-5938,unid-pulsar,-0.078,288.588,6.148,0.186,2.172,0.959,1.237,1.000,1.229
4FGL J1055.6-0719,unid-pulsar,45.587,259.608,5.466,0.150,1.174,0.064,1.922,0.357,-0.572
4FGL J1055.7-6028,psr,-0.736,289.141,17.917,0.038,1.241,18.654,0.680,0.996,1.397
4FGL J1056.9-5852,psr,0.768,288.597,19.932,0.050,1.120,25.519,1.895,0.653,1.070
4FGL J1057.9-5227,psr,6.646,285.987,277.550,0.008,1.062,20817.492,1.141,0.967,0.482
4FGL J1058.9-6101,unid-pulsar,-1.071,289.732,8.361,0.139,0.584,4.238,0.363,0.788,1.310
4FGL J1059.5-6021,spp-pulsar,-0.439,289.523,7.241,0.122,0.636,4.254,0.554,0.968,1.262
4FGL J1102.0-6054,bcu-pulsar,-0.809,290.024,19.878,0.046,0.358,135.799,0.469,0.993,1.218
4FGL J1102.4+0246,msp,54.338,251.299,8.751,0.148,1.506,0.218,1.801,0.610,-0.464
4FGL J1104.9-6037,psr,-0.411,290.235,27.442,0.029,1.182,64.881,0.825,0.993,1.216
4FGL J1105.1-2600,unid-pulsar,31.031,274.950,8.846,0.078,1.954,0.098,1.056,0.656,-0.321
4FGL J1105.4-6108,psr,-0.862,290.500,17.153,0.047,0.640,33.367,0.599,0.997,1.135
4FGL J1106.7-1742,unid-pulsar,38.477,270.488,16.045,0.054,1.540,0.486,0.865,0.997,-0.415
4FGL J1111.8-6039,psr,-0.110,291.027,50.292,0.016,2.340,245.207,0.646,0.951,1.166
4FGL J1112.1-6108,psr,-0.538,291.235,12.194,0.059,0.640,28.550,0.430,0.968,1.071
4FGL J1112.2-6055,unid-pulsar,-0.332,291.170,11.189,0.048,0.890,34.282,0.615,0.989,1.184
4FGL J1115.1-6118,unid-pulsar,-0.568,291.633,16.304,0.037,0.100,28.065,0.104,0.658,1.142
4FGL J1118.6-6159,unid-pulsar,-1.059,292.274,4.535,0.075,0.868,0.663,0.422,0.962,1.214
4FGL J1119.1-6127,psr,-0.534,292.133,35.671,0.023,0.851,76.612,0.332,0.966,1.162
4FGL J1120.0-2204,unid-pulsar,36.056,276.492,58.863,0.023,1.039,26.386,0.947,0.992,-0.272
4FGL J1120.6+0713,bcu-pulsar,60.673,251.504,27.045,0.039,1.667,2.171,0.883,1.000,-0.332
4FGL J1123.2-5111,unid-pulsar,9.302,289.148,6.760,0.129,1.476,0.108,0.777,0.608,0.216
4FGL J1124.0-3653,msp,22.757,284.106,42.344,0.024,1.600,8.498,0.688,0.991,-0.044
4FGL J1124.1-1203,unid-pulsar,45.456,271.735,6.434,0.167,1.837,0.081,1.940,0.044,-0.431
4FGL J1124.7-5915,psr,1.764,292.042,67.078,0.022,0.484,298.322,0.496,0.992,0.709
4FGL J1125.6-5825,msp,2.594,291.881,18.700,0.042,2.622,2.647,1.038,0.968,0.593
4FGL J1126.0-5007,unid-pulsar,10.463,289.203,9.689,0.067,2.585,0.196,1.468,0.981,0.037
4FGL J1126.4-6011,msp,0.962,292.551,7.407,0.123,1.699,0.706,1.418,0.996,0.878
4FGL J1127.9-6158,unid-pulsar,-0.680,293.299,9.869,0.101,0.814,5.932,0.702,0.992,1.304
4FGL J1133.7-6223,unid-pulsar,-0.865,294.068,7.579,0.089,0.770,7.434,0.928,0.986,1.438
4FGL J1135.2-6055,psr,0.584,293.804,53.212,0.021,0.797,143.044,0.578,0.995,0.882
4FGL J1136.8-7413,bcu-pulsar,-12.103,297.836,20.924,0.047,0.571,2.780,0.429,0.827,0.357
4FGL J1137.6+7527,msp,40.796,128.952,6.444,0.101,2.836,0.022,1.746,0.093,-0.326
4FGL J1139.2-6247,psr,-1.066,294.790,22.279,0.032,1.643,15.301,0.510,0.981,1.374
4FGL J1142.8+0120,msp,59.415,267.539,28.944,0.034,2.376,1.962,0.729,0.994,-0.603
4FGL J1146.0-6822,unid-pulsar,-6.260,296.942,6.430,0.089,2.769,0.124,1.977,0.759,0.276
4FGL J1147.4-6758,fsrq-pulsar,-5.852,296.974,8.318,0.136,0.437,1.781,0.764,0.951,0.269
4FGL J1147.7-6618,unid-pulsar,-4.229,296.590,6.539,0.155,0.592,0.554,0.595,0.676,0.669
4FGL J1150.6-4823,bcu-pulsar,13.262,292.630,13.848,0.242,0.529,1.766,1.545,0.978,-0.051
4FGL J1152.0-6107,psr,0.921,295.829,17.926,0.051,1.257,6.802,0.907,0.996,0.941
4FGL J1154.5-5952,unid-pulsar,2.219,295.842,8.335,0.132,0.642,2.026,1.288,0.995,0.654
4FGL J1155.6-6245,spp-pulsar,-0.580,296.603,5.917,0.226,0.528,8.151,0.735,0.951,1.117
4FGL J1157.2-6059,unid-pulsar,1.197,296.404,4.805,0.140,0.328,1.624,0.559,0.458,0.730
4FGL J1157.7-6327,unid-pulsar,-1.207,296.978,9.182,0.112,0.464,13.724,0.877,0.944,1.121
4FGL J1159.3-6122,unk-pulsar,0.861,296.737,5.450,0.194,0.856,0.414,0.422,0.776,0.808
4FGL J1203.4-6145,unid-pulsar,0.591,297.291,8.607,0.188,0.551,3.904,0.592,0.938,0.884
4FGL J1203.5-1748,unid-pulsar,43.592,287.099,10.714,0.078,1.251,0.167,0.558,0.672,-0.254
4FGL J1203.5-5745,unid-pulsar,4.526,296.557,5.294,0.184,0.369,0.615,0.617,0.464,0.436
4FGL J1203.7-6303,unid-pulsar,-0.684,297.560,5.822,0.075,1.069,2.915,1.011,1.000,1.313
4FGL J1203.8-5920,unid-pulsar,2.979,296.889,4.593,0.106,1.747,0.171,1.226,0.956,0.616
4FGL J1203.9-6242,psr,-0.338,297.518,31.364,0.027,1.072,93.511,0.661,0.965,1.258
4FGL J1204.3-6111,unid-pulsar,1.167,297.284,5.089,0.267,0.443,3.164,1.022,0.944,0.865
4FGL J1204.5-5032,unid-pulsar,11.637,295.365,14.927,0.073,1.270,1.102,1.270,0.997,0.065
4FGL J1205.3-6212,unid-pulsar,0.180,297.586,6.621,0.064,0.649,2.044,0.442,0.931,1.245
4FGL J1206.8-6038,unid-pulsar,1.763,297.488,5.872,0.183,0.808,0.658,0.662,0.996,0.783
4FGL J1206.8-5836,unid-pulsar,3.753,297.140,4.595,0.280,0.423,1.030,1.212,0.899,0.517
4FGL J1207.4-5050,msp,11.417,295.867,19.076,0.045,1.578,1.840,1.333,1.000,0.086
4FGL J1207.4-4536,unid-pulsar,16.576,294.937,14.801,0.063,1.068,0.630,0.870,1.000,-0.056
4FGL J1207.9-6443,unid-pulsar,-2.249,298.308,9.146,0.078,1.323,1.778,1.111,1.000,0.856
4FGL J1208.0-6900,unid-pulsar,-6.460,299.044,15.641,0.054,0.858,1.207,0.636,1.000,0.350
4FGL J1208.2-6237,psr,-0.177,297.988,30.455,0.027,1.067,70.932,0.493,0.991,1.172
4FGL J1208.5-5512,unid-pulsar,7.154,296.794,7.013,0.098,1.097,0.157,0.686,0.503,0.290
4FGL J1209.4-6421,unid-pulsar,-1.849,298.412,5.351,0.155,0.366,1.772,0.427,0.393,0.950
4FGL J1210.4-6250,unid-pulsar,-0.335,298.268,7.796,0.076,0.801,27.184,1.493,0.966,1.226
4FGL J1211.8-6021,unk-pulsar,2.134,298.059,4.906,0.154,0.621,1.686,1.627,0.955,0.834
4FGL J1213.6-5954,unid-pulsar,2.619,298.201,5.504,0.092,2.125,0.319,1.978,0.976,0.750
4FGL J1213.9-4416,unid-pulsar,18.080,295.892,14.333,0.046,0.688,0.798,0.458,0.903,-0.020
4FGL J1214.6-1926,bcu-pulsar,42.580,291.131,4.889,0.195,0.871,0.088,2.000,0.231,-0.265
4FGL J1216.2-6121,bcu-pulsar,1.225,298.721,5.170,0.262,0.598,1.286,0.880,0.993,0.904
4FGL J1216.7-5911,unid-pulsar,3.378,298.495,4.857,0.090,0.349,1.443,0.681,0.772,0.681
4FGL J1217.2-2500,unid-pulsar,37.219,293.204,7.094,0.116,1.223,0.097,0.774,0.609,-0.092
4FGL J1221.4-0634,msp,55.518,289.711,23.394,0.044,1.257,1.501,0.717,1.000,-0.318
4FGL J1225.9+2951,unid-pulsar,83.773,185.427,37.359,0.027,2.030,3.998,0.796,0.993,-0.689
4FGL J1228.0-4853,msp,13.807,298.975,32.527,0.022,0.890,14.240,0.485,0.220,0.121
4FGL J1231.1-1412,msp,48.379,295.534,182.204,0.010,1.659,1399.344,0.867,0.966,-0.161
4FGL J1231.6-5116,psr,11.483,299.774,28.225,0.046,0.565,12.559,1.316,0.961,0.226
4FGL J1231.6-6511,psr,-2.402,300.859,19.742,0.058,0.910,10.686,0.947,0.993,1.011
4FGL J1231.7-6653,unid-pulsar,-4.097,301.000,5.044,0.282,0.273,2.638,1.497,0.753,0.584
4FGL J1234.5-7055,unid-pulsar,-8.099,301.540,5.331,0.274,0.450,0.568,1.201,0.601,0.464
4FGL J1244.3-6233,unid-pulsar,0.306,302.112,14.081,0.047,0.100,32.078,0.180,0.711,1.381
4FGL J1245.8+0232,bll-pulsar,65.378,299.610,11.559,0.120,1.239,0.309,0.957,0.762,-0.371
4FGL J1253.3-5816,psr,4.587,303.186,7.514,0.113,0.503,1.697,1.500,0.966,0.474
4FGL J1256.1-5652,unk-pulsar,5.994,303.574,11.179,0.096,0.510,3.406,1.461,0.978,0.499
4FGL J1257.0-6339,unid-pulsar,-0.791,303.554,16.615,0.040,1.202,9.617,0.483,0.985,1.337
4FGL J1259.0-8148,unid-pulsar,-18.949,303.218,12.831,0.065,0.638,0.764,0.687,0.997,0.156
4FGL J1301.6+0834,msp,71.289,310.822,30.945,0.039,1.106,3.323,0.811,0.993,-0.409
4FGL J1302.4-3258,msp,29.845,305.605,41.848,0.025,2.197,10.675,1.144,0.868,-0.099
4FGL J1303.1-4714,unid-pulsar,15.587,304.996,8.997,0.079,1.995,0.178,1.107,0.979,0.130
4FGL J1304.4+1203,msp,74.627,315.025,12.200,0.081,1.486,0.381,1.904,0.964,-0.433
4FGL J1305.5-6241,other-pulsar,0.133,304.554,21.693,0.032,0.100,127.951,0.031,0.539,1.510
4FGL J1306.3-6043,unid-pulsar,2.099,304.755,47.620,0.019,2.789,61.539,0.898,0.946,1.032
4FGL J1306.8-4035,msp,22.177,306.089,23.541,0.045,0.345,3.240,0.320,0.125,0.047
4FGL J1309.1-6223,unid-pulsar,0.406,304.980,13.709,0.079,0.811,37.083,0.961,0.991,1.448
4FGL J1311.7-3430,msp,28.174,307.688,115.771,0.013,0.764,227.962,0.411,0.977,-0.087
4FGL J1312.6-6231,unid-pulsar,0.243,305.372,10.414,0.101,1.954,5.924,1.024,0.990,1.418
4FGL J1312.7+0050,msp,63.220,314.828,45.065,0.024,1.276,17.535,1.001,0.994,-0.451
4FGL J1315.7-6220,unid-pulsar,0.393,305.747,5.239,0.118,0.320,11.417,0.542,0.855,1.330
4FGL J1315.9-6243,unid-pulsar,0.014,305.742,8.821,0.103,0.599,9.653,0.485,0.967,1.376
4FGL J1317.5-0153,unid-pulsar,60.304,316.168,9.379,0.129,1.494,0.156,1.454,0.977,-0.442
4FGL J1317.5-6316,unid-pulsar,-0.555,305.859,20.385,0.046,1.516,28.404,1.189,0.988,1.271
4FGL J1320.3-6410,unid-pulsar,-1.477,306.076,6.968,0.135,1.123,2.194,1.429,0.996,1.081
4FGL J1321.1-6239,unid-pulsar,0.016,306.336,8.203,0.139,0.758,5.668,0.528,0.983,1.402
4FGL J1325.3-5413,unid-pulsar,8.309,307.933,12.187,0.053,0.589,1.486,0.600,0.983,0.458
4FGL J1326.1-6800,bcu-pulsar,-5.349,306.185,5.846,0.237,0.458,1.061,1.388,0.925,0.499
4FGL J1326.6-4729,glc,14.958,309.078,27.747,0.028,1.392,10.017,1.022,0.994,0.140
4FGL J1328.4-6231,unid-pulsar,0.045,307.189,7.007,0.165,0.306,20.806,0.797,0.880,1.356
4FGL J1329.4-0530,bcu-pulsar,56.093,320.086,11.516,0.063,1.512,0.326,1.118,0.996,-0.325
4FGL J1329.9-6108,unid-pulsar,1.384,307.564,25.977,0.034,1.782,12.492,0.746,0.987,1.005
4FGL J1333.0-6626,bcu-pulsar,-3.903,307.082,5.959,0.122,0.482,0.775,0.693,0.393,0.668
4FGL J1334.6-4435,unid-pulsar,17.603,310.973,7.190,0.082,0.438,0.419,0.679,0.890,0.070
4FGL J1335.0-5656,msp,5.420,308.883,20.355,0.037,1.820,3.230,0.770,0.996,0.693
4FGL J1335.5-4546,unid-pulsar,16.414,310.924,5.025,0.084,1.252,0.078,0.730,0.294,0.090
4FGL J1336.9-4611,unid-pulsar,15.950,311.094,5.240,0.097,0.502,0.295,0.813,0.540,0.096
4FGL J1338.4-5923,unid-pulsar,2.935,308.889,5.409,0.112,0.412,0.979,0.571,0.648,0.822
4FGL J1341.7-6216,psr,0.023,308.744,11.802,0.069,0.276,18.614,0.195,0.968,1.507
4FGL J1343.5-6827,unid-pulsar,-6.071,307.704,6.682,0.189,0.847,0.517,1.918,0.717,0.340
4FGL J1343.8-6208,spp-pulsar,0.109,309.014,6.920,0.125,0.361,9.491,0.295,0.829,1.534
4FGL J1344.9-6228,spp-pulsar,-0.246,309.074,12.061,0.081,0.877,28.770,0.666,0.996,1.647
4FGL J1345.3-6253,spp-pulsar,-0.653,309.027,7.033,0.088,0.982,6.056,0.837,0.995,1.553
4FGL J1345.9-2612,unid-pulsar,35.072,317.894,14.844,0.063,1.601,0.691,2.000,0.718,-0.167
4FGL J1346.1-5121,glc,10.591,311.573,4.883,0.075,0.462,0.094,0.280,0.020,0.367
4FGL J1346.3-6026,other-pulsar,1.706,309.659,23.588,0.036,0.629,14.982,0.261,0.984,1.043
4FGL J1349.5-6206,spp-pulsar,-0.000,309.675,6.247,0.080,0.192,51.223,0.385,0.914,1.625
4FGL J1350.6-6224,psr,-0.327,309.733,30.447,0.026,1.959,100.783,0.959,0.982,1.537
4FGL J1351.2-6115,unid-pulsar,0.781,310.063,4.564,0.132,0.404,5.596,0.508,0.618,1.412
4FGL J1351.6-6142,unid-pulsar,0.340,310.001,14.383,0.062,0.949,33.125,0.605,0.993,1.601
4FGL J1353.3-5910,other-pulsar,2.744,310.805,4.652,0.183,0.938,0.704,1.954,0.206,0.797
4FGL J1353.5-6128,unid-pulsar,0.516,310.275,4.198,0.066,0.947,1.390,0.433,0.970,1.519
4FGL J1355.8-6155,unid-pulsar,-0.001,310.426,5.157,0.156,1.924,3.225,1.980,0.969,1.605
4FGL J1356.0-6747,unid-pulsar,-5.692,309.000,6.342,0.234,0.507,1.071,1.820,0.690,0.443
4FGL J1356.6+0234,unid-pulsar,60.908,338.158,10.519,0.089,1.247,0.249,1.316,0.531,-0.408
4FGL J1356.9-6432,psr,-2.558,309.900,20.320,0.049,0.432,82.807,0.785,0.990,0.890
4FGL J1357.3-6123,unid-pulsar,0.478,310.735,7.298,0.117,0.737,13.866,0.999,0.987,1.496
4FGL J1357.8-5724,unid-pulsar,4.316,311.814,5.534,0.083,1.165,0.306,1.409,0.748,0.608
4FGL J1358.2-6210,spp-pulsar,-0.304,310.640,12.742,0.075,0.560,31.728,0.389,0.997,1.651
4FGL J1358.3-6026,psr,1.361,311.102,25.154,0.036,0.803,60.576,0.597,0.994,1.278
4FGL J1400.0-2415,unid-pulsar,36.004,322.353,19.942,0.051,2.157,1.052,1.236,0.998,-0.163
4FGL J1400.4-6050,unid-pulsar,0.905,311.242,9.280,0.102,1.022,9.104,0.791,0.994,1.475
4FGL J1400.5-6147,unid-pulsar,-0.007,310.999,4.853,0.088,1.028,4.059,0.777,0.974,1.653
4FGL J1400.6-1432,msp,45.069,326.982,24.483,0.043,1.257,2.842,1.068,1.000,-0.091
4FGL J1401.2-6116,unid-pulsar,0.474,311.219,6.239,0.110,2.582,3.663,1.950,0.979,1.569
4FGL J1402.7+1306,msp,68.212,356.402,11.643,0.099,1.589,0.268,1.998,0.663,-0.443
4FGL J1403.5-6236,unid-pulsar,-0.883,311.116,16.094,0.043,2.390,18.092,1.814,0.965,1.526
4FGL J1404.4-6159,spp-pulsar,-0.319,311.398,10.527,0.112,0.363,99.230,0.575,0.996,1.702
4FGL J1404.8-5237,unid-pulsar,8.652,314.074,12.384,0.054,1.024,0.827,0.506,0.995,0.560
4FGL J1405.1-6119,other-pulsar,0.284,311.659,26.237,0.026,0.449,964.240,0.541,0.981,1.693
4FGL J1407.7-3017,unid-pulsar,29.759,321.905,10.168,0.168,0.557,0.742,1.393,0.400,-0.190
4FGL J1408.7-3747,unid-pulsar,22.601,319.387,11.926,0.074,1.084,0.410,0.981,0.998,-0.014
4FGL J1411.5-6133,psr,-0.152,312.325,7.370,0.085,0.626,54.040,0.777,0.996,1.728
4FGL J1412.1-6631,unid-pulsar,-4.900,310.858,16.413,0.058,1.840,1.812,0.863,1.000,0.601
4FGL J1413.5-6205,psr,-0.733,312.378,104.264,0.011,1.500,3511.060,0.670,0.976,1.513
4FGL J1413.9-6705,unid-pulsar,-5.501,310.849,4.531,0.157,0.821,0.283,1.068,0.725,0.536
4FGL J1415.3-6110,unid-pulsar,0.065,312.872,4.577,0.057,0.712,7.471,0.501,0.959,1.699
4FGL J1415.4-6458,unid-pulsar,-3.546,311.666,10.360,0.059,2.880,0.529,0.836,0.964,0.744
4FGL J1416.7-5023,unid-pulsar,10.213,316.554,14.693,0.054,0.910,1.321,0.613,1.000,0.351
4FGL J1417.6-4403,msp,16.132,318.886,25.057,0.038,0.978,2.545,0.521,0.984,0.117
4FGL J1418.2-5400,unid-pulsar,6.721,315.577,8.517,0.213,0.333,3.289,0.906,0.714,0.609
4FGL J1418.7-6057,psr,0.131,313.331,42.159,0.011,1.112,10495.609,0.714,0.983,1.596
4FGL J1418.7-6110,unid-pulsar,-0.068,313.263,5.500,0.058,0.645,52.117,0.646,0.995,1.635
4FGL J1420.0-6048,psr,0.231,313.529,12.233,0.020,0.707,1996.432,0.641,0.966,1.622
4FGL J1420.9-2431,unid-pulsar,34.013,327.635,11.033,0.059,1.242,0.181,0.450,0.495,-0.091
4FGL J1421.1-4614,bcu-pulsar,13.863,318.700,10.981,0.079,0.535,0.563,0.504,0.650,0.134
4FGL J1422.5-6137,psr,-0.648,313.530,51.474,0.015,3.264,350.807,1.098,0.955,1.526
4FGL J1423.3-5655,spp-pulsar,3.734,315.256,6.716,0.206,0.393,5.369,1.797,0.879,0.758
4FGL J1424.2-6111,unid-pulsar,-0.314,313.875,5.264,0.146,1.104,8.976,1.469,0.983,1.637
4FGL J1424.8-8012,unid-pulsar,-18.083,306.999,7.495,0.118,2.414,0.127,2.000,0.955,0.002
4FGL J1427.8-6051,unid-pulsar,-0.148,314.401,17.195,0.038,0.156,109.614,0.201,0.895,1.617
4FGL J1428.0-6026,unid-pulsar,0.228,314.584,6.094,0.074,0.728,15.009,1.027,0.986,1.543
4FGL J1429.8-0739,unid-pulsar,47.847,340.852,7.508,0.160,1.403,0.140,1.939,0.855,-0.195
4FGL J1429.9-5911,psr,1.304,315.262,78.819,0.016,0.642,1204.216,0.588,0.984,1.177
4FGL J1430.9-6024,unid-pulsar,0.117,314.922,4.838,0.106,0.689,4.982,0.653,0.809,1.595
4FGL J1431.4-4711,msp,12.327,320.035,10.945,0.105,0.474,1.118,0.709,0.927,0.224
4FGL J1431.5-6627,unid-pulsar,-5.509,312.706,5.708,0.150,0.524,0.301,0.535,0.745,0.486
4FGL J1433.5-5457,unk-pulsar,5.031,317.316,10.348,0.119,0.596,1.787,0.712,0.992,0.588
4FGL J1433.8-6357,unid-pulsar,-3.290,313.883,6.047,0.109,1.826,0.423,1.947,0.925,0.704
4FGL J1435.8-6018,spp-pulsar,-0.019,315.519,8.818,0.257,0.607,41.733,1.448,0.962,1.481
4FGL J1437.6-5616,unid-pulsar,3.596,317.329,4.632,0.189,0.665,0.636,1.235,0.979,0.707
4FGL J1439.2-5142,unid-pulsar,7.683,319.389,7.136,0.104,0.813,0.461,0.789,0.997,0.512
4FGL J1441.6-5951,spp-pulsar,0.106,316.361,7.234,0.089,2.181,6.483,1.567,0.992,1.724
4FGL J1442.0+0732,unid-pulsar,57.280,1.300,6.418,0.129,1.147,0.062,0.921,0.517,-0.410
4FGL J1442.1-2800,unid-pulsar,28.798,330.837,9.682,0.123,0.381,0.715,0.880,0.940,-0.068
4FGL J1442.2-6005,spp-pulsar,-0.134,316.335,11.193,0.070,0.938,24.764,0.527,0.993,1.686
4FGL J1444.9-5939,unid-pulsar,0.114,316.829,11.518,0.080,0.369,171.467,0.701,0.995,1.585
4FGL J1445.1-5958,unid-pulsar,-0.182,316.707,4.928,0.071,0.623,3.839,0.371,0.733,1.651
4FGL J1446.6-4701,msp,11.421,322.502,22.275,0.036,1.199,2.364,0.617,0.997,0.234
4FGL J1447.4-5757,psr,1.523,317.843,20.962,0.054,0.518,50.878,0.914,0.991,1.047
4FGL J1449.4-6026,unk-pulsar,-0.824,316.992,6.268,0.316,0.537,5.817,0.634,0.938,1.392
4FGL J1449.8-5923,unid-pulsar,0.091,317.502,7.050,0.091,0.761,7.868,0.497,0.971,1.628
4FGL J1450.2-5937,spp-pulsar,-0.144,317.442,5.887,0.136,1.617,6.452,1.855,0.989,1.595
4FGL J1450.8-1424,unid-pulsar,39.360,341.506,9.375,0.075,1.500,0.195,0.917,0.984,-0.058
4FGL J1451.4-5422,unid-pulsar,4.486,319.912,4.471,0.175,0.813,0.324,0.920,0.955,0.732
4FGL J1451.4-5142,unid-pulsar,6.871,321.122,6.478,0.271,0.416,2.146,1.700,0.806,0.535
4FGL J1454.0-5319,unid-pulsar,5.259,320.733,5.401,0.164,1.025,0.272,0.789,0.989,0.671
4FGL J1455.9-3331,msp,22.529,330.752,5.284,0.123,1.268,0.078,1.438,0.948,0.022
4FGL J1456.3-5419,unid-pulsar,4.212,320.584,6.800,0.086,1.403,0.561,1.388,0.996,0.703
4FGL J1456.4-5923,unk-pulsar,-0.290,318.253,5.638,0.262,0.231,15.811,0.375,0.798,1.719
4FGL J1458.8-2120,unid-pulsar,32.567,338.602,14.819,0.046,1.880,0.532,0.738,0.991,0.017
4FGL J1459.0-5819,unk-pulsar,0.493,319.045,5.301,0.281,1.910,1.350,1.519,0.991,1.362
4FGL J1459.0-5353,bcu-pulsar,4.404,321.139,5.169,0.119,1.217,0.398,1.403,0.711,0.665
4FGL J1459.5-6053,psr,-1.792,317.886,71.556,0.015,0.540,1448.553,0.547,0.976,1.115
4FGL J1501.6-5236,unid-pulsar,5.351,322.086,4.362,0.739,0.654,0.562,1.520,0.514,0.646
4FGL J1502.2-5933,unid-pulsar,-0.776,318.819,7.353,0.127,2.497,2.276,1.660,0.989,1.472
4FGL J1503.7-5801,bcu-pulsar,0.463,319.724,24.803,0.041,0.508,100.669,0.479,0.996,1.354
4FGL J1503.9-4247,bcu-pulsar,13.709,327.316,8.942,0.088,0.626,0.477,0.843,0.629,0.102
