name,glon,glat,ts,r95,diffuse,d,Fp,Ep,source type
4FGL J0121.5+7906,124.411,16.318,29.670,0.059,0.197,0.141,0.006,16.941,UNID-BLL
4FGL J0122.4+1034,135.239,-51.543,55.731,0.043,-0.324,0.346,0.018,11.707,UNID-BLL
4FGL J0122.4-1509,155.544,-76.024,38.930,0.087,-0.724,0.868,0.014,2.078,UNID-BLL
4FGL J0123.7-4129,280.212,-74.179,26.812,0.082,-0.689,0.844,0.005,5.110,UNID-BLL
4FGL J0124.0+3035,131.104,-31.739,92.184,0.135,-0.350,0.356,0.965,0.100,UNID-FSRQ
4FGL J0125.8-6348,296.658,-52.883,45.973,0.088,-0.619,0.078,0.098,0.100,UNID-BLL
4FGL J0125.9-6303,296.376,-53.607,49.185,0.072,-0.606,0.336,0.008,2.409,UNID-BLL
4FGL J0126.3-6746,297.942,-49.025,48.708,0.041,-0.557,0.580,0.011,19.161,UNID-BLL
4FGL J0126.8+2412,133.196,-37.949,63.104,0.119,-0.258,0.141,1.173,0.100,UNID-FSRQ
4FGL J0128.1+7542,125.286,12.948,38.244,0.155,0.316,0.623,0.094,0.529,UNID-FSRQ
4FGL J0128.4+2614,133.112,-35.906,120.405,0.140,-0.206,1.380,0.872,0.351,UNID-FSRQ
4FGL J0128.8-4626,284.571,-69.356,34.775,0.094,-0.713,0.057,0.012,0.100,UNID-BLL
4FGL J0129.0+6312,127.231,0.770,141.465,0.137,0.847,0.378,7.357,0.151,bcu-psr
4FGL J0131.7-5346,290.100,-62.306,146.025,0.055,-0.610,1.085,0.084,1.464,UNID-PSR
4FGL J0132.1-0956,153.974,-70.146,195.902,0.085,-0.566,0.012,7.196,0.100,UNID-FSRQ
4FGL J0132.9-4259,277.257,-71.994,25.036,0.116,-0.657,1.716,0.009,3.203,UNID-BLL
4FGL J0133.0+5931,128.179,-2.937,126.139,0.071,0.522,-0.056,8.348,0.100,UNID-FSRQ
4FGL J0133.7-3409,253.305,-78.530,26.861,0.065,-0.674,-0.080,0.212,1000.000,UNID-BLL
4FGL J0136.2-4708,282.157,-68.134,31.010,0.068,-0.702,0.641,0.005,7.957,UNID-BLL
4FGL J0136.4+6911,126.930,6.668,60.653,0.301,0.521,1.011,1.103,0.356,UNID-PSR
4FGL J0136.6+3130,134.105,-30.385,25.969,0.083,-0.403,-0.093,0.244,1000.000,UNID-BLL
4FGL J0137.3-3239,244.860,-78.623,30.076,0.127,-0.612,1.026,0.017,1.009,UNID-BLL
4FGL J0138.5+3931,132.738,-22.450,81.611,0.092,-0.322,0.342,0.508,0.127,UNID-FSRQ
4FGL J0139.2-1705,173.243,-75.100,41.054,0.052,-0.758,-0.100,0.150,1000.000,UNID-BLL
4FGL J0139.5-2228,192.420,-78.155,200.617,0.054,-0.806,1.024,0.126,2.067,UNID-PSR
4FGL J0140.3+7054,126.940,8.423,79.880,0.033,0.465,0.773,0.067,12.993,UNID-BLL
4FGL J0140.4+5114,130.684,-10.873,56.475,0.115,0.210,1.837,0.253,0.818,UNID-PSR
4FGL J0140.5-4730,280.902,-67.467,39.371,0.102,-0.673,0.378,0.020,0.431,UNID-BLL
4FGL J0142.5+6650,127.960,4.501,83.393,0.132,0.821,0.749,1.357,0.353,UNID-PSR
4FGL J0143.8+4947,131.548,-12.203,50.324,0.053,0.036,0.115,0.102,0.100,UNID-BLL
4FGL J0150.4+4848,132.864,-12.914,58.474,0.058,0.046,1.436,0.051,5.095,UNID-BLL
4FGL J0153.3+5416,131.973,-7.501,58.985,0.060,0.048,-0.012,0.024,0.100,UNID-BLL
4FGL J0153.3-1845,185.644,-73.509,32.929,0.078,-0.777,-0.033,0.025,0.100,UNID-BLL
4FGL J0155.5+2920,139.331,-31.483,29.116,0.114,-0.389,0.022,0.024,0.100,UNID-BLL
4FGL J0155.7+6642,129.217,4.624,50.875,0.175,0.716,0.814,0.474,0.548,UNID-FSRQ
4FGL J0156.3-2420,205.655,-75.133,216.669,0.033,-0.738,0.156,0.067,4.665,UNID-BLL
4FGL J0158.5+0549,151.676,-53.271,31.398,0.065,-0.418,-0.100,1.251,1000.000,UNID-BLL
4FGL J0158.9+7037,128.519,8.497,42.575,0.081,0.541,1.484,0.081,2.338,bcu-psr
4FGL J0159.0-4255,266.300,-69.133,29.861,0.185,-0.675,1.083,0.011,1.740,UNID-BLL
4FGL J0159.0+3313,138.859,-27.567,84.577,0.048,-0.327,0.114,0.022,9.651,UNID-BLL
4FGL J0159.8-2234,200.398,-73.854,26.002,0.106,-0.769,1.846,0.010,4.164,UNID-BLL
4FGL J0202.3-3531,246.368,-72.719,28.200,0.051,-0.751,2.000,0.017,36.299,UNID-BLL
4FGL J0202.4+2943,140.881,-30.646,59.201,0.042,-0.369,0.058,0.013,0.876,UNID-BLL
4FGL J0202.7+3133,140.290,-28.907,30.671,0.055,-0.328,0.626,0.015,20.331,UNID-BLL
4FGL J0203.3-2507,209.906,-73.752,31.017,0.077,-0.759,0.151,0.008,51.232,UNID-BLL
4FGL J0203.9+8120,125.748,18.844,50.421,0.046,0.126,0.216,0.011,9.795,UNID-BLL
4FGL J0204.7+6656,130.049,5.045,161.151,0.054,0.716,0.674,1.048,0.791,UNID-PSR
4FGL J0205.7+6449,130.721,3.081,6579.804,0.017,0.612,0.202,442.959,0.100,young
4FGL J0207.2-1832,190.549,-70.593,59.054,0.111,-0.654,0.116,0.239,0.100,UNID-BLL
4FGL J0209.8+2626,143.933,-33.015,55.647,0.118,-0.326,0.135,0.144,0.100,UNID-BLL
4FGL J0212.1+5321,134.929,-7.624,3510.481,0.017,0.099,0.651,17.556,1.127,bin-psr
4FGL J0213.2-8333,300.246,-33.140,42.590,0.054,-0.079,0.567,0.018,15.832,UNID-BLL
4FGL J0215.0-5330,278.198,-59.451,38.913,0.070,-0.513,1.529,0.013,7.034,UNID-BLL
4FGL J0218.1+4232,139.513,-17.512,13917.739,0.013,-0.187,0.167,210.210,0.100,MSP
4FGL J0220.0-3001,226.625,-70.354,31.293,0.105,-0.673,-0.093,0.033,1000.000,UNID-BLL
4FGL J0222.7+5016,137.496,-10.007,49.029,0.051,0.193,0.288,0.020,9.252,UNID-BLL
4FGL J0225.5-5530,278.416,-56.963,89.507,0.047,-0.569,0.984,0.064,5.926,UNID-BLL
4FGL J0226.9+7744,128.005,15.871,47.142,0.047,0.275,0.089,0.012,2.983,UNID-BLL
4FGL J0230.4-1140,184.131,-62.109,28.167,0.061,-0.636,1.070,0.017,29.138,UNID-BLL
4FGL J0235.3+5650,136.825,-3.188,395.908,0.058,0.616,0.863,4.404,0.602,UNID-PSR
4FGL J0237.8+5238,138.824,-6.914,847.300,0.025,0.295,0.997,3.362,1.662,UNID-PSR
4FGL J0239.1+6634,133.309,5.900,40.643,0.078,0.693,0.641,0.170,0.686,UNID-FSRQ
4FGL J0240.2-0248,174.685,-54.402,43.518,0.086,-0.644,-0.022,0.054,0.100,UNID-BLL
4FGL J0241.1-3035,227.698,-65.794,40.839,0.079,-0.565,-0.100,0.821,1000.000,UNID-BLL
4FGL J0243.1-4218,253.947,-62.686,55.511,0.061,-0.639,1.532,0.017,4.222,UNID-BLL
4FGL J0243.3+6319,135.108,3.130,34.854,0.105,0.676,0.781,0.044,11.779,UNID-BLL
4FGL J0244.3+1719,157.784,-37.783,32.218,0.060,-0.181,-0.051,0.020,1000.000,UNID-BLL
4FGL J0246.0-4838,264.839,-59.105,27.545,0.104,-0.567,0.505,0.016,0.479,UNID-BLL
4FGL J0248.4+6021,136.902,0.721,2608.727,0.026,0.843,0.685,135.966,0.391,young
4FGL J0248.6+4230,144.901,-15.320,176.922,0.050,-0.191,0.887,0.188,1.551,MSP
4FGL J0249.2+1652,159.299,-37.550,32.650,0.051,-0.103,0.398,0.025,47.984,UNID-BLL
4FGL J0251.0+2605,153.877,-29.494,520.265,0.033,-0.099,0.922,1.258,1.582,MSP
4FGL J0251.1-1830,201.915,-61.179,123.188,0.036,-0.542,1.063,0.120,15.410,UNID-BLL
4FGL J0251.6+0628,168.246,-45.556,61.524,0.074,0.000,-0.055,1.197,0.100,UNID-BLL
4FGL J0251.9-5146,268.627,-56.555,26.614,0.081,-0.567,0.611,0.005,2.075,UNID-BLL
4FGL J0252.0-3657,241.673,-62.791,38.108,0.097,-0.620,0.226,0.006,3.780,UNID-BLL
4FGL J0256.2-0408,180.795,-52.402,54.998,0.049,-0.393,-0.064,0.037,0.100,UNID-BLL
4FGL J0259.0+0552,170.735,-44.844,820.624,0.021,-0.100,0.190,1.033,2.737,UNID-BLL
4FGL J0259.1-4748,261.292,-57.689,44.600,0.073,-0.630,2.000,0.016,5.500,UNID-BLL
4FGL J0300.0-6139,280.091,-49.382,34.364,0.057,-0.504,0.373,0.004,5.027,UNID-BLL
