4FGL-DR3,glat,glon,significance,r95,variability,Ep,Fp,d,association,prediction,p_bll,p_fsrq,p_pulsar
4FGL J0826.0-0157,19.963,226.047,6.795,0.087,21.942,0.226,0.095,0.226,unid,bll,0.628,0.369,0.003
4FGL J0826.1-5053,-7.386,267.307,13.457,0.054,10.795,1.539,1.068,0.762,unid,pulsar,0.000,0.000,1.000
4FGL J0827.0-4111,-1.651,259.437,6.007,0.057,12.264,0.100,0.543,-0.028,unid,bll,0.918,0.075,0.007
4FGL J0827.6-0059,20.770,225.360,5.158,0.187,20.018,3.060,0.019,0.314,unid,bll,0.903,0.094,0.004
4FGL J0828.0+5659,35.503,160.567,4.266,0.083,18.430,1000.000,0.011,-0.000,unid,bll,0.828,0.141,0.031
4FGL J0828.4-4444,-3.516,262.472,11.180,0.075,9.052,2.032,3.557,1.017,unid,pulsar,0.001,0.004,0.995
4FGL J0829.3+3729,34.753,184.444,8.495,0.310,9.600,0.111,0.909,0.487,unid,fsrq,0.293,0.685,0.022
4FGL J0830.1-5454,-9.179,270.982,5.244,0.259,5.859,0.797,0.301,1.955,unid,pulsar,0.045,0.232,0.723
4FGL J0832.2-4322,-2.155,261.767,5.868,0.093,10.341,0.100,12.127,0.007,unid,fsrq,0.290,0.691,0.019
4FGL J0833.3-4342,-2.199,262.165,4.828,0.078,16.862,3.143,0.219,0.624,unid,bll,0.877,0.084,0.039
4FGL J0836.6-6036,-11.750,276.224,5.690,0.080,12.940,0.832,0.049,0.325,unid,bll,0.826,0.170,0.003
4FGL J0837.8-4048,0.215,260.348,4.665,0.170,5.925,1.390,0.675,1.209,unid,pulsar,0.000,0.000,1.000
4FGL J0838.4-3952,0.867,259.669,5.671,0.200,11.200,0.305,8.561,1.079,unid,pulsar,0.040,0.384,0.576
4FGL J0838.5+4013,36.907,181.421,4.129,0.158,10.726,1000.000,0.288,-0.070,unid,bll,0.887,0.106,0.007
4FGL J0838.7-3359,4.477,255.009,4.596,0.090,20.624,0.100,0.337,0.146,unid,bll,0.647,0.346,0.007
4FGL J0838.9-2502,9.873,247.809,5.779,0.167,3.251,0.529,0.183,0.906,unid,pulsar,0.044,0.161,0.796
4FGL J0840.5-4122,0.272,261.106,5.268,0.212,10.099,0.265,24.933,1.190,unid,pulsar,0.048,0.148,0.804
4FGL J0840.6-3130,6.301,253.276,4.899,0.137,12.291,1.446,0.104,1.997,unid,pulsar,0.005,0.022,0.972
4FGL J0843.7-6933,-16.313,284.201,5.243,0.042,8.743,0.100,0.035,-0.083,unid,bll,0.904,0.089,0.007
4FGL J0843.9-4224,0.126,262.299,6.783,0.177,8.988,0.413,10.665,1.147,unid,pulsar,0.014,0.081,0.905
4FGL J0844.1-4330,-0.529,263.192,7.793,0.164,6.486,0.479,6.567,0.727,unid,pulsar,0.012,0.068,0.920
4FGL J0844.5+3035,36.515,193.539,4.614,0.072,10.004,0.102,0.018,0.088,unid,bll,0.883,0.110,0.007
4FGL J0844.9-4117,0.973,261.551,7.263,0.207,6.968,1.127,1.604,1.077,unid,pulsar,0.000,0.000,1.000
4FGL J0846.6-4747,-2.842,266.818,4.552,0.055,16.363,0.100,7.123,-0.100,unid,fsrq,0.178,0.809,0.013
4FGL J0847.1-5954,-10.292,276.436,6.294,0.042,18.881,2.062,0.016,0.016,unid,bll,0.877,0.116,0.007
4FGL J0847.8-4138,1.171,262.150,6.047,0.135,7.222,0.333,7.150,0.961,unid,pulsar,0.027,0.234,0.739
4FGL J0848.2-4527,-1.169,265.178,7.562,0.105,8.125,0.100,16.359,-0.049,unid,fsrq,0.409,0.559,0.032
4FGL J0848.8-4328,0.164,263.694,13.091,0.104,8.746,0.117,64.115,0.324,unid,pulsar,0.278,0.199,0.523
4FGL J0849.0-2702,10.476,250.821,4.942,0.188,19.913,0.127,0.336,0.322,unid,fsrq,0.157,0.837,0.005
4FGL J0849.2-4410,-0.222,264.294,5.225,0.123,4.352,0.100,10.564,0.104,unid,fsrq,0.207,0.767,0.026
4FGL J0849.5+2710,36.754,197.995,4.159,0.166,17.424,0.770,0.024,0.519,unid,bll,0.746,0.250,0.004
4FGL J0849.6-5836,-9.240,275.596,4.658,0.046,7.063,13.416,0.030,1.325,unid,bll,0.907,0.087,0.006
4FGL J0850.8-4239,0.961,263.302,6.089,0.230,10.301,0.381,17.483,1.589,unid,pulsar,0.042,0.066,0.891
4FGL J0851.1-1806,16.273,243.822,4.392,0.058,9.670,0.100,0.015,0.026,unid,bll,0.895,0.098,0.007
4FGL J0852.2-7208,-17.266,286.822,4.506,0.211,13.727,3.898,0.022,1.092,unid,bll,0.917,0.082,0.002
4FGL J0852.5-2515,12.206,249.891,5.032,0.066,6.092,0.100,0.095,-0.098,unid,bll,0.898,0.096,0.007
4FGL J0853.1-4407,0.352,264.698,5.685,0.262,16.180,0.656,2.875,1.046,unid,pulsar,0.003,0.023,0.974
4FGL J0853.2-4218,1.526,263.307,6.152,0.105,4.979,0.839,1.606,1.151,unid,pulsar,0.000,0.003,0.997
4FGL J0853.6-4306,1.072,263.976,10.215,0.167,3.466,0.535,15.349,1.242,unid,pulsar,0.039,0.067,0.894
4FGL J0854.8-4504,-0.034,265.607,36.176,0.028,6.547,1.703,41.549,0.823,unid,pulsar,0.002,0.006,0.992
4FGL J0854.9-4426,0.387,265.139,4.781,0.076,18.218,0.100,7.048,-0.068,unid,fsrq,0.169,0.819,0.012
4FGL J0855.0+0720,30.773,220.857,4.747,0.178,14.812,0.100,0.651,0.124,unid,bll,0.754,0.238,0.008
4FGL J0855.0-6026,-9.854,277.494,5.952,0.100,10.159,0.884,0.063,0.411,unid,bll,0.791,0.201,0.008
4FGL J0856.0-4724,-1.382,267.529,4.220,0.050,2.417,0.100,2.761,-0.100,unid,fsrq,0.230,0.756,0.014
4FGL J0857.0-4353,1.032,264.966,4.284,0.160,21.053,0.478,2.900,0.866,unid,pulsar,0.036,0.411,0.553
4FGL J0857.7-4256,1.752,264.334,11.449,0.084,10.606,0.206,10.913,0.297,unid,pulsar,0.440,0.519,0.040
4FGL J0858.4-4615,-0.324,266.923,4.811,0.105,12.044,0.492,2.462,0.732,unid,pulsar,0.006,0.052,0.941
4FGL J0859.2-4729,-1.027,267.937,16.404,0.079,8.831,0.279,23.840,0.327,unid,pulsar,0.318,0.159,0.522
4FGL J0859.3-4342,1.460,265.096,13.765,0.128,15.642,0.776,12.822,0.871,unid,pulsar,0.003,0.015,0.982
4FGL J0900.2-2549,13.197,251.468,4.332,0.070,12.856,0.100,0.580,0.101,unid,bll,0.825,0.167,0.008
4FGL J0900.5-4434,1.058,265.900,9.514,0.099,9.141,0.392,23.800,0.775,unid,pulsar,0.010,0.035,0.955
4FGL J0901.1-4456,0.892,266.242,9.745,0.079,11.463,1.111,2.971,0.610,unid,pulsar,0.001,0.004,0.995
4FGL J0902.5-4727,-0.580,268.284,5.677,0.081,15.043,0.100,3.015,0.114,unid,fsrq,0.119,0.875,0.006
4FGL J0902.8-4633,0.049,267.646,4.882,0.117,18.940,0.772,0.725,0.672,unid,pulsar,0.009,0.058,0.933
4FGL J0903.5+4057,41.709,180.923,4.985,0.056,11.877,10.198,0.007,0.582,unid,bll,0.899,0.092,0.009
4FGL J0904.6+5200,41.307,166.160,4.085,0.178,32.098,0.100,0.181,-0.048,unid,bll,0.938,0.054,0.007
4FGL J0906.1-1011,23.892,239.320,6.841,0.060,3.380,1.596,0.018,0.094,unid,bll,0.897,0.094,0.010
4FGL J0906.2-5337,-4.262,273.273,5.654,0.054,14.129,34.373,0.100,1.973,unid,bll,0.908,0.085,0.007
4FGL J0906.8-2122,17.183,248.879,16.655,0.099,6.312,0.547,4.288,1.987,unid,pulsar,0.122,0.136,0.742
4FGL J0907.6-0606,26.556,235.860,4.084,0.050,10.990,1000.000,0.017,-0.031,unid,bll,0.857,0.122,0.020
4FGL J0910.1-1816,19.747,246.859,5.862,0.070,10.866,3.395,0.043,1.046,unid,bll,0.900,0.098,0.002
4FGL J0910.3-4816,-0.160,269.766,4.551,0.130,10.625,0.616,4.235,1.869,unid,pulsar,0.026,0.059,0.915
4FGL J0910.9+6055,40.228,154.411,5.758,0.112,18.044,3.640,0.015,0.675,unid,bll,0.908,0.089,0.003
4FGL J0911.6-4738,0.430,269.458,6.082,0.069,9.850,0.100,14.266,0.158,unid,fsrq,0.301,0.677,0.022
4FGL J0912.0-1539,21.737,244.978,4.506,0.182,30.090,1.864,0.031,1.925,unid,bll,0.341,0.419,0.240
4FGL J0914.5+6845,37.850,144.791,8.557,0.066,14.917,31.260,0.015,0.048,unid,bll,0.878,0.115,0.007
4FGL J0916.9+7756,33.796,134.615,6.432,0.068,12.325,0.760,0.009,0.157,unid,bll,0.886,0.106,0.007
4FGL J0917.9-4755,0.987,270.392,9.528,0.186,13.424,0.377,13.264,0.779,unid,pulsar,0.045,0.257,0.699
4FGL J0918.5+3516,44.300,188.938,4.968,0.159,10.159,2.895,0.015,1.995,unid,bll,0.847,0.091,0.063
4FGL J0918.9-4904,0.311,271.325,5.232,0.146,2.461,0.389,9.545,1.803,unid,pulsar,0.424,0.219,0.357
4FGL J0919.3+6607,39.320,147.633,8.066,0.067,14.154,5.855,0.017,0.124,unid,bll,0.904,0.090,0.006
4FGL J0919.5-6203,-8.727,280.696,9.098,0.072,7.207,2.151,0.153,1.134,unid,pulsar,0.066,0.098,0.836
4FGL J0924.1-5202,-1.213,274.015,5.665,0.509,6.654,0.140,6.318,0.451,unid,fsrq,0.140,0.841,0.019
4FGL J0926.1-5336,-2.127,275.327,9.100,0.095,10.145,2.635,0.971,1.679,unid,pulsar,0.002,0.007,0.991
4FGL J0928.3-2713,16.978,256.864,5.083,0.086,16.201,0.100,0.326,-0.040,unid,bll,0.932,0.061,0.007
4FGL J0928.4-5256,-1.403,275.101,9.526,0.053,16.171,3.288,0.214,0.057,unid,bll,0.926,0.072,0.002
4FGL J0929.3-4110,7.214,267.088,6.411,0.039,12.795,1000.000,0.373,0.000,unid,bll,0.890,0.103,0.007
4FGL J0930.9-3030,15.075,259.712,7.239,0.047,7.782,1000.000,0.039,-0.027,unid,bll,0.884,0.105,0.011
4FGL J0931.4-3559,11.231,263.740,6.814,0.045,13.707,4.485,0.040,0.407,unid,bll,0.913,0.086,0.001
4FGL J0933.8-6232,-7.907,282.244,47.738,0.021,9.407,2.250,19.375,1.280,unid,pulsar,0.009,0.014,0.976
4FGL J0934.5+7223,37.621,139.734,7.425,0.158,17.480,0.100,2.827,-0.097,unid,fsrq,0.178,0.812,0.009
4FGL J0935.5+1152,41.728,221.383,4.466,0.067,12.176,1000.000,5.734,-0.100,unid,bll,0.895,0.089,0.016
4FGL J0937.6-3358,13.575,263.261,4.467,0.068,2.374,0.260,0.607,1.475,unid,pulsar,0.354,0.284,0.362
4FGL J0938.8+5155,46.487,164.782,6.135,0.095,16.442,6.368,0.011,0.315,unid,bll,0.909,0.085,0.006
4FGL J0942.1-5215,0.498,276.197,5.157,0.101,15.109,0.254,1.208,0.373,unid,fsrq,0.380,0.542,0.077
4FGL J0942.3-3530,13.105,265.051,4.619,0.213,7.057,0.730,0.106,0.917,unid,pulsar,0.165,0.522,0.313
4FGL J0942.5+7620,35.864,135.289,5.528,0.116,18.119,4.679,0.012,1.223,unid,bll,0.896,0.098,0.005
4FGL J0943.6+4207,49.154,178.907,4.250,0.122,34.033,0.234,0.049,0.381,unid,fsrq,0.366,0.629,0.005
4FGL J0944.3-0911,31.932,244.992,4.770,0.067,4.248,6.029,0.013,0.542,unid,bll,0.872,0.119,0.009
4FGL J0944.6+5729,45.450,156.803,5.105,0.054,6.973,31.649,0.004,0.068,unid,bll,0.885,0.103,0.012
4FGL J0944.7-5124,1.404,275.939,7.615,0.056,8.760,5.761,0.159,0.546,unid,bll,0.875,0.114,0.011
4FGL J0945.2-3658,12.396,266.511,4.778,0.377,5.059,0.310,0.305,0.714,unid,pulsar,0.047,0.244,0.709
4FGL J0946.7+0548,41.258,230.274,4.780,0.150,7.551,0.100,0.091,0.063,unid,bll,0.882,0.113,0.005
4FGL J0947.0-3548,13.513,265.985,7.617,0.205,23.466,0.418,0.760,0.985,unid,fsrq,0.018,0.823,0.158
4FGL J0947.8-4234,8.498,270.611,4.944,0.158,22.984,1.102,0.079,0.405,unid,bll,0.784,0.214,0.002
4FGL J0948.0-3859,11.237,268.289,4.605,0.448,8.513,0.346,0.484,1.284,unid,fsrq,0.040,0.341,0.620
4FGL J0949.8+7551,36.499,135.424,10.062,0.095,12.082,1.824,0.047,0.802,unid,bll,0.874,0.123,0.003
4FGL J0951.4+2019,48.476,212.350,4.752,0.094,18.377,3.665,0.011,0.475,unid,bll,0.904,0.092,0.005
4FGL J0951.5-3433,15.068,265.859,5.637,0.232,6.318,0.478,0.352,1.540,unid,fsrq,0.068,0.377,0.555
4FGL J0951.8-3711,13.088,267.666,5.041,0.583,16.370,0.365,0.386,1.163,unid,fsrq,0.028,0.894,0.078
4FGL J0951.8-5944,-4.378,282.033,6.669,0.084,18.037,1.302,0.493,2.000,unid,pulsar,0.016,0.082,0.901
4FGL J0952.5-3902,11.756,268.996,5.324,0.158,6.256,0.997,0.203,1.983,unid,pulsar,0.019,0.087,0.893
4FGL J0953.6-1509,29.603,251.903,31.646,0.035,12.091,1.741,4.030,1.310,unid,pulsar,0.001,0.004,0.994
4FGL J0953.8-3200,17.315,264.519,4.534,0.077,5.983,0.100,0.123,0.037,unid,bll,0.892,0.102,0.006
4FGL J0955.8-4106,10.560,270.829,6.464,0.309,15.563,0.288,1.325,1.166,unid,fsrq,0.029,0.505,0.467
4FGL J0957.3-3851,12.490,269.615,4.065,0.397,3.683,0.100,1.818,0.496,unid,fsrq,0.364,0.615,0.022
4FGL J0957.7-3510,15.404,267.276,5.695,0.852,12.824,0.213,0.652,0.776,unid,fsrq,0.034,0.806,0.160
4FGL J0958.6-0522,37.098,244.239,6.913,0.095,8.113,0.100,0.178,-0.100,unid,bll,0.892,0.101,0.007
4FGL J0959.1-6441,-7.721,285.800,5.288,0.192,14.052,0.652,0.102,0.549,unid,fsrq,0.330,0.651,0.020
4FGL J0959.2-7535,-16.241,292.738,4.443,0.057,16.786,0.717,0.008,0.022,unid,bll,0.892,0.099,0.009
4FGL J1000.7-4248,9.794,272.624,5.439,0.208,14.764,0.346,0.274,0.656,unid,fsrq,0.020,0.926,0.054
4FGL J1001.3-2040,26.915,257.753,5.213,0.058,5.982,5.169,0.015,0.597,unid,bll,0.889,0.106,0.005
4FGL J1001.8+7628,36.657,134.262,5.787,0.055,17.989,7.781,0.004,0.226,unid,bll,0.898,0.091,0.012
4FGL J1002.3-2810,21.421,263.365,4.305,0.639,4.736,0.419,0.259,2.000,unid,fsrq,0.195,0.600,0.205
4FGL J1002.9-2937,20.389,264.460,4.654,0.105,5.783,0.162,0.087,0.223,unid,bll,0.836,0.156,0.007
4FGL J1003.2-5737,-1.782,281.905,7.391,0.129,6.581,0.650,4.629,0.595,unid,pulsar,0.005,0.018,0.977
4FGL J1003.7+7049,40.409,139.684,6.088,0.048,11.808,0.100,0.686,-0.100,unid,bll,0.917,0.076,0.007
4FGL J1005.5-5708,-1.215,281.861,6.235,0.278,8.516,0.824,9.151,1.718,unid,pulsar,0.016,0.018,0.967
4FGL J1006.5-5626,-0.565,281.572,5.032,0.130,3.478,0.429,8.169,0.998,unid,pulsar,0.025,0.099,0.877
4FGL J1007.6+4253,53.396,176.584,5.101,0.282,35.384,0.100,0.268,0.279,unid,fsrq,0.101,0.895,0.004
4FGL J1007.8-4514,8.622,275.131,4.473,0.065,13.229,1000.000,0.310,-0.100,unid,bll,0.885,0.108,0.007
4FGL J1008.2-1000,35.747,250.493,5.901,0.827,10.455,0.100,1.232,0.519,unid,fsrq,0.222,0.762,0.017
4FGL J1009.5-0034,42.249,241.662,5.447,0.141,8.944,1.499,0.034,0.968,unid,bll,0.890,0.105,0.005
4FGL J1011.4-5729,-1.040,282.720,7.383,0.161,10.700,0.551,8.141,0.763,unid,pulsar,0.010,0.055,0.935
4FGL J1014.6+6126,46.906,149.185,7.126,0.100,4.143,2.256,0.017,0.903,unid,bll,0.889,0.102,0.009
4FGL J1015.1-6353,-6.046,286.727,8.304,0.080,8.812,2.257,0.160,0.840,unid,pulsar,0.196,0.139,0.665
4FGL J1015.5-6030,-3.218,284.866,15.175,0.080,6.691,0.100,70.261,0.283,unid,pulsar,0.319,0.210,0.471
4FGL J1016.1-4247,11.488,274.932,12.801,0.037,13.031,10.374,0.187,0.314,unid,bll,0.899,0.098,0.004
4FGL J1016.2-5729,-0.683,283.253,5.092,0.092,17.099,0.446,1.801,0.299,unid,bll,0.700,0.179,0.121
4FGL J1017.4+5956,48.034,150.710,5.078,0.097,11.040,0.100,0.046,-0.094,unid,bll,0.910,0.083,0.007
4FGL J1018.1-4051,13.289,274.126,4.889,0.141,20.636,0.443,0.094,0.470,unid,fsrq,0.187,0.810,0.003
4FGL J1018.1-2705,24.458,265.610,6.312,0.107,8.531,0.356,0.203,0.436,unid,fsrq,0.234,0.620,0.146
4FGL J1018.2+0145,45.402,240.995,6.504,0.122,7.210,1.407,0.091,1.622,unid,pulsar,0.102,0.063,0.835
4FGL J1018.3-0703,39.600,250.027,6.121,0.246,13.439,0.186,0.177,0.310,unid,fsrq,0.364,0.629,0.007
4FGL J1019.3+5625,50.149,155.046,4.426,0.065,19.858,8.048,0.007,1.122,unid,bll,0.862,0.121,0.017
4FGL J1020.4-5314,3.198,281.410,9.614,0.114,8.259,1.209,0.659,1.031,unid,pulsar,0.000,0.000,1.000
4FGL J1021.8-6348,-5.575,287.307,4.840,0.060,12.357,21.642,0.024,0.413,unid,bll,0.906,0.089,0.005
4FGL J1021.8-6308,-5.014,286.950,5.042,0.056,8.987,0.100,1.422,-0.100,unid,bll,0.632,0.363,0.006
4FGL J1022.1-1818,31.925,260.235,5.052,0.071,7.031,5.617,0.021,0.889,unid,bll,0.890,0.106,0.004
4FGL J1026.2-5731,0.022,284.405,15.260,0.052,6.994,1.433,22.068,1.273,unid,pulsar,0.005,0.010,0.984
4FGL J1028.1-3550,18.536,272.905,4.598,0.067,13.093,0.100,0.212,-0.100,unid,bll,0.928,0.065,0.007
4FGL J1028.4-1539,34.918,259.604,5.228,0.189,10.631,0.100,0.125,-0.083,unid,bll,0.903,0.091,0.006
4FGL J1029.4-0828,40.507,253.873,4.376,0.092,14.490,1000.000,0.008,0.007,unid,bll,0.798,0.163,0.040
4FGL J1029.9+7335,39.974,135.258,5.300,0.073,9.164,5.609,0.007,0.532,unid,bll,0.890,0.103,0.007
4FGL J1030.7+6118,48.523,147.615,5.316,0.092,14.847,0.100,1.247,-0.074,unid,bll,0.712,0.281,0.007
4FGL J1031.4-4448,11.307,278.418,4.599,0.073,9.471,3.591,0.041,1.915,unid,bll,0.795,0.100,0.105
4FGL J1036.2+5701,51.720,152.190,4.530,0.072,7.603,0.190,2.845,1.214,unid,fsrq,0.056,0.321,0.623
4FGL J1036.5-1809,34.149,263.340,6.558,0.138,10.224,0.100,2.065,0.120,unid,fsrq,0.280,0.714,0.006
4FGL J1036.6-4349,12.615,278.708,13.469,0.052,7.708,1.286,0.307,0.446,unid,pulsar,0.100,0.018,0.882
4FGL J1037.8-5810,0.244,286.061,12.385,0.092,11.658,0.170,60.043,0.399,unid,pulsar,0.141,0.128,0.731
4FGL J1039.2+3258,60.929,193.238,9.795,0.086,10.836,0.100,0.442,0.066,unid,bll,0.876,0.117,0.008
4FGL J1043.0+5316,54.718,156.313,7.920,0.199,10.353,0.100,1.455,0.107,unid,fsrq,0.510,0.484,0.006
4FGL J1044.5-1439,38.091,262.649,5.976,0.128,12.896,1.644,0.062,1.999,unid,pulsar,0.019,0.027,0.954
4FGL J1046.7-6010,-0.967,288.006,16.373,0.095,10.508,0.671,41.631,0.804,unid,pulsar,0.001,0.002,0.997
4FGL J1047.2+6740,45.356,139.118,7.848,0.084,22.414,20.319,0.014,0.219,unid,bll,0.893,0.099,0.007
4FGL J1047.5-6532,-5.686,290.569,5.051,0.191,7.875,0.703,0.566,1.622,unid,pulsar,0.017,0.109,0.874
4FGL J1048.4-5030,7.727,283.776,8.813,0.033,9.403,22.903,0.105,0.500,unid,bll,0.904,0.091,0.005
4FGL J1048.5-5923,-0.167,287.855,18.519,0.058,5.042,0.876,47.145,1.098,unid,pulsar,0.004,0.009,0.987
4FGL J1049.6-0153,48.755,252.754,4.597,0.333,6.598,0.100,1.063,0.596,unid,fsrq,0.385,0.581,0.035
4FGL J1049.8+2741,63.073,204.650,6.510,0.061,19.936,0.100,0.009,0.013,unid,bll,0.886,0.105,0.009
4FGL J1049.9-3658,19.824,277.507,5.069,0.106,11.144,3.430,0.019,0.990,unid,bll,0.916,0.082,0.003
4FGL J1054.0-5938,-0.078,288.588,6.148,0.186,8.454,2.172,0.959,1.237,unid,pulsar,0.000,0.002,0.998
4FGL J1054.7-6008,-0.491,288.883,7.397,0.054,9.912,0.285,1.740,0.126,unid,bll,0.820,0.167,0.014
4FGL J1055.6-0719,45.587,259.608,5.466,0.150,12.582,1.174,0.064,1.922,unid,pulsar,0.016,0.038,0.946
4FGL J1055.9+6507,47.851,140.552,9.428,0.062,79.171,0.100,0.214,-0.065,unid,bll,0.807,0.184,0.009
4FGL J1056.2-6323,-3.345,290.446,5.081,0.174,7.041,0.174,3.177,0.541,unid,fsrq,0.166,0.778,0.056
4FGL J1056.3+1350,60.067,233.467,4.369,0.266,12.854,0.100,2.192,-0.012,unid,fsrq,0.273,0.720,0.007
4FGL J1057.6-4051,17.069,280.803,6.144,0.048,18.648,15.140,0.046,1.193,unid,bll,0.915,0.081,0.004
4FGL J1058.4-6625,-5.995,291.962,10.520,0.037,18.877,3.595,0.148,0.177,unid,bll,0.934,0.065,0.001
4FGL J1058.9-6101,-1.071,289.732,8.361,0.139,9.836,0.584,4.238,0.363,unid,pulsar,0.146,0.092,0.762
4FGL J1059.4+0226,53.571,250.782,13.120,0.066,25.338,0.389,0.538,0.219,unid,bll,0.786,0.203,0.011
4FGL J1100.0-2044,35.060,270.684,6.921,0.086,7.404,1.421,0.043,0.441,unid,bll,0.899,0.097,0.004
4FGL J1102.3+6715,46.584,137.861,5.246,0.094,16.690,21.155,0.007,0.378,unid,bll,0.900,0.092,0.008
4FGL J1103.0-2447,31.877,273.782,4.646,0.273,9.531,0.100,2.421,0.046,unid,fsrq,0.231,0.763,0.006
4FGL J1105.1-2600,31.031,274.950,8.846,0.078,9.190,1.954,0.098,1.056,unid,pulsar,0.553,0.273,0.174
4FGL J1105.3-0626,47.743,261.658,5.155,0.054,9.685,36.315,0.129,1.908,unid,bll,0.909,0.082,0.008
4FGL J1106.2+7303,41.971,132.938,4.985,0.207,25.250,0.100,2.193,-0.100,unid,fsrq,0.254,0.735,0.010
4FGL J1106.4+0859,59.287,244.175,6.343,0.569,15.788,0.100,4.967,0.091,unid,fsrq,0.100,0.893,0.007
4FGL J1106.7+3623,65.993,183.692,9.965,0.163,78.330,0.100,0.439,0.184,unid,fsrq,0.088,0.907,0.005
4FGL J1106.7-1742,38.477,270.488,16.045,0.054,12.380,1.540,0.486,0.865,unid,pulsar,0.000,0.002,0.998
4FGL J1109.1-4853,10.611,286.145,7.416,0.126,22.374,1.471,0.132,1.100,unid,bll,0.364,0.596,0.040
4FGL J1109.8+4406,63.465,166.520,8.005,0.125,8.845,0.100,2.124,0.188,unid,fsrq,0.260,0.734,0.006
4FGL J1110.3-6501,-4.210,292.519,4.817,0.107,7.677,0.100,1.175,0.174,unid,bll,0.625,0.369,0.006
4FGL J1110.4-8023,-18.380,298.633,6.004,0.063,15.477,10.197,0.052,1.536,unid,bll,0.919,0.079,0.002
4FGL J1111.4+0137,55.003,255.471,4.442,0.121,7.436,0.100,0.218,0.007,unid,bll,0.882,0.111,0.006
4FGL J1112.2-6055,-0.332,291.170,11.189,0.048,4.065,0.890,34.282,0.615,unid,pulsar,0.002,0.006,0.993
4FGL J1114.6+1225,62.983,241.153,4.478,0.094,13.756,3.047,0.016,2.000,unid,bll,0.824,0.124,0.052
4FGL J1115.1-6118,-0.568,291.633,16.304,0.037,6.275,0.100,28.065,0.104,unid,pulsar,0.521,0.394,0.085
4FGL J1116.3+1818,66.422,229.892,4.194,0.126,12.686,0.160,0.054,0.292,unid,bll,0.657,0.337,0.006
4FGL J1118.1+5857,54.300,143.402,5.095,0.124,11.370,15.976,0.008,0.289,unid,bll,0.909,0.085,0.007
4FGL J1118.6-6159,-1.059,292.274,4.535,0.075,8.340,0.868,0.663,0.422,unid,pulsar,0.016,0.004,0.980
4FGL J1119.9-1007,46.638,269.063,7.344,0.119,27.673,1.065,0.048,0.261,unid,bll,0.823,0.175,0.002
4FGL J1120.0-2204,36.056,276.492,58.863,0.023,16.782,1.039,26.386,0.947,unid,pulsar,0.001,0.004,0.995
4FGL J1120.1-2645,31.810,278.884,12.837,0.044,40.303,1000.000,0.452,-0.051,unid,bll,0.890,0.100,0.010
4FGL J1122.0-0231,53.347,263.400,7.745,0.124,18.109,0.100,1.192,-0.100,unid,bll,0.741,0.251,0.008
4FGL J1122.2+3926,67.757,173.647,4.412,0.199,7.114,0.100,0.341,-0.027,unid,bll,0.892,0.101,0.007
4FGL J1122.4-6237,-1.506,292.904,8.868,0.078,15.273,0.563,0.834,0.123,unid,bll,0.950,0.036,0.014
4FGL J1122.5-1440,42.960,272.942,7.385,0.097,16.987,0.100,4.180,-0.047,unid,fsrq,0.118,0.873,0.009
4FGL J1123.2-5111,9.302,289.148,6.760,0.129,7.696,1.476,0.108,0.777,unid,pulsar,0.398,0.285,0.317
4FGL J1123.8-4552,14.339,287.383,10.249,0.060,13.928,0.449,0.190,0.168,unid,bll,0.850,0.141,0.009
4FGL J1124.1-1203,45.456,271.735,6.434,0.167,37.035,1.837,0.081,1.940,unid,pulsar,0.101,0.361,0.538
4FGL J1124.5-0658,49.943,268.141,4.415,0.087,8.572,1.851,0.012,0.232,unid,bll,0.895,0.100,0.005
4FGL J1125.1+4811,63.074,155.709,4.477,0.064,15.306,3.943,0.007,1.029,unid,bll,0.877,0.112,0.011
4FGL J1125.2+2557,70.708,211.515,8.779,0.197,28.719,0.154,0.542,0.515,unid,fsrq,0.010,0.988,0.002
4FGL J1125.8-4004,19.906,285.670,5.009,0.062,20.607,1.763,0.019,0.307,unid,bll,0.880,0.116,0.004
4FGL J1126.0-5007,10.463,289.203,9.689,0.067,6.061,2.585,0.196,1.468,unid,pulsar,0.020,0.034,0.946
4FGL J1127.9-6158,-0.680,293.299,9.869,0.101,9.215,0.814,5.932,0.702,unid,pulsar,0.002,0.009,0.989
4FGL J1129.1-5230,8.353,290.448,8.006,0.047,28.254,8.799,0.031,0.028,unid,bll,0.896,0.095,0.009
4FGL J1130.5-6236,-1.185,293.778,4.502,0.057,7.207,0.373,0.315,0.095,unid,bll,0.884,0.093,0.023
4FGL J1130.5+1400,67.030,243.719,5.542,0.145,27.909,0.100,0.395,0.105,unid,bll,0.668,0.326,0.007
4FGL J1131.6+4657,64.719,155.992,6.266,0.072,14.005,0.100,0.022,-0.059,unid,bll,0.912,0.082,0.006
4FGL J1132.1-1448,43.860,275.900,9.386,0.058,37.202,4.447,0.056,0.288,unid,bll,0.895,0.103,0.003
4FGL J1133.7-6223,-0.865,294.068,7.579,0.089,13.537,0.770,7.434,0.928,unid,pulsar,0.003,0.016,0.982
4FGL J1137.3+0535,62.176,260.313,4.248,0.219,8.094,0.100,0.123,0.101,unid,bll,0.856,0.138,0.006
4FGL J1138.4-3555,24.647,286.733,6.513,0.132,18.834,0.873,0.082,0.581,unid,bll,0.488,0.507,0.005
4FGL J1140.7-0129,56.701,269.399,5.141,0.069,6.405,1.975,0.009,0.169,unid,bll,0.891,0.102,0.008
