4FGL-DR4,glat,glon,significance,r95,variability,Ep,Fp,d,association,prediction,p_bll,p_fsrq,p_pulsar
4FGL J0008.9+2509,-36.725,110.915,4.126,0.252,20.426,0.100,0.655,0.286,unid,fsrq,0.046,0.946,0.008
4FGL J0009.1-5012,-65.545,319.395,9.656,0.156,27.351,0.212,0.154,0.276,unid,fsrq,0.350,0.647,0.002
4FGL J0009.2+1745,-43.965,108.909,7.263,0.148,19.297,0.203,0.197,0.361,unid,fsrq,0.110,0.887,0.004
4FGL J0009.7-1418,-73.912,83.706,9.196,0.093,14.395,0.100,0.336,0.143,unid,fsrq,0.445,0.550,0.005
4FGL J0009.9+2810,-33.807,111.931,5.353,0.106,14.099,6.120,0.009,0.307,unid,bll,0.922,0.076,0.003
4FGL J0010.1+1631,-45.218,108.813,4.604,0.077,13.962,12.630,0.005,0.273,unid,bll,0.916,0.077,0.007
4FGL J0010.2-2431,-80.374,46.330,4.321,0.094,13.785,2.030,0.006,0.274,unid,bll,0.917,0.079,0.004
4FGL J0011.5+4822,-13.961,116.118,4.283,0.271,11.985,0.100,0.444,0.270,unid,fsrq,0.099,0.894,0.007
4FGL J0017.1-4605,-69.865,320.389,7.176,0.138,13.606,0.100,1.181,0.113,unid,fsrq,0.507,0.484,0.009
4FGL J0017.4+6506,2.474,119.367,5.524,0.051,18.291,5.785,0.045,0.264,unid,bll,0.938,0.061,0.001
4FGL J0018.8+5112,-11.335,117.740,5.247,0.454,8.681,0.100,0.502,0.021,unid,bll,0.775,0.220,0.005
4FGL J0021.7+4533,-16.996,117.505,4.177,0.084,18.938,0.975,0.016,0.484,unid,bll,0.919,0.075,0.006
4FGL J0022.0-5921,-57.381,309.870,12.374,0.112,19.921,0.100,0.593,0.071,unid,bll,0.614,0.380,0.006
4FGL J0023.6-4209,-73.933,321.850,4.417,0.145,27.932,0.100,0.033,-0.083,unid,bll,0.922,0.068,0.010
4FGL J0024.1+2402,-38.413,114.975,10.413,0.060,27.399,0.100,0.114,0.008,unid,bll,0.919,0.077,0.003
4FGL J0024.1+7909,16.355,121.600,7.060,0.035,18.462,4.761,0.013,0.248,unid,bll,0.926,0.072,0.002
4FGL J0025.4-4838,-67.908,314.391,7.417,0.079,24.896,0.100,0.428,-0.080,unid,bll,0.940,0.057,0.002
4FGL J0025.5-5936,-57.218,308.988,6.109,0.302,23.710,0.100,0.150,0.229,unid,fsrq,0.338,0.658,0.004
4FGL J0026.1-0732,-69.518,104.762,9.666,0.049,12.689,11.099,0.045,0.254,unid,bll,0.926,0.072,0.002
4FGL J0027.0-1134,-73.422,101.514,4.385,0.062,14.851,1000.000,0.011,0.028,unid,bll,0.898,0.091,0.011
4FGL J0030.2-5149,-64.975,310.692,4.769,0.258,16.943,0.125,0.081,0.366,unid,fsrq,0.293,0.701,0.006
4FGL J0030.6+0539,-56.827,113.453,4.134,0.283,9.226,0.100,5.081,-0.004,unid,fsrq,0.699,0.291,0.009
4FGL J0030.9-3618,-79.838,327.037,6.286,0.088,22.927,1000.000,0.030,-0.035,unid,bll,0.912,0.080,0.008
4FGL J0031.0-2327,-84.106,70.318,10.294,0.111,6.942,1.948,0.070,1.102,unid,pulsar,0.012,0.043,0.946
4FGL J0031.5-5648,-60.111,308.383,7.580,0.112,17.875,9.545,0.019,0.295,unid,bll,0.925,0.072,0.002
4FGL J0032.3-5539,-61.257,308.520,4.948,0.042,11.875,328.527,0.031,0.213,unid,bll,0.883,0.107,0.010
4FGL J0034.6+6438,1.826,121.134,9.882,0.069,16.907,0.508,0.917,0.296,unid,pulsar,0.115,0.130,0.755
4FGL J0035.2-1739,-79.825,100.584,4.530,0.051,8.991,45.819,0.007,0.212,unid,bll,0.913,0.077,0.010
4FGL J0037.2-2653,-86.833,36.390,4.132,0.119,9.608,0.100,0.224,0.040,unid,bll,0.793,0.203,0.004
4FGL J0039.1+6257,0.122,121.535,28.653,0.034,11.307,1.585,9.023,0.913,unid,pulsar,0.001,0.004,0.995
4FGL J0039.7+4203,-20.754,120.615,5.293,0.089,17.639,0.100,0.111,0.045,unid,bll,0.907,0.090,0.003
4FGL J0040.2-2725,-87.495,25.414,6.615,0.088,5.958,6.713,0.008,0.238,unid,bll,0.908,0.085,0.007
4FGL J0040.7-7157,-45.138,304.102,7.717,0.065,20.428,4.994,0.019,0.435,unid,bll,0.940,0.059,0.001
4FGL J0041.3-0048,-63.563,117.249,4.345,0.670,20.845,0.100,2.849,0.196,unid,fsrq,0.080,0.914,0.006
4FGL J0042.3+3509,-27.682,120.836,4.002,0.067,14.720,17.834,0.010,0.620,unid,bll,0.917,0.076,0.006
