4FGL-DR4,glat,glon,significance,r95,variability,Ep,Fp,d,association,prediction,p_bll,p_fsrq,p_pulsar
4FGL J0741.0-5226,-14.174,265.053,4.377,0.059,20.642,1000.000,0.155,-0.100,unid,bll,0.909,0.083,0.008
4FGL J0741.9-4157,-9.217,255.619,6.259,0.160,16.603,0.100,1.568,0.284,unid,fsrq,0.072,0.919,0.009
4FGL J0743.2+4034,26.615,178.822,4.644,0.253,14.571,0.100,2.157,0.418,unid,fsrq,0.046,0.944,0.011
4FGL J0744.0+5033,28.742,167.810,6.309,0.064,16.596,9.864,0.009,0.170,unid,bll,0.912,0.083,0.005
4FGL J0744.4-1403,5.007,231.519,5.391,0.173,7.066,0.160,0.621,0.418,unid,fsrq,0.056,0.923,0.021
4FGL J0744.9-4028,-7.999,254.569,13.913,0.062,15.775,1.679,0.626,0.602,unid,pulsar,0.003,0.001,0.996
4FGL J0745.6+0107,12.554,218.180,4.134,0.167,16.027,0.100,0.252,0.088,unid,bll,0.710,0.287,0.003
4FGL J0746.5-4113,-8.107,255.385,7.256,0.067,17.381,3.548,0.032,0.198,unid,bll,0.946,0.053,0.001
4FGL J0747.2-0736,8.760,226.199,6.495,0.066,8.387,7.384,0.022,0.191,unid,bll,0.925,0.073,0.002
4FGL J0747.8+7410,29.857,140.691,7.087,0.188,55.914,0.100,4.084,0.195,unid,fsrq,0.039,0.956,0.005
4FGL J0748.8-1501,5.441,232.889,4.220,0.189,8.335,0.282,0.046,0.181,unid,bll,0.813,0.175,0.012
4FGL J0749.8-4420,-9.101,258.437,7.682,0.094,4.211,1.328,0.132,0.905,unid,pulsar,0.016,0.120,0.864
4FGL J0750.5-7519,-22.555,287.551,4.328,0.113,16.971,1.458,0.025,0.493,unid,bll,0.938,0.056,0.006
4FGL J0751.2-0029,13.046,220.318,4.220,0.064,7.355,7.706,0.009,0.957,unid,bll,0.897,0.069,0.034
4FGL J0751.6-5029,-11.816,264.045,4.204,0.163,14.213,0.359,0.265,0.791,unid,fsrq,0.006,0.941,0.053
4FGL J0752.0-2931,-1.277,245.783,11.498,0.119,8.811,0.897,1.954,1.130,unid,pulsar,0.005,0.021,0.975
4FGL J0753.1-2624,0.535,243.225,5.208,0.231,17.384,0.434,0.618,0.754,unid,pulsar,0.006,0.359,0.635
4FGL J0753.2+4319,29.043,176.249,4.549,0.055,16.031,34.542,0.008,0.264,unid,bll,0.917,0.075,0.007
4FGL J0753.4+4650,29.691,172.280,4.847,0.068,15.303,0.100,0.022,-0.045,unid,bll,0.918,0.073,0.009
4FGL J0753.8-4700,-9.811,261.128,4.808,0.136,11.213,0.141,0.300,0.316,unid,fsrq,0.104,0.890,0.006
4FGL J0754.9-3953,-6.062,255.023,13.054,0.053,6.736,2.212,0.780,1.272,unid,pulsar,0.007,0.016,0.977
4FGL J0755.6+1855,22.374,202.378,6.062,0.083,24.976,7.007,0.019,0.462,unid,bll,0.930,0.068,0.002
4FGL J0755.9-0515,11.785,225.181,7.664,0.125,7.187,0.100,6.610,0.131,unid,fsrq,0.729,0.253,0.018
4FGL J0757.9+7304,30.686,141.852,9.339,0.100,30.196,7.019,0.015,0.257,unid,bll,0.913,0.083,0.004
4FGL J0757.9-1514,7.230,234.193,5.163,0.175,18.065,0.179,1.209,0.570,unid,fsrq,0.008,0.969,0.023
4FGL J0758.8-1450,7.613,233.956,25.634,0.037,14.995,1.672,2.803,0.950,unid,pulsar,0.000,0.002,0.997
4FGL J0800.5+3715,29.111,183.374,6.714,0.098,11.877,1.402,0.041,0.876,unid,pulsar,0.087,0.049,0.864
4FGL J0800.7-1059,9.990,230.854,9.725,0.076,11.545,0.545,0.198,0.380,unid,pulsar,0.244,0.463,0.292
4FGL J0800.9+0733,18.861,214.020,9.106,0.053,6.281,7.715,0.049,0.710,unid,bll,0.855,0.137,0.008
4FGL J0800.9-0825,11.307,228.606,4.338,0.049,15.738,6.743,0.007,0.467,unid,bll,0.919,0.077,0.005
4FGL J0801.0-0618,12.390,226.767,8.358,0.058,15.907,0.100,0.729,-0.004,unid,bll,0.834,0.161,0.005
4FGL J0803.2-2522,3.008,243.543,5.827,0.128,7.460,0.100,0.084,-0.019,unid,bll,0.922,0.072,0.006
4FGL J0805.3-7425,-21.319,287.073,6.547,0.124,11.635,0.414,0.030,0.135,unid,bll,0.901,0.091,0.008
4FGL J0806.8+5659,32.619,160.674,4.799,0.128,12.351,0.100,0.011,0.018,unid,bll,0.884,0.102,0.015
4FGL J0807.2+3312,29.442,188.253,5.168,0.101,5.007,1.967,0.011,0.477,unid,bll,0.916,0.064,0.020
4FGL J0809.8+0507,19.758,217.362,6.745,0.391,43.571,0.182,0.811,0.903,unid,fsrq,0.011,0.954,0.035
4FGL J0810.0-0505,14.925,226.813,5.015,0.106,8.843,5.074,0.008,0.143,unid,bll,0.909,0.086,0.005
4FGL J0811.0-5636,-12.352,270.944,4.622,0.105,17.671,2.433,0.046,1.112,unid,pulsar,0.114,0.151,0.735
4FGL J0813.1-5049,-9.048,266.102,4.643,0.135,11.694,0.273,0.383,0.469,unid,fsrq,0.033,0.907,0.060
4FGL J0813.9+0124,18.937,221.364,4.520,0.148,16.434,0.100,0.541,0.059,unid,bll,0.698,0.297,0.005
4FGL J0815.5+6554,33.134,150.008,4.660,0.060,14.128,26.721,0.003,0.039,unid,bll,0.889,0.096,0.015
4FGL J0817.7-5258,-9.614,268.332,6.160,0.241,31.269,0.234,1.372,0.810,unid,fsrq,0.010,0.880,0.110
4FGL J0821.0-0651,16.401,229.822,6.694,0.066,22.800,2.075,0.022,0.321,unid,bll,0.948,0.051,0.001
4FGL J0821.5-1436,12.421,236.699,6.309,0.132,8.987,0.653,0.117,1.011,unid,pulsar,0.009,0.296,0.695
4FGL J0822.8-4207,-2.836,259.757,6.765,0.089,22.939,0.100,2.222,-0.037,unid,fsrq,0.428,0.563,0.009
4FGL J0824.1-6004,-12.734,274.897,6.233,0.068,19.843,6.540,0.030,0.870,unid,bll,0.897,0.096,0.007
4FGL J0825.6-5216,-8.218,268.410,6.251,0.395,9.964,0.196,1.867,0.622,unid,fsrq,0.028,0.928,0.044
4FGL J0826.0-0157,19.963,226.047,7.221,0.087,25.106,0.108,0.146,0.194,unid,fsrq,0.482,0.515,0.003
4FGL J0826.1-5053,-7.386,267.307,14.461,0.054,10.659,1.198,1.021,0.528,unid,pulsar,0.000,0.000,1.000
4FGL J0826.2-2344,8.280,245.051,4.159,0.096,10.052,0.100,0.210,-0.022,unid,bll,0.888,0.109,0.003
4FGL J0827.0-4111,-1.651,259.437,5.285,0.057,17.491,0.100,0.075,0.022,unid,bll,0.933,0.063,0.004
4FGL J0827.6-0059,20.770,225.360,5.693,0.187,23.055,5.584,0.018,0.299,unid,bll,0.931,0.067,0.002
4FGL J0828.0+5659,35.503,160.567,4.326,0.083,18.872,1000.000,0.010,-0.064,unid,bll,0.894,0.093,0.013
4FGL J0828.4-4444,-3.516,262.472,12.258,0.075,15.090,2.005,3.300,0.838,unid,pulsar,0.001,0.002,0.997
4FGL J0829.3+3729,34.753,184.444,9.482,0.310,11.564,0.100,1.710,0.412,unid,fsrq,0.072,0.914,0.014
4FGL J0830.1-5454,-9.179,270.982,6.049,0.259,9.413,0.473,0.397,0.858,unid,pulsar,0.009,0.500,0.491
4FGL J0832.2-4322,-2.155,261.767,6.030,0.093,10.689,0.100,17.746,0.022,unid,pulsar,0.557,0.272,0.171
4FGL J0833.3-4342,-2.199,262.165,4.782,0.078,20.208,3.022,0.205,0.607,unid,bll,0.890,0.051,0.059
4FGL J0836.6-6036,-11.750,276.224,6.742,0.080,11.209,1.589,0.043,0.455,unid,bll,0.895,0.086,0.018
4FGL J0837.8-4048,0.215,260.348,5.462,0.170,5.775,0.413,1.851,0.471,unid,pulsar,0.084,0.540,0.376
4FGL J0838.4-3952,0.867,259.669,6.020,0.200,10.478,0.240,9.591,0.817,unid,pulsar,0.093,0.199,0.708
4FGL J0838.7-3359,4.477,255.009,4.947,0.090,20.036,0.100,0.707,0.150,unid,fsrq,0.285,0.706,0.008
4FGL J0838.9-2502,9.873,247.809,7.411,0.167,6.570,0.247,0.498,0.614,unid,fsrq,0.013,0.942,0.044
4FGL J0839.6-8341,-24.126,296.778,5.154,0.057,22.106,1000.000,0.045,0.026,unid,bll,0.909,0.083,0.008
4FGL J0840.5-4122,0.272,261.106,4.779,0.212,16.653,0.244,10.783,0.794,unid,pulsar,0.068,0.173,0.759
4FGL J0840.6-3130,6.301,253.276,6.432,0.137,17.945,1.290,0.120,1.126,unid,pulsar,0.012,0.069,0.920
4FGL J0843.7-6933,-16.313,284.201,5.295,0.042,9.652,0.100,0.023,-0.057,unid,bll,0.914,0.075,0.010
4FGL J0843.9-4224,0.126,262.299,6.720,0.177,10.482,0.319,13.429,0.951,unid,pulsar,0.024,0.048,0.927
4FGL J0844.1-4330,-0.529,263.192,6.784,0.164,8.966,0.368,5.757,0.610,unid,pulsar,0.088,0.232,0.679
4FGL J0844.5+3035,36.515,193.539,4.841,0.072,17.164,0.596,0.010,0.156,unid,bll,0.930,0.065,0.004
4FGL J0844.9-4117,0.973,261.551,6.366,0.207,11.319,0.662,1.574,0.691,unid,pulsar,0.002,0.015,0.983
4FGL J0845.9+6822,35.520,146.349,4.483,0.187,9.649,0.100,1.653,0.115,unid,bll,0.655,0.336,0.009
4FGL J0847.1-5954,-10.292,276.436,8.330,0.042,29.636,5.063,0.029,0.091,unid,bll,0.921,0.076,0.003
4FGL J0847.8-4138,1.171,262.150,5.948,0.135,7.480,0.343,4.937,0.778,unid,pulsar,0.074,0.279,0.647
4FGL J0848.2-4527,-1.169,265.178,6.471,0.105,11.097,0.100,2.634,-0.100,unid,bll,0.832,0.162,0.006
4FGL J0848.8-4328,0.164,263.694,13.795,0.104,7.394,0.232,45.021,0.504,unid,pulsar,0.011,0.016,0.974
4FGL J0849.2-4410,-0.222,264.294,4.525,0.123,3.712,0.100,1.277,0.161,unid,bll,0.643,0.337,0.020
4FGL J0849.5+2710,36.754,197.995,4.382,0.166,21.327,0.472,0.022,0.344,unid,bll,0.830,0.161,0.009
4FGL J0849.6-5836,-9.240,275.596,5.187,0.046,7.047,12.941,0.020,0.467,unid,bll,0.922,0.075,0.003
4FGL J0850.3-4448,-0.465,264.901,5.326,0.161,11.986,0.305,3.152,0.538,unid,pulsar,0.084,0.698,0.217
4FGL J0850.8-4239,0.961,263.302,6.026,0.230,9.046,0.296,9.456,0.785,unid,pulsar,0.063,0.128,0.809
4FGL J0851.1-1806,16.273,243.822,5.153,0.058,13.414,0.100,0.094,-0.060,unid,bll,0.952,0.044,0.004
4FGL J0851.2-4737,-2.143,267.173,4.455,0.077,10.710,0.100,4.579,-0.100,unid,fsrq,0.709,0.282,0.008
4FGL J0852.2-7208,-17.266,286.822,4.410,0.211,11.301,3.828,0.012,0.627,unid,bll,0.940,0.055,0.006
4FGL J0852.5-2515,12.206,249.891,5.664,0.066,8.427,1000.000,0.046,-0.074,unid,bll,0.904,0.087,0.009
4FGL J0853.1-4407,0.352,264.698,4.894,0.262,13.860,0.475,2.881,0.828,unid,pulsar,0.009,0.073,0.918
4FGL J0853.2-4218,1.526,263.307,6.414,0.105,3.916,0.412,2.919,0.658,unid,pulsar,0.131,0.457,0.412
4FGL J0853.6-4306,1.072,263.976,10.008,0.167,3.592,0.421,15.691,0.967,unid,pulsar,0.108,0.115,0.778
4FGL J0854.8-4504,-0.034,265.607,38.479,0.028,10.974,1.525,40.118,0.718,unid,pulsar,0.002,0.008,0.990
4FGL J0854.9-4426,0.387,265.139,5.141,0.076,19.077,0.100,3.677,-0.019,unid,fsrq,0.314,0.678,0.008
4FGL J0855.0+0720,30.773,220.857,5.090,0.178,17.778,0.100,0.590,0.174,unid,fsrq,0.249,0.743,0.008
4FGL J0855.0-6026,-9.854,277.494,7.331,0.100,12.800,0.350,0.150,0.303,unid,fsrq,0.464,0.510,0.025
4FGL J0856.2-0810,23.040,235.985,4.435,0.066,10.158,22.164,0.006,0.322,unid,bll,0.916,0.076,0.007
4FGL J0857.0-4353,1.032,264.966,4.338,0.160,25.461,0.449,2.608,0.736,unid,pulsar,0.016,0.134,0.851
4FGL J0857.4+6615,37.202,148.453,4.116,0.146,10.808,0.319,0.027,0.335,unid,bll,0.801,0.185,0.014
4FGL J0857.7-4256,1.752,264.334,10.522,0.084,10.374,0.301,6.398,0.368,unid,pulsar,0.537,0.291,0.172
4FGL J0858.4-4615,-0.324,266.923,4.674,0.105,16.018,0.389,3.371,0.715,unid,pulsar,0.027,0.228,0.744
4FGL J0859.2-4729,-1.027,267.937,17.893,0.079,7.068,0.275,25.294,0.329,unid,pulsar,0.103,0.046,0.852
4FGL J0859.3-4342,1.460,265.096,8.797,0.128,14.547,0.672,4.401,0.623,unid,pulsar,0.005,0.018,0.977
4FGL J0900.1-4402,1.359,265.449,8.021,0.092,10.476,0.697,6.489,0.969,unid,pulsar,0.003,0.012,0.985
4FGL J0900.2-2549,13.197,251.468,4.721,0.070,15.678,0.100,0.676,0.059,unid,bll,0.685,0.309,0.006
4FGL J0900.5-4434,1.058,265.900,7.647,0.099,12.973,0.425,9.069,0.642,unid,pulsar,0.023,0.052,0.926
4FGL J0901.1-4456,0.892,266.242,11.007,0.079,9.920,0.944,3.769,0.558,unid,pulsar,0.001,0.007,0.991
4FGL J0901.3-4848,-1.624,269.172,4.629,0.170,17.356,0.496,1.592,0.620,unid,pulsar,0.007,0.089,0.904
4FGL J0902.5-4727,-0.580,268.284,6.833,0.081,14.327,0.100,2.467,0.123,unid,fsrq,0.331,0.661,0.008
4FGL J0902.8-4633,0.049,267.646,4.043,0.117,14.868,0.593,0.717,0.612,unid,pulsar,0.002,0.030,0.968
4FGL J0903.5+4057,41.709,180.923,5.776,0.056,18.327,6.107,0.004,0.117,unid,bll,0.896,0.095,0.009
4FGL J0903.6-5025,-2.426,270.625,5.090,0.064,10.548,3.629,0.047,0.125,unid,bll,0.937,0.062,0.001
4FGL J0903.9-2735,12.693,253.398,4.561,0.385,11.704,0.278,0.452,1.214,unid,fsrq,0.043,0.805,0.152
4FGL J0906.0-6627,-12.763,282.996,5.542,0.110,24.211,0.100,0.554,0.012,unid,bll,0.781,0.215,0.004
4FGL J0906.1-1011,23.892,239.320,6.183,0.060,5.986,8.575,0.010,0.161,unid,bll,0.907,0.086,0.007
4FGL J0906.2-5337,-4.262,273.273,6.910,0.054,30.368,28.122,0.069,0.752,unid,bll,0.915,0.076,0.010
4FGL J0906.8-2122,17.183,248.879,17.810,0.099,8.576,0.416,4.542,1.302,unid,pulsar,0.078,0.156,0.766
4FGL J0907.6-0606,26.556,235.860,4.358,0.050,15.392,1000.000,0.023,-0.032,unid,bll,0.917,0.076,0.007
4FGL J0910.1-1816,19.747,246.859,6.974,0.070,12.215,3.765,0.036,0.571,unid,bll,0.937,0.060,0.003
4FGL J0910.3-4816,-0.160,269.766,4.913,0.130,12.197,0.356,9.932,1.173,unid,pulsar,0.031,0.063,0.906
4FGL J0910.9+6055,40.228,154.411,5.371,0.112,14.984,3.103,0.010,0.415,unid,bll,0.932,0.066,0.002
4FGL J0911.6-4738,0.430,269.458,5.794,0.069,11.250,0.100,5.791,0.186,unid,fsrq,0.378,0.607,0.015
4FGL J0912.4-3257,10.534,258.746,4.189,0.037,8.347,49.593,0.013,0.229,unid,bll,0.919,0.072,0.008
4FGL J0913.7+1540,38.436,214.018,4.408,0.065,12.336,8.339,0.006,0.443,unid,bll,0.922,0.073,0.005
4FGL J0914.5+6845,37.850,144.791,9.090,0.066,17.864,0.100,0.029,-0.034,unid,bll,0.927,0.065,0.008
4FGL J0916.2-5823,-6.481,277.743,4.620,0.141,8.915,1.123,0.077,0.766,unid,pulsar,0.031,0.154,0.815
4FGL J0916.4+1204,37.589,218.540,4.324,0.101,22.925,3.457,0.009,0.490,unid,bll,0.914,0.083,0.003
4FGL J0916.9+7756,33.796,134.615,6.705,0.068,12.338,0.100,0.019,0.066,unid,bll,0.903,0.087,0.010
4FGL J0917.9-4755,0.987,270.392,9.849,0.186,16.538,0.361,15.278,0.840,unid,pulsar,0.010,0.024,0.967
4FGL J0918.5+3516,44.300,188.938,4.572,0.159,11.087,2.093,0.010,0.843,unid,bll,0.867,0.051,0.082
4FGL J0918.9-4904,0.311,271.325,4.718,0.146,5.861,0.291,4.543,0.759,unid,pulsar,0.141,0.437,0.422
4FGL J0919.3+6607,39.320,147.633,9.287,0.067,18.247,1.305,0.020,0.059,unid,bll,0.945,0.052,0.003
4FGL J0919.5-6203,-8.727,280.696,10.801,0.072,7.813,1.600,0.172,0.725,unid,pulsar,0.012,0.042,0.946
4FGL J0924.1-5202,-1.213,274.015,4.822,0.509,7.933,0.107,4.202,0.350,unid,fsrq,0.431,0.548,0.021
4FGL J0926.1-5336,-2.127,275.327,9.853,0.095,12.132,2.009,0.880,1.003,unid,pulsar,0.000,0.002,0.998
4FGL J0928.3-2713,16.978,256.864,4.478,0.086,12.880,0.100,0.139,-0.042,unid,bll,0.941,0.056,0.003
4FGL J0928.4-5256,-1.403,275.101,12.518,0.053,27.840,5.645,0.352,0.080,unid,bll,0.919,0.077,0.004
4FGL J0928.5+3916,46.459,183.365,4.320,0.106,22.069,1.757,0.005,0.407,unid,bll,0.905,0.090,0.005
4FGL J0928.7-2541,18.094,255.774,4.175,0.072,11.788,0.100,0.011,-0.034,unid,bll,0.885,0.100,0.015
4FGL J0929.3-4110,7.214,267.088,7.018,0.039,15.458,697.871,0.122,0.094,unid,bll,0.913,0.079,0.008
4FGL J0930.1-5059,0.192,273.959,4.522,0.128,14.946,0.189,1.668,0.395,unid,fsrq,0.064,0.907,0.029
4FGL J0930.9-3030,15.075,259.712,7.973,0.047,9.812,0.100,0.021,0.000,unid,bll,0.908,0.081,0.011
4FGL J0931.4-3559,11.231,263.740,7.792,0.045,19.547,6.275,0.053,0.654,unid,bll,0.926,0.071,0.003
4FGL J0932.1+3634,47.116,187.316,5.210,0.039,26.718,0.100,0.041,-0.100,unid,bll,0.937,0.054,0.009
4FGL J0933.8-6232,-7.907,282.244,52.451,0.021,10.061,2.144,18.531,1.139,unid,pulsar,0.007,0.016,0.977
4FGL J0934.5+7223,37.621,139.734,5.445,0.158,23.623,0.100,1.378,-0.013,unid,bll,0.579,0.412,0.008
4FGL J0935.5+1152,41.728,221.383,4.169,0.067,13.012,1000.000,0.077,-0.024,unid,bll,0.906,0.086,0.008
4FGL J0937.6-3358,13.575,263.261,4.332,0.068,11.271,0.144,0.953,0.872,unid,fsrq,0.013,0.959,0.027
4FGL J0938.8+5155,46.487,164.782,6.397,0.095,19.178,3.067,0.007,0.178,unid,bll,0.911,0.085,0.004
4FGL J0940.5-5253,-0.136,276.424,4.393,0.154,18.338,1.193,0.253,0.819,unid,pulsar,0.018,0.054,0.928
4FGL J0942.1-5215,0.498,276.197,4.041,0.101,17.390,1.086,0.151,0.475,unid,bll,0.649,0.212,0.138
4FGL J0942.3-3530,13.105,265.051,5.636,0.213,10.714,0.381,0.162,0.465,unid,fsrq,0.085,0.852,0.063
4FGL J0942.5+7620,35.864,135.289,6.250,0.116,17.101,3.021,0.008,0.383,unid,bll,0.921,0.076,0.003
4FGL J0944.3-0911,31.932,244.992,5.822,0.067,8.323,5.206,0.014,0.515,unid,bll,0.938,0.059,0.003
4FGL J0944.6+5729,45.450,156.803,5.508,0.054,5.815,16.424,0.004,0.092,unid,bll,0.897,0.090,0.013
4FGL J0944.7-5124,1.404,275.939,7.714,0.056,9.166,4.816,0.132,0.437,unid,bll,0.916,0.071,0.013
4FGL J0945.2-3658,12.396,266.511,4.090,0.377,5.022,0.282,0.228,0.648,unid,fsrq,0.025,0.940,0.035
4FGL J0946.0-5447,-1.050,278.275,4.061,0.203,8.896,5.455,0.048,0.298,unid,bll,0.933,0.066,0.001
4FGL J0946.7+0548,41.258,230.274,4.046,0.150,10.003,0.257,0.019,0.168,unid,bll,0.902,0.090,0.008
4FGL J0947.0-3548,13.513,265.985,7.064,0.205,20.768,0.306,0.718,0.761,unid,fsrq,0.005,0.821,0.174
4FGL J0947.8-4234,8.498,270.611,4.896,0.158,25.192,0.891,0.064,0.327,unid,bll,0.857,0.139,0.005
4FGL J0948.0-3859,11.237,268.289,4.554,0.448,12.859,0.240,0.425,0.714,unid,fsrq,0.004,0.972,0.024
4FGL J0949.8+7551,36.499,135.424,9.948,0.095,15.769,1.777,0.039,0.753,unid,bll,0.700,0.109,0.192
4FGL J0951.4+2019,48.476,212.350,4.356,0.094,22.146,5.240,0.006,0.384,unid,bll,0.904,0.091,0.005
4FGL J0951.5-3433,15.068,265.859,5.481,0.232,8.781,0.256,0.447,0.795,unid,fsrq,0.007,0.957,0.036
4FGL J0951.8-3711,13.088,267.666,5.725,0.583,13.742,0.291,0.517,0.879,unid,fsrq,0.006,0.909,0.085
4FGL J0951.8-5944,-4.378,282.033,7.193,0.084,19.175,1.046,0.528,1.333,unid,pulsar,0.004,0.016,0.980
4FGL J0952.5-3902,11.756,268.996,4.106,0.158,10.029,0.635,0.105,0.841,unid,pulsar,0.016,0.491,0.492
4FGL J0952.9+1351,46.414,221.447,4.390,0.081,12.533,29.010,0.011,0.555,unid,bll,0.914,0.078,0.008
4FGL J0953.6-1509,29.603,251.903,34.853,0.035,11.970,1.744,4.015,1.179,unid,pulsar,0.004,0.011,0.984
4FGL J0953.8-3200,17.315,264.519,4.459,0.077,10.221,0.100,0.054,-0.013,unid,bll,0.933,0.060,0.006
4FGL J0955.2+4725,50.230,170.255,4.266,0.089,26.638,1.166,0.007,0.343,unid,bll,0.907,0.089,0.004
4FGL J0955.8-4106,10.560,270.829,7.421,0.309,33.502,0.174,2.833,0.845,unid,fsrq,0.035,0.866,0.099
4FGL J0957.7-3510,15.404,267.276,5.730,0.852,8.556,0.100,1.405,0.393,unid,fsrq,0.139,0.844,0.017
4FGL J0958.6-0522,37.098,244.239,7.003,0.095,7.085,9.224,0.017,0.160,unid,bll,0.915,0.081,0.004
4FGL J0959.1-6441,-7.721,285.800,7.623,0.192,18.568,0.200,0.528,0.363,unid,fsrq,0.073,0.909,0.017
4FGL J0959.2-7535,-16.241,292.738,4.204,0.057,18.584,0.100,0.116,-0.067,unid,bll,0.959,0.037,0.003
4FGL J1000.5-5709,-1.636,281.340,5.911,0.151,6.603,0.907,2.613,0.955,unid,pulsar,0.006,0.025,0.969
4FGL J1000.7-4248,9.794,272.624,5.686,0.208,19.247,0.138,0.619,0.414,unid,fsrq,0.016,0.976,0.008
4FGL J1001.3-2040,26.915,257.753,6.015,0.058,7.814,8.805,0.015,0.441,unid,bll,0.929,0.068,0.003
4FGL J1001.8+7628,36.657,134.262,5.391,0.055,19.411,8.296,0.003,0.295,unid,bll,0.899,0.091,0.010
4FGL J1002.9-2937,20.389,264.460,4.146,0.105,8.384,0.113,0.089,0.224,unid,bll,0.685,0.307,0.007
4FGL J1003.2-5737,-1.782,281.905,6.856,0.129,5.419,0.746,3.244,0.649,unid,pulsar,0.016,0.059,0.925
4FGL J1003.7+7049,40.409,139.684,6.175,0.048,13.635,0.100,0.143,-0.100,unid,bll,0.959,0.038,0.003
4FGL J1005.5-5708,-1.215,281.861,4.724,0.278,10.518,0.643,5.073,0.942,unid,pulsar,0.004,0.017,0.978
4FGL J1006.5-5626,-0.565,281.572,5.407,0.130,7.790,0.519,6.910,1.101,unid,pulsar,0.023,0.057,0.920
4FGL J1006.9-2806,22.129,264.166,4.733,0.066,13.491,0.100,0.189,0.084,unid,bll,0.774,0.222,0.003
4FGL J1007.6+4253,53.396,176.584,8.382,0.282,53.185,0.100,0.540,0.190,unid,fsrq,0.087,0.906,0.006
4FGL J1007.8-4514,8.622,275.131,4.427,0.065,15.446,1000.000,0.095,-0.096,unid,bll,0.905,0.087,0.008
4FGL J1008.2-1000,35.747,250.493,4.957,0.827,22.949,0.100,1.843,0.289,unid,fsrq,0.035,0.959,0.007
4FGL J1009.5-0034,42.249,241.662,6.710,0.141,15.168,0.879,0.041,0.393,unid,bll,0.844,0.135,0.021
4FGL J1011.4-5729,-1.040,282.720,8.215,0.161,14.708,0.509,9.997,0.729,unid,pulsar,0.006,0.017,0.978
4FGL J1014.6+6126,46.906,149.185,7.797,0.100,4.316,2.133,0.015,0.657,unid,bll,0.900,0.052,0.048
4FGL J1015.1-6353,-6.046,286.727,9.100,0.080,10.674,1.358,0.195,0.571,unid,pulsar,0.042,0.051,0.907
4FGL J1016.1-4247,11.488,274.932,15.115,0.037,12.930,12.058,0.223,0.271,unid,bll,0.936,0.058,0.006
4FGL J1016.2-5729,-0.683,283.253,5.451,0.092,12.444,0.155,7.748,0.283,unid,fsrq,0.431,0.541,0.028
4FGL J1016.8-0606,39.983,248.779,5.259,0.069,21.496,0.100,0.037,-0.028,unid,bll,0.931,0.061,0.008
4FGL J1017.4+5956,48.034,150.710,6.057,0.097,11.556,0.100,0.101,-0.085,unid,bll,0.952,0.044,0.004
4FGL J1018.1-4051,13.289,274.126,4.825,0.141,17.630,0.195,0.184,0.372,unid,fsrq,0.097,0.900,0.004
4FGL J1018.1-2705,24.458,265.610,6.318,0.107,12.597,0.129,0.240,0.222,unid,fsrq,0.339,0.656,0.005
4FGL J1018.2+0145,45.402,240.995,6.892,0.122,7.107,1.190,0.074,0.871,unid,pulsar,0.013,0.073,0.915
4FGL J1018.3-0703,39.600,250.027,6.077,0.246,18.845,0.100,0.297,0.235,unid,fsrq,0.158,0.837,0.005
4FGL J1019.3+5625,50.149,155.046,5.178,0.065,21.009,10.793,0.006,0.571,unid,bll,0.903,0.087,0.010
4FGL J1020.4-5508,1.600,282.446,5.925,0.069,7.681,4.892,0.175,1.440,unid,pulsar,0.128,0.315,0.557
4FGL J1020.4-5314,3.198,281.410,11.928,0.114,11.253,0.874,1.114,0.822,unid,pulsar,0.000,0.004,0.996
4FGL J1021.8-6348,-5.575,287.307,4.664,0.060,15.208,21.035,0.019,0.456,unid,bll,0.924,0.072,0.004
4FGL J1021.8-6308,-5.014,286.950,5.440,0.056,9.990,0.100,0.392,-0.100,unid,bll,0.927,0.070,0.003
4FGL J1022.1-1818,31.925,260.235,6.296,0.071,7.599,4.785,0.020,0.422,unid,bll,0.940,0.058,0.002
4FGL J1025.9+1244,53.073,228.562,5.528,0.079,22.030,0.162,0.041,0.137,unid,bll,0.885,0.109,0.007
4FGL J1026.2-5731,0.022,284.405,16.772,0.052,6.042,1.217,27.464,1.146,unid,pulsar,0.012,0.023,0.965
4FGL J1028.1-3550,18.536,272.905,5.722,0.067,12.270,0.100,0.587,-0.100,unid,bll,0.942,0.054,0.003
4FGL J1028.4-1539,34.918,259.604,5.339,0.189,8.177,16.682,0.031,0.565,unid,bll,0.916,0.081,0.003
4FGL J1029.4-0828,40.507,253.873,4.300,0.092,13.663,1000.000,0.215,-0.100,unid,bll,0.908,0.082,0.009
4FGL J1029.9+7335,39.974,135.258,5.610,0.073,10.951,3.793,0.006,0.351,unid,bll,0.915,0.080,0.005
4FGL J1030.7+6118,48.523,147.615,5.585,0.092,15.148,0.100,0.616,-0.025,unid,bll,0.880,0.116,0.004
4FGL J1031.4-4448,11.307,278.418,4.662,0.073,7.708,2.330,0.027,0.663,unid,bll,0.891,0.068,0.041
4FGL J1032.0+5725,51.035,152.221,4.567,0.175,10.959,1.005,0.016,0.861,unid,bll,0.580,0.049,0.371
4FGL J1036.5-7434,-14.048,294.180,5.044,0.411,11.131,0.214,0.466,0.631,unid,fsrq,0.006,0.973,0.021
4FGL J1036.5-1809,34.149,263.340,6.672,0.138,13.414,0.100,2.328,-0.057,unid,bll,0.750,0.244,0.006
4FGL J1037.8-5810,0.244,286.061,11.699,0.092,10.609,0.468,12.576,0.516,unid,pulsar,0.031,0.036,0.933
