name,glon,glat,ts,r95,diffuse,d,Fp,Ep,source type
4FGL J0055.7+4507,123.721,-17.774,31.819,0.054,-0.123,0.769,0.010,12.202,UNID-BLL
4FGL J0057.9+6326,123.653,0.568,107.417,0.033,0.809,0.147,0.242,110.847,UNID-BLL
4FGL J0058.3-4603,299.272,-70.976,43.918,0.069,-0.718,0.042,0.004,1.285,UNID-BLL
4FGL J0059.4-5654,300.783,-60.151,1315.218,0.035,-0.617,0.433,4.030,0.254,UNID-FSRQ
4FGL J0059.7-7210,302.188,-44.856,93.860,0.132,-0.380,1.254,0.251,0.589,sfr-psr
4FGL J0101.1-6422,301.192,-52.718,4694.224,0.017,-0.631,0.830,11.901,1.110,MSP
4FGL J0102.0-6240,300.904,-54.418,62.305,0.055,-0.648,0.153,0.011,2.909,UNID-BLL
4FGL J0102.1+4458,124.871,-17.862,25.678,0.082,-0.107,0.750,0.012,5.439,UNID-BLL
4FGL J0102.3+1000,127.413,-52.779,159.860,0.035,-0.430,0.712,0.165,5.337,UNID-BLL
4FGL J0102.8+4839,124.886,-14.169,2446.102,0.017,-0.041,0.573,11.143,1.295,MSP
4FGL J0102.9-7051,301.488,-46.269,58.810,0.105,-0.467,0.422,0.020,0.985,glc
4FGL J0104.6-0818,132.581,-70.881,46.279,0.292,-0.423,0.176,0.063,0.100,UNID-BLL
4FGL J0104.8-2215,155.610,-84.263,30.926,0.091,-0.716,0.733,0.007,2.697,UNID-BLL
4FGL J0106.1+1131,128.697,-51.162,70.780,0.052,-0.414,0.429,0.022,4.318,UNID-BLL
4FGL J0106.4+4855,125.470,-13.865,4735.876,0.015,-0.024,0.908,30.721,2.036,young
4FGL J0107.4+0459,130.365,-57.685,44.582,0.064,-0.581,0.380,0.014,14.458,UNID-BLL
4FGL J0110.0-5246,296.544,-64.124,70.137,0.113,-0.687,0.811,0.033,1.010,UNID-BLL
4FGL J0110.6+0415,132.072,-58.277,28.694,0.058,-0.611,0.186,0.006,13.480,UNID-BLL
4FGL J0112.0+3442,127.606,-27.975,34.573,0.065,-0.392,0.338,0.015,0.831,UNID-BLL
4FGL J0112.5-0651,137.840,-69.096,48.860,0.283,-0.212,0.737,0.383,0.194,UNID-FSRQ
4FGL J0115.4-2917,236.410,-84.287,63.248,0.043,-0.685,0.210,0.011,10.972,UNID-BLL
4FGL J0117.9+1430,132.432,-47.973,117.755,0.107,-0.466,0.116,0.276,0.100,UNID-FSRQ
4FGL J0118.3-6008,296.797,-56.692,173.304,0.042,-0.609,0.201,0.069,0.769,UNID-BLL
4FGL J0120.1+0505,136.110,-57.056,41.660,0.135,-0.532,-0.030,0.149,0.100,UNID-BLL
4FGL J0120.2-7944,301.353,-37.294,26.435,0.050,-0.213,0.024,0.006,0.100,UNID-BLL
4FGL J0121.4-7216,299.731,-44.661,46.042,0.049,-0.405,0.632,0.009,19.096,UNID-BLL
4FGL J0121.5+7906,124.411,16.318,29.670,0.059,0.197,-0.011,0.015,0.100,UNID-BLL
4FGL J0122.4+1034,135.239,-51.543,55.731,0.043,-0.324,0.417,0.013,13.595,UNID-BLL
4FGL J0122.4-1509,155.544,-76.024,38.930,0.087,-0.724,0.724,0.009,2.534,UNID-BLL
4FGL J0123.7-4129,280.212,-74.179,26.812,0.082,-0.689,0.476,0.003,5.195,UNID-BLL
4FGL J0124.0+3035,131.104,-31.739,92.184,0.135,-0.350,0.446,0.724,0.108,UNID-FSRQ
4FGL J0125.8-6348,296.658,-52.883,45.973,0.088,-0.619,0.143,0.014,0.196,UNID-BLL
4FGL J0125.9-6303,296.376,-53.607,49.185,0.072,-0.606,0.278,0.006,3.470,UNID-BLL
4FGL J0126.3-6746,297.942,-49.025,48.708,0.041,-0.557,0.527,0.009,15.233,UNID-BLL
4FGL J0126.8+2412,133.196,-37.949,63.104,0.119,-0.258,0.183,0.639,0.100,UNID-FSRQ
4FGL J0128.1+7542,125.286,12.948,38.244,0.155,0.316,0.594,0.170,0.406,UNID-FSRQ
4FGL J0128.4+2614,133.112,-35.906,120.405,0.140,-0.206,0.793,0.649,0.240,UNID-FSRQ
4FGL J0128.8-4626,284.571,-69.356,34.775,0.094,-0.713,0.261,0.009,0.696,UNID-BLL
4FGL J0129.0+6312,127.231,0.770,141.465,0.137,0.847,0.613,8.034,0.247,bcu-psr
4FGL J0131.7-5346,290.100,-62.306,146.025,0.055,-0.610,0.779,0.081,1.470,UNID-PSR
4FGL J0132.1-0956,153.974,-70.146,195.902,0.085,-0.566,0.307,3.405,0.100,UNID-FSRQ
4FGL J0132.9-4259,277.257,-71.994,25.036,0.116,-0.657,0.257,0.453,0.100,UNID-FSRQ
4FGL J0133.0+5931,128.179,-2.937,126.139,0.071,0.522,-0.016,2.114,0.100,UNID-FSRQ
4FGL J0133.7-3409,253.305,-78.530,26.861,0.065,-0.674,-0.090,0.077,1000.000,UNID-BLL
4FGL J0135.0+5338,129.477,-8.688,49.817,0.109,0.203,0.913,0.162,0.740,bcu-psr
4FGL J0136.2-4708,282.157,-68.134,31.010,0.068,-0.702,0.429,0.003,11.092,UNID-BLL
4FGL J0136.4+6911,126.930,6.668,60.653,0.301,0.521,0.408,0.709,0.160,UNID-FSRQ
4FGL J0136.6+3130,134.105,-30.385,25.969,0.083,-0.403,-0.100,0.063,1000.000,UNID-BLL
4FGL J0137.3-3239,244.860,-78.623,30.076,0.127,-0.612,0.625,0.036,0.528,UNID-BLL
4FGL J0138.5+3931,132.738,-22.450,81.611,0.092,-0.322,0.169,1.626,0.100,UNID-FSRQ
4FGL J0139.2-1705,173.243,-75.100,41.054,0.052,-0.758,-0.100,0.481,0.100,UNID-BLL
4FGL J0139.5-2228,192.420,-78.155,200.617,0.054,-0.806,1.030,0.141,2.238,UNID-PSR
4FGL J0140.3+7054,126.940,8.423,79.880,0.033,0.465,0.555,0.055,13.047,UNID-BLL
4FGL J0140.4+5114,130.684,-10.873,56.475,0.115,0.210,0.812,0.082,0.755,UNID-PSR
4FGL J0140.5-4730,280.902,-67.467,39.371,0.102,-0.673,0.594,0.024,0.579,UNID-BLL
4FGL J0142.5+6650,127.960,4.501,83.393,0.132,0.821,0.897,1.132,0.402,UNID-PSR
4FGL J0143.8+4947,131.548,-12.203,50.324,0.053,0.036,0.166,0.008,1.394,UNID-BLL
4FGL J0150.4+4848,132.864,-12.914,58.474,0.058,0.046,1.090,0.048,5.285,UNID-BLL
4FGL J0153.3+5416,131.973,-7.501,58.985,0.060,0.048,0.039,0.016,11.236,UNID-BLL
4FGL J0153.3-1845,185.644,-73.509,32.929,0.078,-0.777,-0.060,0.063,0.100,UNID-BLL
4FGL J0155.5+2920,139.331,-31.483,29.116,0.114,-0.389,0.003,0.083,0.100,UNID-BLL
4FGL J0155.7+6642,129.217,4.624,50.875,0.175,0.716,0.389,0.570,0.259,UNID-FSRQ
4FGL J0156.3-2420,205.655,-75.133,216.669,0.033,-0.738,0.237,0.081,6.492,UNID-BLL
4FGL J0158.5+0549,151.676,-53.271,31.398,0.065,-0.418,-0.100,0.307,1000.000,UNID-BLL
4FGL J0159.0-4255,266.300,-69.133,29.861,0.185,-0.675,0.490,0.010,1.083,UNID-BLL
4FGL J0159.0+3313,138.859,-27.567,84.577,0.048,-0.327,0.059,0.024,4.208,UNID-BLL
4FGL J0159.8-2234,200.398,-73.854,26.002,0.106,-0.769,0.436,0.010,8.367,UNID-BLL
4FGL J0202.3-3531,246.368,-72.719,28.200,0.051,-0.751,-0.067,0.009,1000.000,UNID-BLL
4FGL J0202.4+2943,140.881,-30.646,59.201,0.042,-0.369,-0.011,0.032,0.100,UNID-BLL
4FGL J0202.7+3133,140.290,-28.907,30.671,0.055,-0.328,0.465,0.010,17.422,UNID-BLL
4FGL J0203.3-2507,209.906,-73.752,31.017,0.077,-0.759,0.040,0.005,75.993,UNID-BLL
4FGL J0203.9+8120,125.748,18.844,50.421,0.046,0.126,0.106,0.010,3.759,UNID-BLL
4FGL J0204.7+6656,130.049,5.045,161.151,0.054,0.716,0.555,1.892,0.475,UNID-PSR
4FGL J0205.7+6449,130.721,3.081,6579.804,0.017,0.612,0.524,203.170,0.413,young
4FGL J0207.2-1832,190.549,-70.593,59.054,0.111,-0.654,-0.028,0.644,0.100,UNID-BLL
4FGL J0209.8+2626,143.933,-33.015,55.647,0.118,-0.326,-0.009,0.247,0.100,UNID-BLL
4FGL J0212.1+5321,134.929,-7.624,3510.481,0.017,0.099,0.829,18.028,1.264,bin-psr
4FGL J0213.2-8333,300.246,-33.140,42.590,0.054,-0.079,0.753,0.017,13.249,UNID-BLL
4FGL J0215.0-5330,278.198,-59.451,38.913,0.070,-0.513,0.707,0.009,7.761,UNID-BLL
4FGL J0218.1+4232,139.513,-17.512,13917.739,0.013,-0.187,0.364,157.121,0.416,MSP
4FGL J0220.0-3001,226.625,-70.354,31.293,0.105,-0.673,-0.035,0.007,1000.000,UNID-BLL
4FGL J0222.7+5016,137.496,-10.007,49.029,0.051,0.193,0.031,0.067,0.100,UNID-BLL
4FGL J0225.5-5530,278.416,-56.963,89.507,0.047,-0.569,0.371,0.057,2.593,UNID-BLL
4FGL J0226.9+7744,128.005,15.871,47.142,0.047,0.275,0.119,0.008,6.079,UNID-BLL
4FGL J0230.4-1140,184.131,-62.109,28.167,0.061,-0.636,0.723,0.014,25.434,UNID-BLL
4FGL J0235.3+5650,136.825,-3.188,395.908,0.058,0.616,0.673,4.471,0.443,UNID-PSR
4FGL J0237.8+5238,138.824,-6.914,847.300,0.025,0.295,0.968,3.265,1.612,UNID-PSR
4FGL J0239.1+6634,133.309,5.900,40.643,0.078,0.693,0.499,0.320,0.436,UNID-PSR
4FGL J0240.2-0248,174.685,-54.402,43.518,0.086,-0.644,-0.052,0.350,0.100,UNID-BLL
4FGL J0241.1-3035,227.698,-65.794,40.839,0.079,-0.565,-0.100,0.234,1000.000,UNID-BLL
4FGL J0243.1-4218,253.947,-62.686,55.511,0.061,-0.639,0.644,0.008,3.443,UNID-BLL
4FGL J0243.3+6319,135.108,3.130,34.854,0.105,0.676,0.698,0.043,15.195,UNID-BLL
4FGL J0244.3+1719,157.784,-37.783,32.218,0.060,-0.181,0.291,0.010,37.100,UNID-BLL
4FGL J0246.0-4838,264.839,-59.105,27.545,0.104,-0.567,0.488,0.013,0.688,UNID-BLL
4FGL J0248.4+6021,136.902,0.721,2608.727,0.026,0.843,1.135,87.907,0.809,young
4FGL J0248.6+4230,144.901,-15.320,176.922,0.050,-0.191,1.205,0.257,1.528,MSP
4FGL J0249.2+1652,159.299,-37.550,32.650,0.051,-0.103,0.339,0.016,34.777,UNID-BLL
4FGL J0251.0+2605,153.877,-29.494,520.265,0.033,-0.099,0.908,1.369,1.357,MSP
4FGL J0251.1-1830,201.915,-61.179,123.188,0.036,-0.542,0.620,0.079,14.584,UNID-BLL
4FGL J0251.6+0628,168.246,-45.556,61.524,0.074,0.000,0.002,1.363,0.100,UNID-BLL
4FGL J0251.9-5146,268.627,-56.555,26.614,0.081,-0.567,0.221,0.008,0.392,UNID-BLL
4FGL J0252.0-3657,241.673,-62.791,38.108,0.097,-0.620,0.359,0.006,5.252,UNID-BLL
4FGL J0256.2-0408,180.795,-52.402,54.998,0.049,-0.393,0.080,0.008,19.181,UNID-BLL
4FGL J0259.0+0552,170.735,-44.844,820.624,0.021,-0.100,0.205,1.222,3.456,UNID-BLL
4FGL J0259.1-4748,261.292,-57.689,44.600,0.073,-0.630,0.379,0.006,5.215,UNID-BLL
4FGL J0300.0-6139,280.091,-49.382,34.364,0.057,-0.504,0.181,0.003,4.677,UNID-BLL
4FGL J0300.0-5908,277.190,-51.076,56.268,0.044,-0.614,0.446,0.010,9.960,UNID-BLL
4FGL J0300.4+3450,151.045,-20.950,48.939,0.065,-0.010,0.184,0.181,0.128,UNID-BLL
4FGL J0301.6-5617,273.464,-52.728,127.337,0.047,-0.692,0.335,0.034,4.316,UNID-BLL
4FGL J0302.5+3354,151.798,-21.522,51.174,0.041,0.048,0.017,0.021,484.237,UNID-BLL
4FGL J0303.6+6711,135.156,7.666,29.495,0.222,0.672,0.666,0.145,0.549,UNID-FSRQ
4FGL J0304.6+6554,135.975,6.471,71.232,0.049,0.581,1.041,0.160,2.238,UNID-PSR
4FGL J0305.4+5945,139.086,1.112,52.836,0.175,0.880,1.044,2.983,0.313,UNID-PSR
4FGL J0307.8+7443,131.705,14.219,4679.082,0.015,0.368,1.113,27.636,1.432,MSP
4FGL J0309.9-6941,287.276,-42.972,50.376,0.100,-0.447,0.986,0.017,1.071,UNID-BLL
4FGL J0311.3+2940,155.962,-24.285,63.012,0.256,0.188,0.463,0.660,0.144,UNID-FSRQ
4FGL J0312.1-0921,191.484,-52.360,704.584,0.033,-0.185,1.102,2.269,1.354,MSP
4FGL J0312.6-1601,201.536,-55.473,26.373,0.058,-0.485,0.265,0.004,18.523,UNID-BLL
4FGL J0312.7+2012,162.514,-31.585,53.505,0.043,0.122,0.435,0.026,12.305,UNID-BLL
4FGL J0314.1+2827,157.269,-24.693,35.251,0.115,0.185,0.391,0.220,0.280,UNID-FSRQ
4FGL J0314.1+5033,144.826,-6.104,40.035,0.159,0.513,0.678,0.670,0.424,UNID-PSR
4FGL J0314.2+2419,159.981,-28.076,46.712,0.058,0.004,-0.040,0.503,0.100,UNID-BLL
4FGL J0318.2+0254,178.456,-43.603,808.685,0.029,-0.145,0.969,2.819,1.612,MSP
4FGL J0318.8+2848,157.999,-23.922,37.111,0.241,0.351,1.084,0.094,1.079,UNID-PSR
4FGL J0323.6+6142,139.948,3.962,60.175,0.166,0.771,0.331,1.073,0.110,UNID-FSRQ
4FGL J0327.3+2355,162.947,-26.566,39.816,0.094,0.024,0.383,0.101,0.430,UNID-FSRQ
4FGL J0327.6+2620,161.332,-24.659,58.918,0.047,-0.049,-0.010,0.048,0.100,UNID-BLL
4FGL J0328.0+6046,141.031,3.457,34.462,0.278,0.742,0.864,2.053,0.326,UNID-PSR
4FGL J0328.4-4736,257.491,-53.219,342.785,0.040,-0.725,0.125,0.404,0.106,UNID-FSRQ
4FGL J0328.6-1129,197.743,-49.958,140.989,0.057,-0.389,-0.044,0.169,0.100,UNID-BLL
4FGL J0329.2+5750,142.700,1.164,46.201,0.284,1.040,0.447,2.842,0.184,UNID-FSRQ
4FGL J0330.1+5038,146.898,-4.700,145.813,0.069,0.494,0.514,1.016,0.592,MSP
4FGL J0330.7+5845,142.295,1.793,62.905,0.156,1.039,0.785,5.002,0.326,UNID-PSR
4FGL J0331.2-0919,195.381,-48.353,28.551,0.114,-0.478,0.195,0.019,0.366,UNID-BLL
4FGL J0333.0-3044,228.628,-54.624,56.233,0.055,-0.705,0.190,0.008,5.534,UNID-BLL
4FGL J0333.4-2705,222.520,-54.106,67.635,0.040,-0.768,-0.049,0.070,1000.000,UNID-BLL
4FGL J0334.3+4820,148.779,-6.180,59.484,0.079,0.422,0.211,0.179,0.213,UNID-BLL
4FGL J0335.6-0727,193.858,-46.428,36.445,0.070,-0.337,0.055,0.007,7.588,UNID-BLL
4FGL J0336.0+7502,133.090,15.524,1539.915,0.020,0.153,0.751,3.465,1.764,lmb-psr
4FGL J0336.7-2445,218.816,-52.930,38.273,0.106,-0.705,0.897,0.011,1.130,UNID-BLL
4FGL J0337.5+2423,164.643,-24.727,50.015,0.069,0.060,0.036,0.772,0.100,UNID-BLL
4FGL J0337.9+4058,153.721,-11.707,55.559,0.057,0.160,0.310,0.025,3.238,UNID-BLL
4FGL J0340.3+4130,153.787,-11.021,4288.184,0.014,0.205,0.842,27.950,2.499,MSP
4FGL J0340.4+5302,146.813,-1.846,1332.089,0.059,0.830,1.318,694.404,0.202,UNID-PSR
4FGL J0341.9+3153,160.323,-18.199,84.301,0.074,0.901,0.468,0.757,0.811,UNID-PSR
4FGL J0342.4+3125,160.606,-18.689,44.329,0.077,0.507,0.252,1.235,0.116,UNID-FSRQ
4FGL J0343.3-6303,277.240,-44.549,236.646,0.036,-0.361,0.033,0.215,0.100,UNID-BLL
4FGL J0344.2+3203,160.674,-17.825,131.999,0.093,0.770,0.737,4.270,0.411,bcu-psr
4FGL J0345.2+4735,150.716,-5.687,49.487,0.063,0.456,0.440,0.016,6.823,UNID-BLL
4FGL J0346.1+0342,183.599,-37.829,44.393,0.060,0.145,0.118,0.013,17.169,UNID-BLL
4FGL J0346.2+3235,160.464,-17.237,117.439,0.069,0.697,0.293,3.318,0.100,UNID-FSRQ
4FGL J0347.0-6400,278.099,-43.702,74.068,0.053,-0.362,0.882,0.031,1.606,UNID-BLL
4FGL J0347.5+0722,180.409,-35.158,45.071,0.046,0.036,0.458,0.030,10.841,UNID-BLL
4FGL J0348.5-1804,209.994,-48.342,33.849,0.059,-0.310,0.366,0.009,16.848,UNID-BLL
4FGL J0356.9+3013,163.941,-17.542,35.096,0.114,0.159,0.418,0.149,0.390,UNID-FSRQ
4FGL J0357.7-6808,282.064,-40.615,37.127,0.041,-0.071,0.483,0.011,16.004,UNID-BLL
4FGL J0357.8+3204,162.761,-16.010,19452.208,0.013,0.083,1.321,618.699,0.797,young
4FGL J0358.6+5912,144.910,4.582,35.023,0.213,0.673,0.263,0.084,0.549,UNID-BLL
4FGL J0358.7-7403,288.353,-37.275,48.072,0.085,-0.030,0.075,0.120,0.100,UNID-BLL
4FGL J0359.3+3626,159.962,-12.615,72.304,0.115,0.217,0.990,0.971,0.431,UNID-PSR
4FGL J0402.8-2747,225.288,-47.880,54.937,0.140,-0.740,0.249,0.449,0.100,UNID-FSRQ
4FGL J0403.3+1249,178.597,-28.684,26.800,0.086,0.203,-0.100,0.297,1000.000,UNID-BLL
4FGL J0405.4-6929,283.089,-39.312,120.295,0.048,-0.230,0.125,0.293,0.100,UNID-FSRQ
4FGL J0405.9+3041,165.068,-15.852,25.315,0.077,0.288,0.024,0.211,0.100,UNID-BLL
4FGL J0406.2+0639,184.627,-32.072,50.154,0.065,0.087,0.084,0.289,0.100,UNID-BLL
4FGL J0409.2+2542,169.263,-18.865,84.432,0.044,0.025,0.051,0.070,0.125,UNID-BLL
4FGL J0409.3+0210,189.453,-34.103,26.347,0.085,0.181,0.157,0.310,0.100,UNID-FSRQ
4FGL J0409.4-3822,241.140,-47.421,82.802,0.042,-0.749,0.711,0.029,7.604,UNID-BLL
4FGL J0409.7+4006,159.051,-8.487,65.665,0.135,0.774,0.591,1.723,0.311,UNID-PSR
4FGL J0412.5+6519,142.125,10.297,37.288,0.239,0.655,0.855,1.429,0.243,UNID-PSR
4FGL J0413.1-0304,195.545,-36.138,108.432,0.089,-0.379,0.244,0.288,0.159,UNID-FSRQ
4FGL J0413.4-8609,299.503,-29.518,85.044,0.069,-0.112,0.565,0.073,1.041,UNID-BLL
4FGL J0414.3+4522,155.941,-4.076,47.345,0.066,0.569,0.047,0.019,2.490,UNID-BLL
4FGL J0414.6+5711,147.866,4.525,113.110,0.043,0.668,0.101,0.065,6.130,UNID-BLL
4FGL J0414.7-4300,247.897,-46.231,371.272,0.050,-0.694,1.432,0.566,0.929,UNID-PSR
4FGL J0418.9+6636,141.523,11.547,1171.762,0.019,0.454,0.609,4.659,1.457,MSP
4FGL J0420.3-0407,197.644,-35.231,33.934,0.083,-0.468,0.020,0.171,0.100,UNID-BLL
4FGL J0423.0-0943,204.177,-37.314,108.220,0.048,-0.207,0.568,0.141,1.233,UNID-BLL
4FGL J0423.1-1408,209.299,-39.156,39.829,0.044,-0.358,0.163,0.017,144.362,UNID-BLL
4FGL J0425.1+4919,154.492,0.009,26.986,0.072,0.894,-0.044,1.334,0.100,UNID-BLL
4FGL J0426.5+5434,150.872,3.827,1319.748,0.039,0.696,0.909,83.925,0.390,UNID-PSR
4FGL J0426.5+2007,176.491,-19.682,29.692,0.332,0.366,0.790,0.341,0.402,bcu-psr
4FGL J0427.4+6433,143.524,10.941,36.344,0.224,0.513,0.683,0.512,0.235,UNID-FSRQ
4FGL J0427.9+3632,164.064,-8.428,74.375,0.155,0.830,0.629,2.445,0.243,UNID-FSRQ
4FGL J0431.0+3529,165.330,-8.758,72.065,0.138,0.709,1.012,0.724,0.478,UNID-PSR
4FGL J0431.1+4433,158.642,-2.564,43.269,0.041,0.643,0.695,0.069,40.199,UNID-BLL
4FGL J0432.0+1732,179.475,-20.365,57.358,0.082,0.269,0.420,0.235,0.668,bcu-psr
4FGL J0433.0+1327,183.113,-22.673,60.622,0.071,0.343,1.061,0.112,2.063,UNID-PSR
4FGL J0435.5+3232,168.165,-9.999,88.930,0.044,0.431,0.734,0.207,3.117,UNID-PSR
4FGL J0436.9+2915,170.892,-11.946,281.530,0.037,0.369,0.619,0.804,1.646,UNID-PSR
4FGL J0437.2-4715,253.401,-41.956,6658.197,0.020,-0.747,0.959,30.257,0.618,MSP
4FGL J0438.2-4243,247.530,-41.789,102.308,0.227,-0.674,-0.008,0.346,0.100,UNID-BLL
4FGL J0439.6-8322,296.403,-30.381,34.913,0.216,-0.036,0.115,0.073,0.100,UNID-BLL
4FGL J0440.4+1440,183.240,-20.482,119.633,0.052,0.416,0.323,0.861,0.425,bcu-psr
4FGL J0441.4+5058,155.057,3.043,58.727,0.187,0.717,0.220,1.954,0.100,UNID-FSRQ
4FGL J0441.8+2600,174.164,-13.174,75.305,0.112,0.603,0.940,2.462,0.402,UNID-PSR
