4FGL-DR4,ts,r95,glat,glon,Fp,Ep,curvature,sgu,uw_name
4FGL J0917.9-4755,95.086,0.127,1.060,270.389,3.426,0.524,0.910,False,J0918.2-4752
4FGL J0924.1-5202,105.704,0.130,-1.298,274.043,12.738,0.100,0.332,,J0923.9-5207
4FGL J0926.1-5336,120.208,0.058,-2.138,275.312,1.001,2.491,1.622,False,J0926.0-5336
4FGL J1000.5-5709,64.119,0.138,-1.636,281.340,1.950,1.270,1.107,,J1000.5-5709
4FGL J1003.2-5737,147.181,0.100,-1.665,282.024,7.649,0.789,1.021,,J1004.5-5735
4FGL J1005.5-5708,130.259,0.099,-1.079,281.837,7.971,0.745,1.112,,J1005.9-5700
4FGL J1006.5-5626,86.563,0.163,-0.529,281.549,5.846,0.867,2.001,,J1006.6-5623
4FGL J1018.2+0145,73.343,0.098,45.424,241.080,0.169,0.960,1.973,False,J1018.4+0143
4FGL J1020.4-5314,192.602,0.070,3.204,281.399,1.664,0.699,0.871,False,J1020.4-5314
4FGL J1048.5-5923,401.713,0.053,-0.147,287.841,27.435,0.876,1.185,False,J1048.5-5922
4FGL J1056.2-6323,162.613,0.181,-3.384,290.482,77.819,0.100,0.673,False,J1056.3-6326
4FGL J1058.9-6101,186.800,0.070,-1.086,289.795,41.558,0.100,0.207,False,J1059.3-6103
4FGL J1120.0-2204,4523.991,0.019,36.064,276.494,26.812,1.096,1.026,False,J1120.0-2204
4FGL J1126.0-5007,95.770,0.059,10.471,289.213,0.173,2.682,1.765,False,J1126.1-5006
4FGL J1127.9-6158,124.443,0.074,-0.723,293.281,4.313,1.081,1.149,False,J1127.7-6200
4FGL J1133.7-6223,100.459,0.133,-0.839,294.100,5.755,0.664,0.865,,J1134.0-6222
4FGL J1154.5-5952,96.904,0.128,2.146,295.822,1.621,0.569,0.900,True,J1154.2-5956
4FGL J1157.2-6059,53.699,0.178,1.225,296.404,2.167,0.367,0.803,True,J1157.2-6057
4FGL J1157.7-6327,116.027,0.122,-1.246,296.944,4.986,0.715,1.033,True,J1157.3-6329
4FGL J1202.9-5717,52.842,0.100,5.162,296.487,0.242,0.798,1.051,False,J1203.9-5706
4FGL J1203.5-5745,45.751,0.135,4.541,296.562,0.190,1.032,1.067,False,J1203.6-5744
4FGL J1203.7-6303,146.271,0.083,-0.693,297.539,5.688,1.147,1.097,,J1203.5-6303
4FGL J1204.3-6111,52.091,0.211,1.117,297.303,2.988,0.444,1.246,True,J1204.3-6114
4FGL J1204.5-5032,280.626,0.045,11.644,295.362,1.073,1.376,1.506,False,J1204.5-5032
