name,log_nbb,pindex,curvature,log_e0,abs_sin_b,log_eflux,category,ts,r95,glat,uw_name,ra,dec
4FGL J1456.3-5419,0.000000,2.538978,0.303024,3.175646,0.072313,-11.297081,fsrq,98.077156,0.123995,4.146844,J1456.2-5424,224.070779,-54.401467
4FGL J1514.1-5805,0.000000,2.536549,0.034010,3.439057,0.005707,-10.791331,bll,94.307508,0.058553,-0.326979,J1514.2-5808,228.560171,-58.134341
4FGL J1603.6-0451,0.477121,2.296955,0.184382,3.236522,0.554199,-11.596307,bll,73.065141,0.056723,33.655529,J1603.6-0451,240.911833,-4.853724
4FGL J1619.4-5106,0.000000,2.392099,0.143825,3.648180,0.010496,-10.815898,bll,121.708290,0.069278,-0.601374,J1619.8-5101,244.955085,-51.017487
4FGL J1620.8-4958,0.698970,2.655493,0.041528,3.291825,0.000043,-10.240060,fsrq,302.424900,0.058616,0.002463,J1620.6-5002,245.168416,-50.033967
4FGL J1635.5+1234,0.301030,2.081589,-0.014871,3.736622,0.584516,-11.828075,bll,45.731052,0.053826,35.768778,J1635.5+1234,248.899823,12.576779
4FGL J1644.8+1850,0.477121,1.846103,0.194848,3.692579,0.589955,-11.847444,bll,66.859327,0.049595,36.153829,J1644.6+1851,251.159108,18.859060
4FGL J1702.7-5655,0.602060,2.533352,0.268094,3.081964,0.160503,-10.549238,fsrq,3814.772297,0.017776,-9.236088,J1702.8-5655,255.706597,-56.931299
4FGL J1704.4-4540,0.000000,2.442792,0.647809,3.343399,0.047157,-11.383031,X,65.626443,0.102864,-2.702881,J1704.7-4541,256.175265,-45.695042
4FGL J1706.4-4609,0.698970,2.829492,0.114568,3.109258,0.056598,-10.691197,fsrq,163.159127,0.088817,-3.244575,J1706.5-4610,256.630057,-46.174993
4FGL J1714.8-1421,0.477121,2.137110,0.529230,3.646389,0.239060,-11.933809,bll,30.292478,0.070926,13.831078,J1714.9-1423,258.734937,-14.386044
4FGL J1710.1-4541,0.000000,2.601083,0.265899,3.528489,0.061941,-11.174934,bll,101.783887,0.100994,-3.551249,J1710.0-4552,257.500592,-45.875628
4FGL J1728.9-7930,0.845098,2.818664,-0.029595,2.740866,0.391294,-11.347108,fsrq,107.330455,0.050268,-23.035037,J1728.9-7930,262.231284,-79.512394
4FGL J1722.8-0418,0.000000,2.169479,0.309305,3.381417,0.300422,-11.320546,bll,164.374175,0.038370,17.482971,J1722.8-0417,260.713670,-4.292658
4FGL J1727.7-3621,0.602060,2.954254,0.062922,3.124649,0.016214,-10.409355,fsrq,162.402320,0.095301,-0.929048,J1728.2-3624,262.053482,-36.407682
4FGL J1749.6+4716,0.602060,2.480919,0.077897,3.032035,0.495842,-11.668725,fsrq,90.662737,0.056791,29.725301,J1749.6+4716,267.410593,47.282671
4FGL J1757.1-1926,0.477121,2.518742,0.378458,3.209296,0.043923,-11.259361,fsrq,64.149848,0.129444,2.517437,J1757.3-1930,269.331523,-19.512698
4FGL J1757.6-2731,0.000000,1.931814,0.230553,3.138873,0.027312,-10.864587,bll,93.826529,0.147626,-1.565084,J1757.9-2725,269.489280,-27.421050
4FGL J1758.8-2326,0.000000,2.370992,0.328568,3.625054,0.004360,-10.925676,bll,139.986513,0.048402,0.249821,J1758.8-2327,269.701547,-23.454868
4FGL J1759.7-2354,0.000000,2.521865,0.294816,3.585069,0.001750,-10.650326,bll,251.261808,0.049213,-0.100275,J1759.5-2352,269.875461,-23.880217
4FGL J1819.0-1203,0.000000,2.511377,0.064809,3.523043,0.027698,-11.184052,bll,36.374605,0.137182,1.587167,J1818.8-1205,274.722260,-12.087100
4FGL J1811.0-2725,0.602060,2.616203,0.041183,3.166666,0.071322,-11.045418,fsrq,100.931453,0.081055,-4.089948,J1810.9-2725,272.747830,-27.424298
4FGL J1816.1-3908,0.477121,2.187161,0.184696,2.976772,0.181983,-11.467470,fsrq,54.544557,0.112758,-10.485256,J1816.1-3908,274.037905,-39.142283
4FGL J1813.5+2819,0.000000,1.985807,0.530269,3.406354,0.344893,-11.670926,X,182.117012,0.052930,20.175276,J1813.6+2818,273.408922,28.308614
4FGL J1834.9-2819,0.000000,2.631147,0.242512,3.281687,0.159270,-11.488706,fsrq,56.235767,0.097375,-9.164552,J1834.7-2818,278.690522,-28.308088
4FGL J1843.6-2219,1.361728,2.619088,0.159118,3.075218,0.145050,-11.437885,fsrq,41.661901,0.098885,-8.340191,J1843.6-2219,280.901621,-22.320665
4FGL J1846.9-0247,0.000000,2.292951,0.500106,3.378637,0.006030,-11.117778,X,49.902672,0.114520,-0.345513,J1847.2-0247,281.814945,-2.795021
4FGL J1849.2+2106,0.301030,2.583580,-0.056705,3.084381,0.172265,-11.502779,fsrq,34.387143,0.099346,9.919545,J1849.2+2106,282.303452,21.107423
4FGL J1858.0+0354,0.954243,2.821503,0.160742,3.025374,0.005114,-10.121257,fsrq,731.341110,0.051453,0.293004,J1858.2+0356,284.556045,3.948703
4FGL J1857.4+0106,0.301030,2.431508,0.500499,3.529118,0.013928,-10.467254,X,761.414093,0.030161,-0.798027,J1857.1+0103,284.298032,1.056984
4FGL J1857.7-2830,0.000000,2.438370,0.208599,2.886902,0.238692,-11.644029,fsrq,30.081797,0.133999,-13.809359,J1857.5-2831,284.396197,-28.520669
4FGL J1907.0+3556,0.301030,2.117144,0.263083,3.547609,0.217917,-11.973396,bll,48.272174,0.059002,12.586719,J1907.2+3555,286.803334,35.917717
4FGL J1904.7+0615,1.041393,2.717600,0.144079,2.665168,0.002305,-10.382489,fsrq,76.464978,0.342014,-0.132043,J1904.8+0612,286.202594,6.205713
4FGL J1907.7-4037,0.477121,2.375278,0.600922,3.237384,0.345513,-12.007434,X,27.155437,0.136745,-20.213121,J1907.9-4038,286.978813,-40.643157
