name,ts,glat,glon,curv,epeak,fpeak,curv_unc
4FGL J0609.0+2006,87.067,0.063,190.267,1.096,0.601,4.543,0.469
4FGL J0618.7+1211,80.321,-1.487,198.347,1.185,0.100,13.212,0.505
4FGL J0620.1+2246,132.971,3.693,189.240,0.095,3.394,0.910,0.096
4FGL J0622.5+3120,171.949,8.173,181.714,0.765,0.576,0.887,0.338
4FGL J0636.2-1057,29.656,-8.304,221.070,0.714,1.132,0.152,0.487
4FGL J0700.6+3558,154.242,17.288,180.816,0.814,1.319,0.175,0.358
4FGL J0705.8-0004,74.257,3.167,214.605,0.917,0.970,0.479,0.418
4FGL J0712.0-6431,155.640,-22.193,275.425,1.278,1.916,0.161,0.441
4FGL J0715.7-1128,42.396,0.158,225.943,0.925,0.377,0.706,0.527
4FGL J0716.0-0826,26.595,1.539,223.309,1.003,0.909,0.182,0.564
4FGL J0718.8-5004,118.676,-16.403,261.302,0.719,1.740,0.194,0.261
4FGL J0722.4-2650,184.171,-5.672,240.245,0.760,0.795,0.655,0.343
4FGL J0736.9-3231,306.040,-5.577,246.789,0.612,0.339,6.492,0.168
4FGL J0739.6-4530,45.396,-11.267,258.574,0.968,1.838,0.065,0.555
4FGL J0744.9-4028,223.647,-8.001,254.583,0.993,1.972,0.724,0.366
4FGL J0749.8-4420,70.918,-9.111,258.453,1.583,1.320,0.125,
4FGL J0752.0-2931,153.179,-1.291,245.760,1.578,1.006,1.813,0.414
4FGL J0754.9-3953,214.898,-6.066,254.998,1.980,2.199,1.026,
4FGL J0758.8-1450,848.315,7.620,233.948,1.119,1.566,3.029,0.232
4FGL J0800.5+3715,56.744,29.111,183.369,1.175,1.468,0.055,0.689
4FGL J0821.5-1436,63.827,12.409,236.703,1.880,0.922,0.142,0.637
4FGL J0826.1-5053,188.072,-7.384,267.330,0.761,2.386,0.806,0.259
4FGL J0828.4-4444,133.868,-3.516,262.568,1.016,2.464,4.082,0.390
4FGL J0838.4-3952,56.552,0.935,259.689,1.078,0.355,2.129,0.519
4FGL J0840.6-3130,47.588,6.342,253.246,1.996,1.634,0.117,
4FGL J0844.1-4330,90.279,-0.442,263.154,0.726,1.001,4.212,0.364
4FGL J0844.9-4117,153.904,1.017,261.470,1.077,0.144,21.296,0.433
4FGL J0847.8-4138,52.704,1.239,262.116,0.961,0.685,1.022,0.466
4FGL J0848.8-4328,222.827,0.129,263.687,0.324,0.423,12.986,0.135
4FGL J0853.1-4407,77.025,0.469,264.635,1.046,0.951,2.222,0.478
4FGL J0853.6-4306,230.093,1.059,264.002,1.242,0.100,36.550,0.414
4FGL J0854.8-4504,1510.959,-0.032,265.612,0.822,1.703,35.131,0.120
4FGL J0859.2-4729,466.176,-1.045,267.950,0.327,0.515,18.982,0.107
4FGL J0859.3-4342,183.903,1.478,265.013,0.871,0.552,8.280,0.245
4FGL J0900.2-4608,43.832,-0.011,266.991,0.439,1.732,0.398,0.405
4FGL J0902.5-4727,112.836,-0.561,268.304,0.114,0.100,33.542,0.148
4FGL J0902.8-4633,44.099,0.025,267.635,0.672,1.092,0.744,0.431
4FGL J0906.8-2122,407.296,17.137,248.901,1.986,0.339,4.445,
4FGL J0917.9-4755,95.086,1.060,270.389,0.778,0.524,3.426,0.259
4FGL J0919.5-6203,139.524,-8.775,280.693,1.134,1.127,0.204,0.416
4FGL J0926.1-5336,120.208,-2.138,275.312,1.678,2.491,1.001,0.600
4FGL J0933.8-6232,2594.758,-7.910,282.230,1.280,2.216,16.692,0.123
4FGL J0951.8-5944,115.116,-4.363,282.016,2.000,0.376,1.394,
4FGL J0953.6-1509,1198.027,29.610,251.907,1.310,1.570,3.284,0.176
4FGL J1015.1-6353,103.310,-6.068,286.768,0.840,1.329,0.242,0.437
4FGL J1018.2+0145,73.343,45.424,241.080,1.622,0.960,0.169,0.912
4FGL J1020.4-5314,192.602,3.204,281.399,1.030,0.699,1.664,0.364
4FGL J1026.2-5731,526.938,0.009,284.403,1.273,1.069,37.879,0.350
4FGL J1046.7-6010,161.499,-0.963,288.094,0.804,0.541,7.678,0.200
4FGL J1048.5-5923,401.713,-0.147,287.841,1.097,0.876,27.435,0.268
4FGL J1054.0-5938,28.644,-0.063,288.468,1.236,2.540,0.321,0.676
4FGL J1056.2-6323,162.613,-3.384,290.482,0.541,0.100,77.819,0.294
