4FGL-DR4,source_type,glat,glon,significance,r95,Ep,Fp,d,p_pulsar,diffuse
4FGL J0551.7+0446,unid-pulsar,-10.966,201.710,7.718,0.206,0.296,3.924,1.017,0.946,0.572
4FGL J0552.0+2656,unid-pulsar,0.183,182.447,7.628,0.185,0.333,3.902,0.696,0.972,0.722
4FGL J0552.0+0256,unid-pulsar,-11.790,203.385,4.947,0.196,0.501,1.135,0.807,0.958,0.694
4FGL J0554.1+3107,psr,2.712,179.079,45.036,0.032,1.005,37.035,1.018,0.992,0.416
4FGL J0554.3-1009,bcu-pulsar,-17.236,215.707,6.406,0.763,0.316,1.151,0.599,0.891,0.634
4FGL J0555.1+0150,unid-pulsar,-11.639,204.739,7.693,0.116,0.563,1.563,0.812,0.992,0.646
4FGL J0555.1+0304,bcu-pulsar,-11.058,203.640,8.550,0.132,0.335,3.235,0.596,0.839,0.577
4FGL J0555.9+0030,unid-pulsar,-12.075,206.054,4.741,0.188,0.380,0.470,0.511,0.527,0.473
4FGL J0558.1-2113,unid-pulsar,-20.878,226.817,11.235,0.061,1.476,0.121,0.605,0.769,-0.312
4FGL J0559.3+0352,unid-pulsar,-9.759,203.434,4.174,0.437,0.269,1.717,1.168,0.699,0.375
4FGL J0600.1+0215,unid-pulsar,-10.334,204.984,4.415,0.221,0.481,0.614,1.025,0.892,0.437
4FGL J0600.7+2012,unid-pulsar,-1.470,189.269,5.627,0.369,0.305,4.881,0.957,0.962,0.890
4FGL J0601.0-1016,unid-pulsar,-15.809,216.561,7.321,0.274,0.504,1.059,0.875,0.954,0.499
4FGL J0601.4+2320,fsrq-pulsar,0.230,186.620,9.514,0.107,0.307,11.160,1.139,0.949,0.723
4FGL J0604.8+1653,unid-pulsar,-2.273,192.630,7.273,0.176,0.342,6.121,0.870,0.984,0.903
4FGL J0605.1+3757,msp,8.027,174.197,25.837,0.034,1.683,3.659,1.290,0.985,0.278
4FGL J0608.5+1826,unid-pulsar,-0.738,191.704,4.989,0.374,0.500,1.834,0.845,0.991,0.937
4FGL J0608.6-2305,unid-pulsar,-19.327,229.629,6.417,0.111,1.194,0.040,0.675,0.432,-0.416
4FGL J0608.8+2034,unk-pulsar,0.353,189.867,8.428,0.126,0.532,4.104,0.487,0.978,1.075
4FGL J0609.0+2136,unid-pulsar,0.893,188.987,10.193,0.163,0.419,6.143,0.603,0.953,1.007
4FGL J0609.0+2006,unid-pulsar,0.167,190.306,5.662,0.208,0.399,6.519,0.938,0.987,0.930
4FGL J0609.1+1544,unid-pulsar,-1.925,194.142,4.426,0.413,0.304,3.093,0.882,0.944,0.709
4FGL J0609.5+1402,bcu-pulsar,-2.644,195.683,7.936,0.345,0.274,4.821,0.583,0.945,0.743
4FGL J0610.2-2100,msp,-18.180,227.740,32.488,0.040,1.066,3.696,0.879,0.991,-0.209
4FGL J0610.7+1656,bcu-pulsar,-1.009,193.264,5.943,0.236,0.392,4.485,0.847,0.987,0.947
4FGL J0610.9+2040,unid-pulsar,0.835,190.028,4.714,0.316,0.569,2.180,1.051,0.989,0.836
4FGL J0612.2+1909,unid-pulsar,0.383,191.495,5.401,0.256,0.282,7.508,1.077,0.920,0.950
4FGL J0613.6+1709,bcu-pulsar,-0.285,193.426,4.685,0.175,1.040,0.511,0.789,0.381,0.906
4FGL J0613.7-0201,msp,-9.305,210.423,75.235,0.017,0.964,105.157,0.589,0.985,0.312
4FGL J0614.1-3329,msp,-21.828,240.500,233.102,0.009,2.188,1237.216,0.575,0.964,-0.423
4FGL J0614.1+1628,unid-pulsar,-0.499,194.070,5.608,0.433,0.231,11.567,0.838,0.971,0.973
4FGL J0614.9+2426,bcu-pulsar,3.457,187.152,7.488,0.073,1.169,0.254,0.444,0.921,0.609
4FGL J0615.9+1416,unid-pulsar,-1.182,196.206,6.889,0.189,0.288,3.500,0.594,0.937,0.701
4FGL J0618.7+1211,unid-pulsar,-1.564,198.383,7.500,0.267,0.249,6.917,0.917,0.907,0.593
4FGL J0618.9+2240,unid-pulsar,3.424,189.149,9.297,0.066,0.814,30.613,0.581,0.994,0.777
4FGL J0620.1+2246,unid-pulsar,3.716,189.182,8.978,0.099,0.972,1.024,0.121,0.403,0.747
4FGL J0621.2+2512,msp,5.075,187.151,15.814,0.056,2.177,1.658,1.356,0.975,0.491
4FGL J0622.2+3749,psr,10.974,175.875,41.621,0.030,0.667,46.133,1.419,0.964,0.132
4FGL J0622.5+3120,unid-pulsar,8.148,181.802,9.619,0.166,0.371,1.292,0.509,0.830,0.269
4FGL J0622.7+2248,unid-pulsar,4.254,189.439,5.158,0.147,0.732,0.597,0.641,0.844,0.748
4FGL J0622.7-4141,bcu-pulsar,-22.719,249.496,12.223,0.068,1.865,0.139,0.895,0.955,-0.315
4FGL J0631.5+1036,psr,0.454,201.236,48.175,0.025,1.850,67.908,0.784,0.980,0.936
4FGL J0631.8+0645,psr,-1.245,204.683,30.863,0.032,2.435,24.439,1.125,0.978,0.622
4FGL J0632.7+1215,unid-pulsar,1.478,199.910,4.773,0.146,0.307,0.815,0.500,0.725,0.724
4FGL J0633.7+0632,psr,-0.928,205.093,96.174,0.015,1.211,970.277,0.740,0.993,0.628
4FGL J0633.9+1746,psr,4.273,195.135,897.975,0.008,1.237,6524924.281,0.728,0.964,0.448
4FGL J0634.7+1036,unid-pulsar,1.169,201.595,5.495,0.285,0.319,2.832,0.699,0.957,0.792
4FGL J0646.4-5455,msp,-22.595,264.449,18.292,0.050,1.716,0.505,1.184,0.997,-0.158
4FGL J0646.5+0018,spp-pulsar,-0.955,212.102,6.233,0.174,0.500,2.302,0.781,0.985,0.890
4FGL J0652.5+1932,bcu-pulsar,9.018,195.513,6.868,0.143,0.541,0.197,0.699,0.458,-0.075
4FGL J0652.9+4707,msp,19.764,169.231,12.943,0.101,1.078,0.307,1.256,0.976,-0.144
4FGL J0657.4-4658,msp,-18.511,256.941,14.760,0.066,1.902,0.262,0.722,0.990,-0.226
4FGL J0658.7-0407,unid-pulsar,-0.262,217.426,5.998,0.158,0.389,2.527,0.681,0.980,0.743
4FGL J0659.7+1416,psr,8.268,201.068,43.549,0.052,0.176,176.318,0.965,0.964,-0.108
4FGL J0700.6+3558,unid-pulsar,17.265,180.796,12.413,0.069,0.992,0.225,0.616,0.699,-0.169
4FGL J0704.6-1055,unid-pulsar,-2.073,224.149,4.730,0.155,0.664,0.770,0.534,0.994,1.005
4FGL J0704.9-1007,unid-pulsar,-1.639,223.471,5.267,0.290,0.480,1.536,0.793,0.990,0.777
4FGL J0705.7-4848,bcu-pulsar,-17.845,259.260,19.172,0.041,0.487,1.190,0.336,0.876,-0.206
4FGL J0705.8-0004,unid-pulsar,3.170,214.635,7.897,0.162,0.706,0.589,0.684,0.995,0.448
4FGL J0709.1-1034,unid-pulsar,-0.915,224.348,9.410,0.120,0.499,2.313,0.439,0.978,0.960
