4FGL-DR4,source_type,glat,glon,significance,r95,Ep,Fp,d,p_pulsar,diffuse
4FGL J1435.8-6018,spp-pulsar,-0.019,315.519,8.123,0.257,0.506,30.534,0.997,0.984,1.481
4FGL J1439.2-5142,unid-pulsar,7.683,319.389,5.901,0.104,0.387,0.279,0.310,0.410,0.512
4FGL J1440.2-5505,msp,4.536,318.154,4.440,0.310,0.136,1.308,0.380,0.037,0.583
4FGL J1441.6-5951,spp-pulsar,0.106,316.361,7.557,0.089,1.155,7.928,0.664,0.997,1.724
4FGL J1442.1-2800,unid-pulsar,28.798,330.837,10.102,0.123,0.328,0.732,0.727,0.773,-0.068
4FGL J1442.2-6005,spp-pulsar,-0.134,316.335,12.119,0.070,1.227,20.546,0.616,0.988,1.686
4FGL J1444.9-5939,unid-pulsar,0.114,316.829,10.862,0.080,0.456,63.283,0.620,0.996,1.585
4FGL J1445.1-5958,unid-pulsar,-0.182,316.707,5.391,0.071,0.377,5.764,0.287,0.690,1.651
4FGL J1445.9-5907,unid-pulsar,0.548,317.163,4.337,0.225,0.417,4.523,0.618,0.981,1.339
4FGL J1446.6-4701,msp,11.421,322.502,23.021,0.036,1.310,2.068,0.605,1.000,0.234
4FGL J1447.4-5757,psr,1.523,317.843,21.703,0.054,0.510,46.348,0.850,0.995,1.047
4FGL J1449.4-6026,unk-pulsar,-0.824,316.992,5.508,0.316,0.516,3.751,0.553,0.993,1.392
4FGL J1449.8-5923,unid-pulsar,0.091,317.502,6.029,0.091,1.405,3.374,0.739,0.998,1.628
4FGL J1450.2-5937,spp-pulsar,-0.144,317.442,6.353,0.136,0.927,7.001,0.691,0.998,1.595
4FGL J1450.8-1424,unid-pulsar,39.360,341.506,9.985,0.075,1.342,0.219,0.859,0.984,-0.058
4FGL J1451.4-5422,unid-pulsar,4.486,319.912,4.328,0.175,0.635,0.268,0.582,0.858,0.732
4FGL J1451.4-5142,unid-pulsar,6.871,321.122,5.847,0.271,0.253,2.135,0.862,0.807,0.535
4FGL J1454.0-5319,unid-pulsar,5.259,320.733,4.338,0.164,0.674,0.245,0.662,0.821,0.671
4FGL J1454.3-5551,unid-pulsar,2.986,319.619,5.833,0.285,0.256,2.935,0.665,0.718,0.754
4FGL J1455.9-3331,msp,22.529,330.752,5.626,0.123,1.149,0.058,0.872,0.787,0.022
4FGL J1456.3-5419,unid-pulsar,4.212,320.584,6.704,0.086,1.394,0.309,0.717,0.996,0.703
4FGL J1458.8-2120,unid-pulsar,32.567,338.602,15.126,0.046,1.739,0.458,0.637,0.996,0.017
4FGL J1459.5-6053,psr,-1.792,317.886,75.236,0.015,0.547,1419.156,0.549,0.979,1.115
4FGL J1500.1-5846,unid-pulsar,0.029,318.950,5.855,0.070,0.100,23.243,0.039,0.617,1.518
4FGL J1500.2+2640,unid-pulsar,61.364,39.499,10.548,0.167,0.672,0.324,1.493,0.932,-0.394
4FGL J1501.6-5236,unid-pulsar,5.351,322.086,4.112,0.739,0.432,0.436,0.690,0.787,0.646
4FGL J1502.2-5933,unid-pulsar,-0.776,318.819,6.803,0.127,1.881,1.741,0.980,0.997,1.472
4FGL J1503.7-5801,bcu-pulsar,0.463,319.724,26.210,0.041,0.691,83.554,0.600,0.995,1.354
4FGL J1503.9-4247,bcu-pulsar,13.709,327.316,9.102,0.088,0.518,0.471,0.666,0.838,0.102
4FGL J1505.1-5145,unid-pulsar,5.835,322.979,7.600,0.228,0.594,0.921,0.827,0.991,0.575
4FGL J1505.3-5852,unid-pulsar,-0.383,319.496,9.268,0.121,1.556,5.751,0.962,0.997,1.554
4FGL J1506.5-5708,unid-pulsar,1.046,320.488,7.762,0.071,1.479,1.145,0.627,1.000,1.268
4FGL J1507.4-6450,unid-pulsar,-5.691,316.757,5.580,0.135,0.527,0.364,0.481,0.921,0.531
4FGL J1507.7-5403,unid-pulsar,3.644,322.167,5.000,0.276,0.435,0.618,0.574,0.909,0.741
4FGL J1508.4-4817,unid-pulsar,8.580,325.185,7.049,0.156,0.413,1.115,1.024,0.834,0.384
4FGL J1508.9-4110,spp-pulsar,14.638,329.000,8.011,0.302,0.533,0.412,0.815,0.871,0.106
4FGL J1509.4-5850,psr,-0.616,319.976,76.887,0.014,1.234,1296.578,0.683,0.983,1.553
4FGL J1510.1-5750,unid-pulsar,0.195,320.562,9.319,0.052,0.462,9.360,0.276,0.884,1.541
4FGL J1511.2-5803,unid-pulsar,-0.062,320.571,7.844,0.078,0.827,8.109,0.473,0.981,1.611
4FGL J1513.0-3118,unid-pulsar,22.515,335.333,7.364,0.136,1.829,0.123,0.851,0.941,0.124
4FGL J1513.4-2549,msp,26.963,338.851,24.679,0.041,0.973,2.562,0.686,1.000,0.056
4FGL J1513.7-1519,unid-pulsar,35.271,346.355,9.963,0.055,2.049,0.185,0.769,0.940,0.014
4FGL J1514.3-4946,msp,6.809,325.247,84.505,0.013,2.159,133.894,0.721,0.979,0.503
4FGL J1516.4-2640,unid-pulsar,25.886,338.894,6.570,0.145,2.185,0.096,1.125,0.930,0.114
4FGL J1517.7-4446,unid-pulsar,10.733,328.428,12.023,0.081,0.493,0.720,0.332,0.791,0.346
4FGL J1517.9-5233,unid-pulsar,4.142,324.260,25.185,0.037,1.783,6.195,1.024,0.996,0.680
4FGL J1518.8+0203,glc,46.730,3.886,6.787,0.087,0.986,0.076,0.605,0.395,-0.187
4FGL J1521.9-5735,psr,-0.412,322.036,53.197,0.021,0.922,544.568,0.827,0.992,1.443
4FGL J1526.6-3810,unid-pulsar,15.279,333.641,11.631,0.079,1.701,0.376,0.961,0.998,0.207
4FGL J1526.6-2743,msp,23.681,340.216,13.268,0.062,1.561,0.522,0.948,0.998,0.124
4FGL J1527.8+1013,unid-pulsar,49.513,15.903,13.210,0.098,1.132,0.385,1.241,0.990,-0.309
4FGL J1528.4-5838,psr,-1.754,322.169,29.812,0.033,1.665,27.767,1.110,0.976,1.063
4FGL J1528.5-2240,bcu-pulsar,27.383,344.071,7.452,0.122,1.606,0.108,0.682,0.549,0.084
4FGL J1529.4-6027,unid-pulsar,-3.333,321.245,7.804,0.213,0.600,1.522,0.891,0.995,0.688
4FGL J1530.0-1522,unid-pulsar,32.677,349.887,10.641,0.083,1.189,0.368,0.990,0.994,0.023
4FGL J1531.5-5612,psr,-0.000,323.895,14.396,0.067,0.989,33.190,1.073,0.985,1.607
4FGL J1532.9-0313,unid-pulsar,40.642,1.387,5.526,0.088,0.897,0.103,0.634,0.518,0.218
4FGL J1533.0-6239,unid-pulsar,-5.382,320.326,5.488,0.387,0.416,0.674,0.820,0.905,0.518
4FGL J1534.0-5232,unid-pulsar,2.790,326.294,14.891,0.056,0.823,2.459,0.379,0.977,0.849
4FGL J1534.3-3312,unid-pulsar,18.343,338.038,10.738,0.066,2.375,0.263,0.907,0.982,0.199
4FGL J1534.7-5842,unid-pulsar,-2.290,322.794,9.883,0.107,3.256,0.815,1.280,0.971,0.944
4FGL J1536.4-4948,msp,4.787,328.200,115.628,0.012,1.698,410.852,0.474,0.967,0.655
4FGL J1537.3-6110,unid-pulsar,-4.475,321.611,6.063,0.143,0.949,0.364,0.853,0.992,0.647
4FGL J1538.0-4638,unid-pulsar,7.177,330.319,12.631,0.090,0.278,5.868,0.610,0.960,0.542
4FGL J1538.2-6201,unid-pulsar,-5.224,321.188,4.507,0.142,0.330,0.392,0.500,0.531,0.564
4FGL J1539.4-3323,unid-pulsar,17.532,338.788,39.632,0.023,2.681,17.169,1.289,0.978,0.619
4FGL J1541.2-5201,unid-pulsar,2.556,327.507,5.307,0.104,2.218,0.393,1.143,0.995,0.934
4FGL J1543.4-5925,unid-pulsar,-3.525,323.273,7.473,0.153,0.711,0.917,0.651,0.997,0.743
4FGL J1543.6-0244,unid-pulsar,38.887,4.090,15.472,0.056,0.863,1.227,0.750,1.000,0.188
4FGL J1543.6-5148,msp,2.497,327.925,19.353,0.060,0.754,16.344,0.642,0.997,0.973
4FGL J1544.0+4939,msp,50.160,79.202,16.636,0.075,1.896,0.187,0.820,0.979,-0.646
4FGL J1544.2-2554,unid-pulsar,22.604,344.758,21.169,0.041,0.626,3.326,0.545,0.986,0.268
4FGL J1544.5-1126,other-pulsar,32.994,356.177,24.743,0.040,0.264,10.193,0.423,0.945,0.219
4FGL J1545.2-4553,unid-pulsar,7.027,331.766,8.008,0.110,0.364,1.525,0.611,0.961,0.605
4FGL J1545.5+2839,unid-pulsar,51.720,45.671,6.776,0.153,1.639,0.035,1.315,0.871,-0.518
4FGL J1547.4-4802,unid-pulsar,5.109,330.722,12.511,0.108,0.333,4.589,0.427,0.847,0.745
4FGL J1547.6-6106,unid-pulsar,-5.177,322.651,4.409,0.134,0.501,0.252,0.659,0.594,0.510
4FGL J1548.1-4416,unid-pulsar,7.968,333.178,9.705,0.065,0.456,1.604,0.781,0.987,0.449
4FGL J1548.4-5344,spp-pulsar,0.537,327.309,5.472,0.056,0.740,4.999,0.494,0.993,1.741
4FGL J1550.8-5424,spp-pulsar,-0.201,327.172,5.327,0.106,1.003,8.329,1.137,0.982,1.808
4FGL J1551.9-6015,unid-pulsar,-4.838,323.597,5.059,0.285,0.359,1.089,1.063,0.865,0.567
4FGL J1553.1+5438,msp,47.168,85.607,20.426,0.046,1.388,0.231,0.660,0.985,-0.706
4FGL J1555.7-2908,msp,18.502,344.484,13.109,0.071,0.394,1.143,0.501,0.916,0.095
4FGL J1556.0-4713,unk-pulsar,4.818,332.365,7.686,0.060,0.100,25.779,-0.090,0.497,0.876
4FGL J1556.8-5242,unid-pulsar,0.540,328.931,4.024,0.125,1.279,2.309,0.602,0.997,1.824
4FGL J1557.5-5306,unid-pulsar,0.161,328.758,4.600,0.128,0.580,1.915,0.188,0.592,1.824
4FGL J1557.9-1404,fsrq-pulsar,28.809,356.520,8.146,0.107,0.859,0.276,0.789,0.963,0.096
4FGL J1558.9-5220,spp-pulsar,0.612,329.411,4.873,0.111,0.539,10.319,0.530,0.991,1.760
4FGL J1559.7-4518,unid-pulsar,5.858,334.108,5.427,0.085,0.636,0.304,0.371,0.734,0.763
4FGL J1600.9-3054,msp,16.436,344.088,30.972,0.024,2.516,4.430,1.022,0.991,0.205
4FGL J1601.3-5224,spp-pulsar,0.325,329.657,5.818,0.120,0.247,101.306,0.607,0.993,1.820
4FGL J1602.2+2305,unid-pulsar,46.874,38.543,18.783,0.046,2.248,0.593,1.034,0.998,-0.263
4FGL J1603.0-4808,unid-pulsar,3.360,332.667,5.798,0.206,0.154,6.095,0.404,0.570,0.954
4FGL J1603.3-6010,unid-pulsar,-5.700,324.731,21.298,0.028,2.269,1.746,0.664,0.994,0.483
4FGL J1604.4-4927,unid-pulsar,2.219,331.967,7.922,0.116,0.656,6.113,0.706,0.995,1.154
4FGL J1606.2-4602,unid-pulsar,4.554,334.481,4.216,0.688,0.251,2.890,0.786,0.891,0.826
4FGL J1607.0+1550,bll-pulsar,43.405,29.358,55.064,0.020,0.377,14.734,0.200,0.726,-0.213
4FGL J1609.3-4326,unid-pulsar,6.097,336.652,5.079,0.212,0.249,2.554,0.725,0.536,0.689
4FGL J1610.3-5154,unid-pulsar,-0.227,331.009,11.015,0.137,0.738,37.505,0.528,0.994,1.888
4FGL J1611.6-6013,unid-pulsar,-6.433,325.458,6.265,0.090,1.708,0.130,1.020,0.921,0.387
4FGL J1611.9-5125,unid-pulsar,-0.037,331.524,10.914,0.108,0.443,111.328,0.507,0.995,1.908
4FGL J1612.1+1407,unid-pulsar,41.608,27.855,20.385,0.054,1.941,0.766,0.957,0.994,-0.195
4FGL J1613.0-5102,unid-pulsar,0.114,331.912,13.889,0.057,0.610,154.784,0.588,0.992,1.891
4FGL J1614.1-5047,psr,0.185,332.213,6.525,0.083,0.446,37.747,0.431,0.994,1.791
4FGL J1614.5-2230,msp,20.202,352.632,67.590,0.016,1.962,75.455,1.104,0.977,0.244
4FGL J1615.3-5136,psr,-0.539,331.774,24.878,0.022,2.642,169.274,1.419,0.955,1.652
4FGL J1616.0-4501,unid-pulsar,4.133,336.430,4.239,0.169,0.351,0.646,0.332,0.604,0.933
4FGL J1616.5-3500,bcu-pulsar,11.219,343.584,4.987,0.216,0.177,1.972,0.725,0.568,0.400
4FGL J1616.6-5341,unid-pulsar,-2.169,330.476,23.116,0.045,1.661,13.617,1.483,0.982,0.913
4FGL J1616.6-5009,unid-pulsar,0.373,332.937,9.179,0.169,0.542,70.799,0.802,0.979,1.771
4FGL J1616.9-2257,glc,19.486,352.675,12.664,0.045,1.827,0.494,0.572,0.997,0.287
4FGL J1617.2-2535,bcu-pulsar,17.640,350.684,6.408,0.113,0.450,0.660,0.498,0.875,0.594
4FGL J1617.8-4418,unid-pulsar,4.420,337.162,4.045,0.431,0.369,2.573,1.060,0.960,0.907
4FGL J1618.0-5119,unid-pulsar,-0.631,332.280,10.877,0.099,0.892,15.051,0.356,0.934,1.690
4FGL J1618.3-4537,unid-pulsar,3.415,336.294,4.424,0.268,0.371,2.724,0.846,0.902,0.944
4FGL J1618.7-4633,msp,2.698,335.701,5.062,0.547,0.776,0.592,0.432,0.995,1.100
4FGL J1619.3-5047,unid-pulsar,-0.386,332.808,7.095,0.148,0.717,28.515,0.595,0.994,1.772
4FGL J1619.5-5014,unid-pulsar,-0.020,333.197,7.983,0.079,0.412,29.468,0.317,0.983,1.860
4FGL J1620.5-5729,unid-pulsar,-5.271,328.197,7.179,0.092,0.419,0.437,0.345,0.643,0.596
4FGL J1620.7-4927,psr,0.404,333.892,81.804,0.012,2.685,2346.542,1.060,0.964,1.703
4FGL J1620.8-4958,unid-pulsar,0.028,333.547,11.846,0.073,0.952,47.971,0.553,0.991,1.933
4FGL J1621.0-2625,unid-pulsar,16.453,350.653,7.670,0.174,0.470,1.399,0.730,0.984,0.548
4FGL J1621.4-4511,unid-pulsar,3.333,336.997,4.298,0.109,0.580,0.792,0.523,0.993,0.911
4FGL J1622.2-7202,unid-pulsar,-15.512,317.678,16.761,0.047,1.353,0.403,0.564,0.989,0.005
4FGL J1622.2-1930,unid-pulsar,20.860,356.283,4.426,0.112,0.409,0.489,0.654,0.825,0.735
4FGL J1622.7-5104,unid-pulsar,-0.966,332.973,4.881,0.134,0.920,4.265,0.899,0.996,1.563
4FGL J1622.7-4934,unid-pulsar,0.092,334.043,9.558,0.073,0.624,98.879,0.597,0.994,1.879
4FGL J1623.0-5004,psr,-0.292,333.717,39.783,0.018,3.037,263.541,0.782,0.964,1.867
4FGL J1623.0-0315,msp,30.671,10.707,21.097,0.038,1.253,1.792,0.621,1.000,0.175
4FGL J1623.7-2315,unid-pulsar,18.136,353.538,5.588,0.077,0.190,4.376,0.496,0.679,0.702
4FGL J1623.9-6936,msp,-13.964,319.625,16.618,0.045,1.598,0.408,0.619,0.960,0.103
4FGL J1624.1-4042,psr,6.138,340.546,43.502,0.022,1.129,59.784,0.850,0.992,0.806
4FGL J1624.1-4941,unid-pulsar,-0.154,334.123,6.232,0.097,0.931,12.822,0.517,0.992,1.891
4FGL J1624.1-4417,unid-pulsar,3.628,337.975,7.506,0.086,0.322,3.278,0.420,0.889,0.874
4FGL J1624.3-3952,msp,6.691,341.185,16.380,0.046,1.326,2.984,0.643,0.998,0.850
4FGL J1624.9-4210,bcu-pulsar,5.012,339.588,6.993,0.160,0.284,5.277,0.687,0.970,0.778
4FGL J1624.9-4538,unid-pulsar,2.585,337.098,6.455,0.165,0.417,3.879,0.643,0.986,1.004
4FGL J1625.1-0020,msp,31.837,13.895,65.898,0.019,1.839,45.842,1.135,0.970,0.031
4FGL J1626.5-4858,unid-pulsar,0.062,334.900,4.757,0.085,0.424,13.679,0.427,0.982,1.806
4FGL J1626.5-4406,unid-pulsar,3.455,338.411,9.873,0.067,1.227,1.166,0.436,0.616,0.896
4FGL J1626.6-4251,unid-pulsar,4.311,339.311,6.613,0.158,0.320,2.192,0.428,0.873,0.936
4FGL J1626.9-3651,unid-pulsar,8.413,343.725,4.970,0.140,0.774,0.234,0.550,0.712,0.604
4FGL J1627.6-3852,glc,6.924,342.344,9.754,0.059,0.782,0.706,0.346,0.940,0.672
4FGL J1627.7-5749,unid-pulsar,-6.196,328.632,9.080,0.076,0.686,0.804,0.779,0.984,0.518
4FGL J1627.7+3219,msp,43.237,52.984,25.599,0.042,1.872,0.960,1.037,0.998,-0.544
4FGL J1628.0-4920,unid-pulsar,-0.359,334.815,5.787,0.095,1.954,3.961,0.956,0.996,1.791
4FGL J1628.1-3204,msp,11.491,347.450,25.473,0.039,0.950,7.578,0.807,0.998,0.442
4FGL J1628.2-4848,spp-pulsar,-0.016,335.230,4.663,0.184,1.248,4.871,0.744,0.998,1.828
4FGL J1628.3-4500,unk-pulsar,2.605,337.973,4.928,0.118,0.591,1.431,0.791,0.996,0.958
4FGL J1629.3-4822,unid-pulsar,0.154,335.656,8.141,0.118,0.460,80.545,0.790,0.993,1.737
4FGL J1630.1-1049,unid-pulsar,24.831,4.933,12.765,0.056,2.006,0.912,1.475,0.937,0.339
4FGL J1630.1-3546,unid-pulsar,8.677,344.963,5.344,0.093,0.395,0.492,0.511,0.526,0.556
4FGL J1630.2-4347,unk-pulsar,3.189,339.096,5.082,0.088,0.100,21.230,-0.100,0.593,0.932
4FGL J1630.6+3734,msp,43.206,60.251,33.742,0.036,1.639,2.655,1.098,0.996,-0.521
4FGL J1631.7-4826,unid-pulsar,-0.182,335.888,4.775,0.164,0.552,5.370,0.299,0.876,1.808
4FGL J1631.8-2355,unid-pulsar,16.290,354.282,5.316,0.123,0.588,0.931,0.627,0.990,0.930
4FGL J1632.5+3839,unid-pulsar,42.903,61.752,15.998,0.061,2.067,0.366,1.132,0.996,-0.633
4FGL J1633.1-3924,unid-pulsar,5.777,342.687,4.425,0.136,0.695,0.462,0.781,0.969,0.817
4FGL J1633.4-5845,unid-pulsar,-7.375,328.469,5.676,0.347,0.426,0.677,0.924,0.819,0.423
4FGL J1634.0-4742,unid-pulsar,0.032,336.692,12.207,0.078,1.046,195.251,1.134,0.990,1.848
4FGL J1634.7+0235,msp,31.330,18.301,6.740,0.089,1.893,0.085,1.241,0.952,-0.071
4FGL J1635.3-4159,unid-pulsar,3.726,341.050,5.766,0.197,0.311,3.111,0.617,0.950,0.866
4FGL J1635.4-3249,unid-pulsar,9.846,347.927,9.546,0.076,0.339,1.363,0.434,0.856,0.445
4FGL J1635.4-3453,unid-pulsar,8.465,346.370,5.009,0.105,0.503,0.421,0.540,0.823,0.482
4FGL J1636.0-4247,other-pulsar,3.087,340.545,5.221,0.191,0.553,0.760,0.359,0.975,1.048
4FGL J1636.9-4710,unid-pulsar,0.032,337.414,12.339,0.064,0.451,173.467,0.422,0.990,1.944
4FGL J1637.3-6325,unid-pulsar,-10.836,325.252,4.956,0.159,0.852,0.077,0.639,0.382,0.257
4FGL J1637.9-3851,unid-pulsar,5.463,343.728,4.385,0.117,1.309,0.211,1.019,0.984,0.697
4FGL J1638.1-4641,unid-pulsar,0.208,337.901,5.751,0.118,0.751,13.050,0.454,0.964,1.863
4FGL J1638.4-4715,unid-pulsar,-0.216,337.516,6.245,0.048,0.547,17.996,0.340,0.930,1.942
4FGL J1638.5-4657,spp-pulsar,-0.025,337.760,13.084,0.054,1.579,57.566,0.712,0.987,2.009
4FGL J1639.2-5638,unid-pulsar,-6.543,330.569,8.469,0.202,0.380,1.660,0.869,0.953,0.436
4FGL J1639.3-5146,unid-pulsar,-3.333,334.251,42.766,0.022,2.103,30.264,0.607,0.967,0.806
4FGL J1639.8-4642,unid-pulsar,-0.024,338.076,10.805,0.046,0.317,139.642,0.291,0.988,1.953
4FGL J1640.1+2222,msp,38.302,41.005,14.045,0.084,1.969,0.278,0.994,0.996,-0.284
4FGL J1640.3-4917,unid-pulsar,-1.796,336.206,10.402,0.049,0.885,3.685,0.488,0.971,1.188
4FGL J1641.0-4619,spp-pulsar,0.079,338.507,16.889,0.028,0.377,223.322,0.294,0.972,1.806
4FGL J1641.2+8049,msp,31.768,113.841,16.058,0.060,1.155,0.190,0.936,0.969,-0.374
4FGL J1641.2-5317,psr,-4.562,333.293,29.919,0.051,0.962,19.015,0.995,0.996,0.646
4FGL J1641.3-2908,unid-pulsar,11.296,351.612,12.786,0.092,0.268,4.806,0.560,0.925,0.404
4FGL J1641.4-4803,unid-pulsar,-1.131,337.255,5.630,0.163,0.305,19.409,0.628,0.993,1.458
4FGL J1641.6+3622,glc,40.907,58.897,4.271,0.144,2.208,0.009,0.845,0.135,-0.496
4FGL J1642.1-5128,unid-pulsar,-3.457,334.747,4.465,0.216,0.233,5.482,0.742,0.940,0.781
4FGL J1643.3-3148,unid-pulsar,9.242,349.823,10.382,0.060,1.136,0.445,0.483,0.973,0.414
4FGL J1644.1-5009,unid-pulsar,-2.827,335.960,4.897,0.181,0.316,3.403,0.637,0.934,1.064
4FGL J1644.5-4602,bcu-pulsar,-0.203,339.119,7.860,0.147,0.616,39.736,0.742,0.996,1.850
4FGL J1644.8-2154,bcu-pulsar,15.245,357.887,7.561,0.083,0.505,0.554,0.242,0.694,0.650
4FGL J1644.9-4921,unid-pulsar,-2.412,336.644,4.055,0.070,0.283,2.754,0.525,0.886,1.021
4FGL J1645.1-4123,unid-pulsar,2.749,342.712,7.307,0.102,2.463,0.437,0.673,0.993,0.961
4FGL J1645.2-5218,unid-pulsar,-4.363,334.442,4.444,0.143,0.255,2.118,0.723,0.769,0.686
4FGL J1645.4-5514,unid-pulsar,-6.292,332.205,4.957,0.328,0.497,0.393,0.694,0.568,0.486
4FGL J1645.8-4533,unk-pulsar,-0.045,339.635,12.786,0.087,0.223,205.221,0.360,0.983,1.893
4FGL J1646.5-4406,unid-pulsar,0.805,340.816,6.805,0.060,2.324,1.354,0.581,0.981,1.554
4FGL J1646.7-2154,unid-pulsar,14.910,358.164,8.173,0.079,0.538,1.440,0.639,0.967,0.520
4FGL J1647.1-5418,unid-pulsar,-5.874,333.095,5.384,0.201,0.508,0.949,1.046,0.964,0.545
4FGL J1647.2-0154,glc,26.329,15.754,6.804,0.070,4.122,0.076,0.837,0.186,0.205
4FGL J1647.5-5319,unid-pulsar,-5.298,333.882,4.662,0.199,0.399,0.692,0.736,0.716,0.574
4FGL J1648.1-2920,bcu-pulsar,10.023,352.416,5.568,0.189,0.425,0.510,0.638,0.821,0.428
4FGL J1648.4-4611,psr,-0.807,339.439,33.533,0.023,2.498,182.599,0.997,0.976,1.637
4FGL J1649.2-4513,unid-pulsar,-0.292,340.279,6.561,0.143,0.487,52.974,0.745,0.989,1.895
4FGL J1649.3-4441,unid-pulsar,0.034,340.687,12.416,0.052,1.499,24.991,0.708,0.984,1.806
4FGL J1649.8-3010,msp,9.212,351.985,23.822,0.040,1.435,5.134,0.879,0.998,0.446
4FGL J1650.3-4600,psr,-0.953,339.795,30.504,0.026,1.224,275.955,0.793,0.993,1.591
4FGL J1650.9-4420,unid-pulsar,0.039,341.155,4.125,0.136,0.307,36.556,0.495,0.994,1.856
4FGL J1651.0-1523,bcu-pulsar,18.020,4.233,4.659,0.166,0.589,0.321,0.438,0.472,0.858
4FGL J1651.1-5848,unid-pulsar,-9.155,329.923,8.800,0.179,0.493,0.622,0.675,0.971,0.266
4FGL J1651.4-4442,unid-pulsar,-0.258,340.925,5.473,0.061,1.836,3.103,0.569,0.991,1.868
4FGL J1651.7-4359,unid-pulsar,0.152,341.505,11.301,0.066,1.110,50.685,0.881,0.992,1.799
4FGL J1652.2-4516,unid-pulsar,-0.737,340.569,8.640,0.097,0.608,23.666,0.583,0.989,1.668
4FGL J1653.2-4349,unid-pulsar,0.058,341.803,16.694,0.045,0.546,203.786,0.546,0.989,1.818
4FGL J1653.6-0158,msp,24.943,16.613,66.954,0.019,0.709,81.488,0.561,0.983,0.243
4FGL J1654.5-5509,unid-pulsar,-7.237,333.103,7.227,0.549,0.280,1.697,0.722,0.887,0.430
4FGL J1655.9-3940,unid-pulsar,2.282,345.350,7.765,0.075,1.541,1.114,0.642,1.000,1.125
4FGL J1655.9-3101,unid-pulsar,7.651,352.155,6.017,0.107,0.838,0.241,0.448,0.927,0.516
4FGL J1656.1-4706,unid-pulsar,-2.407,339.575,5.237,0.077,1.673,0.554,0.357,0.885,1.196
4FGL J1656.4-0410,unid-pulsar,23.182,14.976,10.173,0.052,1.834,0.394,0.934,0.998,0.287
4FGL J1656.5-2733,unid-pulsar,9.678,354.998,10.728,0.056,1.674,0.744,1.301,0.994,0.427
4FGL J1656.9-4814,unid-pulsar,-3.217,338.774,6.079,0.105,0.224,6.924,0.526,0.816,0.955
4FGL J1657.2-4020,unk-pulsar,1.661,344.989,4.252,0.102,1.428,0.851,0.925,0.985,1.249
4FGL J1657.4-3917,unid-pulsar,2.291,345.826,7.183,0.110,1.013,0.954,0.303,0.963,1.189
4FGL J1658.3-4637,unid-pulsar,-2.408,340.187,6.703,0.107,0.514,1.126,0.175,0.496,1.194
4FGL J1658.6-5323,msp,-6.615,334.869,39.895,0.030,0.765,37.544,1.008,0.993,0.504
4FGL J1659.0-0140,unid-pulsar,23.928,17.665,16.058,0.047,1.785,1.307,0.595,0.942,0.240
4FGL J1700.0-0122,unid-pulsar,23.865,18.092,5.209,0.119,0.778,0.377,0.913,0.970,0.270
4FGL J1700.1-4013,unk-pulsar,1.306,345.417,6.866,0.117,0.667,7.238,0.707,0.998,1.548
4FGL J1700.2-4237,unid-pulsar,-0.197,343.539,6.518,0.213,0.428,45.504,0.809,0.994,1.798
4FGL J1700.3-4557,unid-pulsar,-2.265,340.934,6.901,0.112,0.852,1.965,0.532,0.994,1.123
4FGL J1701.2-3006,glc,7.323,353.579,41.855,0.022,1.140,27.774,0.659,0.993,0.578
4FGL J1701.3-4924,unid-pulsar,-4.510,338.300,7.452,0.101,0.498,0.905,0.381,0.970,0.825
4FGL J1701.9-4625,unid-pulsar,-2.777,340.726,6.502,0.177,0.613,3.433,0.694,0.996,1.178
4FGL J1702.0-3721,unid-pulsar,2.771,347.916,5.155,0.132,0.652,0.566,0.456,0.913,0.964
4FGL J1702.7-5655,other-pulsar,-9.229,332.395,51.016,0.024,0.513,70.200,0.600,0.989,0.323
4FGL J1702.9-4131,psr,0.081,344.717,10.333,0.081,0.785,58.016,0.818,0.992,1.790
4FGL J1703.6-2850,unid-pulsar,7.664,354.927,13.650,0.045,0.744,1.346,0.423,0.965,0.486
4FGL J1704.0-4226,unid-pulsar,-0.644,344.116,5.483,0.060,1.218,2.339,0.477,0.994,1.688
4FGL J1704.1-4140,spp-pulsar,-0.179,344.730,5.274,0.100,0.848,4.800,0.390,0.969,1.744
4FGL J1704.4-4540,unid-pulsar,-2.657,341.593,4.434,0.100,0.751,0.921,0.587,0.996,1.127
4FGL J1704.8-4030,unid-pulsar,0.426,345.743,15.733,0.046,1.501,25.698,0.541,0.980,1.742
4FGL J1704.9-4303,unid-pulsar,-1.135,343.726,4.255,0.070,3.001,0.487,0.953,0.994,1.383
4FGL J1705.1-4748,unid-pulsar,-4.043,339.951,6.195,0.206,0.347,2.952,0.584,0.966,0.881
4FGL J1705.2-3850,unid-pulsar,1.363,347.127,7.907,0.095,1.774,1.902,0.710,0.998,1.340
4FGL J1705.4-4850,unid-pulsar,-4.700,339.168,6.303,0.157,0.428,1.928,0.761,0.948,0.745
4FGL J1705.6-1909,psr,12.994,3.143,9.685,0.077,0.772,1.543,1.301,0.982,0.313
4FGL J1706.2-4950,unid-pulsar,-5.405,338.438,6.140,0.243,0.653,0.822,0.857,0.967,0.690
4FGL J1706.4-4609,unid-pulsar,-3.221,341.414,5.327,0.128,0.390,1.323,0.321,0.824,1.099
4FGL J1706.4-4649,unid-pulsar,-3.623,340.880,6.528,0.354,0.367,5.554,0.788,0.987,0.929
4FGL J1706.5-4023,unid-pulsar,0.231,346.039,6.513,0.088,0.295,20.597,0.312,0.754,1.783
