name,glon,glat,ts,r95,curvature,Fp,Ep,source type
4FGL J0848.8-4328,263.687,0.129,222.827,0.083,0.568,12.986,0.423,UNID-PSR
4FGL J0850.3-4448,264.901,-0.465,46.907,0.153,0.877,0.989,0.867,UNID-PSR
4FGL J0853.1-4407,264.635,0.469,77.025,0.130,1.344,2.222,0.951,UNID-PSR
4FGL J0853.2-4218,263.309,1.557,78.445,0.105,0.799,2.606,0.505,UNID-PSR
4FGL J0854.8-4504,265.612,-0.032,1510.959,0.022,0.824,35.131,1.703,UNID-PSR
4FGL J0857.0-4353,264.881,1.048,45.379,0.168,1.212,1.155,0.750,UNID-PSR
4FGL J0857.7-4256,264.299,1.790,93.875,0.115,1.344,2.304,1.027,UNID-PSR
4FGL J0858.4-4615,266.934,-0.367,51.839,0.191,0.614,3.117,0.333,UNID-PSR
4FGL J0859.2-4729,267.950,-1.045,466.176,0.053,0.554,18.982,0.515,UNID-PSR
4FGL J0859.3-4342,265.013,1.478,183.903,0.088,0.794,8.280,0.552,UNID-PSR
4FGL J0900.1-4402,265.449,1.359,154.590,0.091,1.067,4.565,0.805,UNID-PSR
4FGL J0900.2-4608,266.991,-0.011,43.832,0.087,1.008,0.398,1.732,UNID-PSR
4FGL J0900.5-4434,265.848,1.140,138.495,0.101,0.888,6.967,0.579,UNID-PSR
4FGL J0901.3-4848,269.172,-1.624,34.303,0.161,1.056,0.617,1.159,UNID-PSR
4FGL J0902.8-4633,267.635,0.025,44.099,0.126,1.154,0.744,1.092,UNID-PSR
4FGL J0906.8-2122,248.901,17.137,407.296,0.071,1.025,4.445,0.339,UNID-PSR
4FGL J0908.7-4911,270.292,-1.059,698.737,0.046,1.282,45.910,0.738,young
4FGL J0916.2-5823,277.744,-6.481,44.767,0.134,1.132,0.162,0.972,UNID-PSR
4FGL J0917.9-4755,270.389,1.060,95.086,0.127,0.910,3.426,0.524,UNID-PSR
4FGL J0918.9-4904,271.334,0.294,46.815,0.180,0.831,0.967,0.765,UNID-PSR
4FGL J0919.5-6203,280.693,-8.775,139.524,0.046,0.568,0.204,1.127,UNID-PSR
4FGL J0926.1-5336,275.312,-2.138,120.208,0.058,1.622,1.001,2.491,UNID-PSR
4FGL J0930.1-5059,273.959,0.192,65.505,0.114,0.499,1.419,0.395,UNID-PSR
4FGL J0931.2-1906,251.032,23.029,162.468,0.057,0.970,0.175,1.833,MSP
4FGL J0933.8-6232,282.230,-7.910,2594.758,0.016,1.205,16.692,2.216,UNID-PSR
4FGL J0951.8-5944,282.016,-4.363,115.116,0.108,0.522,1.394,0.376,UNID-PSR
4FGL J0952.1-0607,243.643,35.381,222.949,0.047,0.781,0.269,1.602,MSP
4FGL J0953.6-1509,251.907,29.610,1198.027,0.026,1.027,3.284,1.570,UNID-PSR
4FGL J0955.3-3949,269.926,11.534,1195.310,0.027,0.334,7.013,0.294,MSP
4FGL J0955.4-6151,283.690,-5.737,588.155,0.030,0.417,2.926,0.491,MSP
4FGL J1000.5-5709,281.340,-1.636,64.119,0.138,1.107,1.950,1.270,UNID-PSR
4FGL J1003.2-5737,282.024,-1.665,147.181,0.100,1.021,7.649,0.789,UNID-PSR
